accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.48,0.19,0.81, -3.25, 2.93, 7.74,
 0.48,0.19,0.80, -3.65, 2.82, 8.05,
 0.48,0.19,0.81, -3.85, 1.13, 8.17,
 0.48,0.19,0.80, -2.96, 2.17, 7.62,
 0.48,0.19,0.81, -2.99, 2.14, 7.30,
 0.48,0.19,0.81, -2.53, 2.46, 6.05,
 0.47,0.18,0.80, -3.11, 3.25, 5.80,
 0.47,0.19,0.80, -2.76, 3.48, 5.44,
 0.48,0.19,0.80, -2.53, 4.27, 5.13,
 0.48,0.19,0.80, -2.37, 5.24, 4.60,
 0.48,0.19,0.80, -2.41, 5.74, 4.23,
 0.48,0.19,0.81, -2.35, 5.62, 4.05,
 0.48,0.19,0.81, -2.37, 5.37, 4.15,
 0.48,0.19,0.81, -2.90, 5.31, 4.20,
 0.49,0.18,0.80, -3.11, 4.93, 4.29,
 0.48,0.18,0.80, -3.30, 4.56, 4.32,
 0.49,0.19,0.80, -3.69, 3.59, 4.43,
 0.48,0.18,0.80, -3.89, 2.99, 4.52,
 0.48,0.18,0.81, -3.47, 2.53, 5.15,
 0.47,0.18,0.80, -3.63, 2.06, 5.83,
 0.48,0.17,0.80, -3.34, 0.93, 5.91,
 0.47,0.17,0.80, -3.28, 2.50, 5.60,
 0.47,0.16,0.80, -1.74, 2.67, 5.51,
 0.46,0.16,0.80, -2.14, 2.96, 5.25,
 0.45,0.16,0.81, -1.30, 3.66, 4.40,
 0.46,0.16,0.80, -0.98, 4.50, 3.44,
 0.46,0.16,0.80, -1.08, 5.37, 2.95,
 0.48,0.16,0.81, -1.10, 5.89, 2.21,
 0.48,0.16,0.80, -1.10, 6.14, 1.60,
 0.48,0.16,0.81, -0.92, 7.48, 1.50,
 0.49,0.16,0.80, -0.41, 7.47, 1.71,
 0.50,0.16,0.81, -0.73, 7.40, 2.21,
 0.50,0.16,0.80, -0.67, 7.33, 2.85,
 0.50,0.16,0.81, -0.89, 6.98, 3.92,
 0.49,0.16,0.81, -0.87, 5.95, 4.70,
 0.49,0.16,0.81, -0.79, 5.28, 5.45,
 0.48,0.17,0.81, -0.73, 4.58, 6.02,
 0.47,0.16,0.81, -0.67, 3.19, 6.37,
 0.48,0.16,0.80, -0.20, 3.76, 6.23,
 0.48,0.16,0.80, -0.08, 4.53, 6.21,
 0.48,0.17,0.81, 0.11, 4.81, 5.66,
 0.48,0.17,0.81, -0.21, 5.63, 4.73,
 0.49,0.17,0.81, -0.02, 6.58, 4.15,
 0.50,0.17,0.81, -0.12, 8.46, 3.98,
 0.50,0.18,0.81, 0.08, 9.05, 4.12,
 0.51,0.17,0.81, 0.72, 9.39, 4.40,
 0.51,0.17,0.82, 0.93, 9.27, 4.72,
 0.51,0.18,0.82, 0.90, 9.13, 5.53,
 0.51,0.18,0.82, 0.60, 8.67, 6.05,
 0.50,0.18,0.82, 0.17, 8.11, 6.92,
 0.50,0.17,0.82, -0.49, 7.21, 7.50,
 0.49,0.18,0.81, -0.87, 5.80, 7.50,
 0.49,0.18,0.80, -1.05, 6.63, 6.89,
 0.50,0.18,0.80, -0.37, 6.50, 6.90,
 0.49,0.18,0.80, -0.73, 6.76, 6.87,
 0.50,0.19,0.80, -0.34, 7.02, 6.76,
 0.49,0.19,0.80, 0.27, 7.25, 6.93,
 0.49,0.18,0.80, 0.21, 7.42, 7.34,
 0.48,0.19,0.80, 0.29, 7.19, 7.60,
 0.47,0.18,0.80, 0.35, 6.82, 7.76,
 0.47,0.19,0.81, 0.37, 6.63, 7.82,
 0.46,0.18,0.80, 0.20, 6.29, 7.50,
 0.45,0.19,0.79, 0.34, 5.88, 7.45,
 0.45,0.18,0.80, 0.49, 5.25, 6.82,
 0.45,0.19,0.80, 0.17, 5.36, 6.21,
 0.45,0.19,0.80, 0.23, 5.05, 5.68,
 0.46,0.19,0.80, 0.21, 4.98, 5.02,
 0.46,0.21,0.80, -0.02, 4.66, 5.15,
 0.47,0.20,0.80, 0.32, 4.11, 4.95,
 0.48,0.21,0.81, 0.52, 3.57, 5.57,
 0.47,0.21,0.80, 0.55, 3.22, 6.08,
 0.47,0.21,0.82, 0.69, 2.58, 6.76,
 0.47,0.21,0.82, 0.56, 2.05, 6.93,
 0.46,0.22,0.82, -0.03, 2.09, 6.92,
 0.46,0.22,0.84, -0.41, 2.21, 6.73,
 0.46,0.22,0.84, -1.08, 2.49, 5.89,
 0.45,0.22,0.83, -1.51, 3.45, 5.30,
 0.45,0.22,0.82, -1.65, 4.03, 4.24,
 0.46,0.22,0.82, -1.39, 4.78, 3.79,
 0.48,0.21,0.82, -1.51, 5.47, 3.25,
 0.49,0.20,0.81, -1.76, 6.55, 3.40,
 0.49,0.19,0.82, -1.88, 7.37, 4.05,
 0.50,0.18,0.81, -1.89, 7.74, 4.90,
 0.49,0.19,0.82, -1.71, 7.71, 5.60,
 0.50,0.18,0.82, -2.00, 7.66, 6.32,
 0.49,0.18,0.82, -1.80, 7.53, 6.76,
 0.49,0.17,0.82, -1.60, 7.66, 7.02,
 0.49,0.17,0.81, -1.31, 7.28, 7.27,
 0.50,0.18,0.80, -1.05, 7.16, 7.07,
 0.49,0.17,0.80, -0.89, 7.34, 7.11,
 0.50,0.17,0.81, -1.02, 7.15, 7.83,
 0.49,0.17,0.80, -1.47, 6.70, 8.14,
 0.49,0.18,0.81, -1.76, 6.98, 7.65,
 0.50,0.18,0.81, -1.79, 6.98, 7.80,
 0.50,0.18,0.81, -1.89, 7.24, 7.86,
 0.49,0.18,0.83, -2.05, 6.72, 7.83,
 0.49,0.18,0.82, -2.81, 7.28, 7.05,
 0.49,0.17,0.83, -2.75, 7.95, 7.44,
 0.49,0.17,0.83, -2.14, 8.40, 7.98,
 0.48,0.16,0.83, -1.76, 8.11, 8.64,
 0.47,0.17,0.83, -1.19, 7.69, 9.02,
 0.48,0.17,0.83, -0.72, 7.51, 8.93,
