accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.40,0.12,0.86, -3.94, 4.26, -1.88,
 0.40,0.12,0.86, -3.98, 4.05, -1.77,
 0.40,0.11,0.86, -4.15, 4.12, -1.57,
 0.40,0.12,0.85, -3.91, 3.74, -1.44,
 0.40,0.12,0.86, -3.86, 3.24, -1.02,
 0.40,0.12,0.86, -3.94, 2.41, -0.61,
 0.40,0.11,0.85, -4.18, 2.20, -0.58,
 0.39,0.11,0.85, -4.24, 1.63, -0.67,
 0.40,0.12,0.86, -4.26, 1.19, -0.53,
 0.40,0.11,0.85, -4.15, 0.92, -1.10,
 0.40,0.12,0.86, -4.58, 1.02, -1.51,
 0.40,0.12,0.86, -4.72, 1.33, -1.80,
 0.40,0.12,0.86, -4.64, 1.97, -1.51,
 0.40,0.12,0.86, -4.67, 2.32, -1.82,
 0.41,0.12,0.86, -5.02, 2.56, -1.82,
 0.40,0.12,0.86, -5.08, 2.61, -1.79,
 0.41,0.12,0.85, -5.30, 2.03, -1.69,
 0.40,0.12,0.86, -5.27, 1.24, -1.51,
 0.40,0.12,0.85, -5.40, 0.61, -1.51,
 0.40,0.12,0.85, -5.66, 0.03, -1.42,
 0.40,0.12,0.85, -5.79, -0.35, -1.45,
 0.40,0.12,0.85, -5.74, -0.64, -1.50,
 0.40,0.12,0.86, -5.80, -0.81, -2.00,
 0.41,0.12,0.86, -5.89, -0.17, -2.23,
 0.41,0.11,0.86, -5.86, 0.56, -2.31,
 0.42,0.12,0.86, -4.70, 2.15, -1.51,
 0.43,0.14,0.83, -2.37, 5.89, 1.82,
 0.39,0.11,0.87, -3.37, 0.93, -1.44,
 0.40,0.11,0.84, -3.80, 3.01, -1.36,
 0.41,0.12,0.86, -4.20, 4.40, -1.47,
 0.39,0.11,0.88, -4.49, 2.47, -1.68,
 0.38,0.11,0.86, -4.67, 2.37, -2.03,
 0.39,0.12,0.87, -5.62, 1.83, -2.23,
 0.40,0.12,0.88, -7.15, 0.03, -2.64,
 0.39,0.12,0.86, -7.74, -0.56, -3.05,
 0.41,0.12,0.86, -7.15, 0.14, -2.12,
 0.41,0.12,0.88, -6.73, -0.50, -2.41,
 0.41,0.12,0.87, -6.50, 0.20, -2.56,
 0.42,0.12,0.87, -6.64, 1.44, -2.37,
 0.43,0.12,0.86, -4.85, 3.89, -1.50,
 0.40,0.13,0.87, -4.84, 4.58, -1.53,
 0.41,0.12,0.88, -5.30, 2.26, -1.88,
 0.41,0.13,0.85, -5.44, 3.85, -2.17,
 0.42,0.12,0.85, -4.89, 4.85, -1.47,
 0.41,0.12,0.86, -5.57, 3.40, -1.69,
 0.40,0.12,0.86, -5.65, 3.02, -2.41,
 0.42,0.13,0.85, -5.45, 4.14, -1.30,
 0.41,0.13,0.87, -6.55, 1.31, -1.42,
 0.42,0.13,0.85, -6.58, 0.18, -2.00,
 0.45,0.13,0.84, -7.40, 1.22, -1.24,
 0.46,0.13,0.85, -7.91, 1.07, -0.63,
 0.46,0.13,0.85, -7.25, 0.89, 0.17,
 0.47,0.13,0.84, -7.01, 0.53, 0.92,
 0.47,0.13,0.84, -6.24, 1.36, 1.22,
 0.45,0.13,0.84, -5.77, 1.47, 0.38,
 0.46,0.13,0.84, -6.02, 0.90, 1.92,
 0.47,0.14,0.83, -5.18, 2.46, 3.60,
 0.47,0.13,0.83, -4.75, 3.05, 4.92,
 0.46,0.13,0.85, -4.26, 3.07, 5.30,
 0.47,0.13,0.82, -3.80, 3.51, 6.79,
 0.47,0.13,0.83, -3.28, 4.49, 6.05,
 0.46,0.13,0.84, -3.13, 3.37, 6.76,
 0.46,0.13,0.82, -2.90, 4.69, 7.11,
 0.47,0.12,0.82, -2.82, 6.40, 8.31,
 0.47,0.12,0.83, -2.72, 5.97, 7.66,
 0.45,0.11,0.82, -1.86, 5.31, 5.45,
 0.45,0.13,0.82, -2.26, 5.30, 5.36,
 0.44,0.13,0.84, -3.44, 4.29, 4.73,
 0.45,0.12,0.83, -3.56, 3.82, 4.72,
 0.45,0.14,0.83, -4.02, 3.95, 5.39,
 0.46,0.12,0.83, -4.87, 4.15, 5.94,
