accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.41,0.24,0.85, -6.17, -2.20, 0.08,
 0.36,0.26,0.89, -6.08, -4.14, 0.32,
 0.39,0.24,0.88, -6.89, -2.66, -0.60,
 0.45,0.26,0.84, -6.23, 1.10, 1.66,
 0.36,0.23,0.87, -7.47, 1.97, -2.92,
 0.40,0.30,0.88, -5.86, 1.36, 3.66,
 0.39,0.21,0.84, -4.56, 2.47, -0.35,
 0.41,0.24,0.83, -5.45, 4.32, 2.17,
 0.39,0.23,0.88, -6.50, 2.64, 2.34,
 0.42,0.21,0.82, -6.53, 3.66, 0.60,
 0.39,0.22,0.88, -6.84, 1.33, 2.66,
 0.40,0.21,0.81, -6.23, 2.27, 1.47,
 0.43,0.20,0.85, -7.80, 1.21, 2.82,
 0.38,0.21,0.85, -6.81, 1.10, 0.73,
 0.36,0.25,0.87, -6.93, -1.02, 0.69,
 0.39,0.24,0.85, -6.58, -0.08, 1.16,
 0.30,0.24,0.86, -6.52, -2.24, -1.24,
 0.41,0.25,0.83, -6.14, 1.88, 0.61,
 0.39,0.24,0.86, -8.60, 0.85, 0.56,
 0.39,0.25,0.84, -6.37, 3.07, -0.43,
 0.38,0.22,0.83, -6.89, 3.27, -0.70,
 0.41,0.23,0.86, -6.73, 2.79, 4.40,
 0.39,0.19,0.83, -5.31, 2.66, 3.33,
 0.35,0.20,0.85, -5.56, 1.45, 3.79,
 0.35,0.21,0.82, -4.52, 2.31, 3.15,
 0.34,0.21,0.85, -4.81, 1.18, 2.53,
 0.38,0.22,0.85, -4.56, 2.29, 4.53,
 0.31,0.22,0.87, -5.02, 0.87, 3.68,
 0.35,0.23,0.84, -3.66, 1.92, 5.71,
 0.33,0.21,0.86, -4.34, 1.95, 4.12,
 0.34,0.22,0.86, -3.97, 2.21, 4.20,
 0.37,0.21,0.85, -3.66, 4.03, 3.02,
 0.33,0.22,0.89, -3.91, 2.15, 3.69,
 0.37,0.22,0.85, -3.02, 4.21, 2.64,
 0.34,0.23,0.89, -3.48, 2.58, 2.85,
 0.34,0.23,0.88, -2.92, 2.17, 2.90,
 0.34,0.22,0.87, -3.33, 1.77, 2.43,
 0.37,0.22,0.86, -3.18, 2.18, 3.39,
 0.37,0.21,0.86, -3.86, 1.88, 0.87,
 0.38,0.23,0.87, -3.07, 1.77, 2.70,
