accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.45,0.24,0.81, -4.21, 2.89, -0.46,
 0.45,0.23,0.82, -4.24, 2.90, -0.20,
 0.45,0.23,0.82, -4.11, 2.89, -0.34,
 0.46,0.23,0.80, -4.29, 2.23, -0.26,
 0.46,0.23,0.82, -4.21, 2.17, -0.18,
 0.46,0.22,0.81, -4.26, 3.10, -0.18,
 0.45,0.22,0.80, -4.06, 3.02, -0.20,
 0.46,0.23,0.80, -3.88, 2.73, 0.08,
 0.46,0.22,0.82, -3.77, 2.75, 0.14,
 0.45,0.23,0.80, -3.88, 2.79, 0.29,
 0.45,0.23,0.81, -3.65, 2.49, 0.35,
 0.45,0.22,0.81, -3.34, 1.89, 0.32,
 0.45,0.22,0.81, -3.07, 1.56, 0.50,
 0.45,0.22,0.81, -2.35, 1.68, 0.53,
 0.46,0.22,0.81, -1.19, 1.73, 0.43,
 0.49,0.23,0.80, -0.03, 6.43, 2.15,
 0.50,0.23,0.75, 6.47, 8.37, 5.60,
 0.46,0.22,0.82, 6.58, 4.73, 4.46,
 0.45,0.23,0.81, 5.11, 6.50, 3.80,
 0.47,0.25,0.83, 4.99, 7.51, 5.11,
 0.46,0.23,0.82, 4.87, 6.98, 5.83,
 0.43,0.24,0.83, 2.70, 4.95, 3.79,
 0.45,0.25,0.81, 1.15, 5.76, 2.90,
 0.47,0.24,0.81, 1.10, 7.04, 2.90,
 0.46,0.24,0.82, 1.27, 6.00, 3.27,
 0.48,0.24,0.81, 1.57, 6.95, 3.16,
 0.48,0.25,0.81, 1.28, 6.92, 2.85,
 0.49,0.24,0.81, 2.02, 7.21, 3.02,
 0.47,0.23,0.81, 2.63, 7.36, 2.63,
 0.46,0.23,0.80, 2.03, 7.16, 1.94,
 0.44,0.23,0.82, 1.11, 5.98, 0.05,
 0.43,0.23,0.82, 0.06, 5.92, -1.33,
 0.44,0.24,0.83, -1.13, 5.19, -1.18,
 0.43,0.23,0.83, -2.44, 4.03, -1.97,
 0.42,0.24,0.83, -3.68, 2.87, -2.47,
 0.43,0.24,0.82, -4.40, 2.37, -2.29,
 0.45,0.25,0.81, -4.40, 2.32, -1.22,
 0.45,0.24,0.81, -3.98, 1.88, -0.67,
 0.45,0.24,0.81, -3.47, 1.22, -0.90,
 0.46,0.24,0.79, -3.21, 1.51, -0.81,
 0.47,0.25,0.83, -3.02, 1.05, -0.75,
 0.47,0.25,0.81, -3.04, 1.21, -1.31,
 0.49,0.25,0.82, -2.96, 2.18, -1.36,
