accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.27,0.34,0.87, -5.24, 0.87, -0.99,
 0.27,0.34,0.87, -5.54, 1.02, -0.92,
 0.27,0.33,0.87, -5.74, 1.05, -0.50,
 0.27,0.33,0.87, -6.17, 1.73, -0.08,
 0.27,0.33,0.86, -6.43, 2.40, -0.29,
 0.27,0.33,0.87, -6.15, 2.92, -0.15,
 0.26,0.32,0.85, -5.80, 3.63, -0.06,
 0.26,0.32,0.86, -5.57, 4.24, -0.49,
 0.26,0.32,0.85, -5.28, 4.58, -0.79,
 0.26,0.32,0.86, -5.40, 4.26, -0.92,
 0.26,0.33,0.86, -5.42, 3.92, -0.50,
 0.27,0.33,0.87, -5.50, 3.54, 0.27,
 0.26,0.33,0.86, -5.28, 2.93, 1.02,
 0.25,0.33,0.86, -5.28, 1.82, 1.82,
 0.26,0.33,0.85, -5.18, 1.80, 2.31,
 0.26,0.33,0.86, -5.42, 1.37, 2.20,
 0.25,0.32,0.86, -5.34, 1.51, 2.37,
 0.25,0.32,0.85, -5.37, 2.17, 1.85,
 0.25,0.33,0.84, -5.19, 2.66, 1.60,
 0.24,0.32,0.85, -4.78, 3.36, 1.16,
 0.24,0.33,0.85, -4.14, 4.38, 0.63,
 0.24,0.33,0.85, -4.53, 5.10, 0.73,
 0.25,0.33,0.84, -4.63, 5.21, 0.85,
 0.23,0.33,0.85, -4.37, 4.78, 0.79,
 0.23,0.33,0.85, -4.24, 4.15, 0.24,
 0.23,0.34,0.86, -4.24, 3.60, 0.49,
 0.24,0.34,0.86, -4.78, 2.70, 0.49,
 0.23,0.35,0.87, -5.63, 2.29, 0.32,
 0.24,0.34,0.88, -5.79, 1.71, -0.11,
 0.24,0.33,0.87, -6.15, 1.65, -0.27,
 0.24,0.33,0.85, -6.49, 1.48, -0.47,
 0.24,0.33,0.85, -6.41, 1.66, -0.78,
 0.24,0.33,0.85, -6.50, 1.80, -0.89,
 0.24,0.33,0.85, -6.05, 2.11, -0.98,
 0.24,0.32,0.84, -5.74, 2.32, -0.76,
 0.23,0.33,0.84, -5.21, 2.20, -0.52,
 0.22,0.33,0.84, -5.04, 1.69, -0.60,
 0.23,0.32,0.84, -4.47, 1.40, -0.92,
 0.24,0.33,0.84, -3.91, 1.18, -1.34,
 0.23,0.34,0.84, -3.60, 1.44, -1.42,
 0.24,0.34,0.86, -3.56, 1.31, -1.15,
 0.24,0.34,0.85, -3.21, 1.05, -1.05,
 0.24,0.34,0.86, -3.01, 0.44, -0.61,
 0.23,0.34,0.86, -2.78, 0.17, -0.61,
 0.23,0.34,0.86, -2.66, -0.09, -0.73,
 0.23,0.35,0.87, -2.61, -0.26, -1.07,
 0.23,0.34,0.88, -3.05, 0.75, -1.48,
 0.23,0.35,0.88, -3.88, 2.03, -2.38,
 0.23,0.34,0.88, -4.96, 2.85, -2.81,
 0.23,0.34,0.88, -5.74, 3.15, -3.28,
 0.23,0.34,0.87, -6.17, 3.45, -3.42,
 0.23,0.33,0.86, -6.60, 3.97, -3.62,
 0.23,0.34,0.86, -6.81, 3.94, -3.82,
 0.23,0.33,0.84, -6.26, 3.82, -4.24,
 0.22,0.33,0.84, -5.97, 4.02, -4.09,
 0.22,0.33,0.84, -5.40, 3.51, -3.79,
 0.22,0.31,0.84, -4.90, 2.75, -3.71,
 0.22,0.32,0.84, -4.35, 2.46, -3.37,
 0.21,0.32,0.84, -3.88, 1.71, -3.31,
 0.21,0.31,0.83, -3.34, 0.63, -3.69,
 0.20,0.31,0.84, -2.78, -0.32, -4.34,
 0.21,0.31,0.84, -2.75, -1.07, -5.47,
 0.21,0.32,0.85, -2.50, -1.36, -6.64,
 0.22,0.32,0.86, -2.06, -1.10, -7.51,
 0.23,0.33,0.86, -2.34, -0.52, -7.88,
 0.23,0.32,0.87, -3.28, -0.37, -8.18,
 0.24,0.34,0.87, -3.85, -0.47, -7.74,
 0.24,0.34,0.87, -4.35, -0.63, -6.89,
 0.23,0.34,0.87, -4.52, -0.34, -6.47,
 0.23,0.33,0.88, -4.92, -0.05, -6.41,
 0.22,0.33,0.87, -5.15, 0.29, -6.56,
 0.22,0.33,0.86, -5.05, 0.18, -6.73,
 0.21,0.32,0.88, -5.18, 0.08, -7.45,
 0.20,0.33,0.87, -5.21, -0.08, -8.75,
 0.21,0.33,0.87, -4.96, 0.32, -9.85,
 0.22,0.33,0.87, -4.92, 0.49, -11.01,
 0.23,0.33,0.86, -4.72, 0.61, -11.73,
 0.25,0.33,0.87, -4.61, 0.69, -11.53,
 0.26,0.33,0.87, -4.61, 0.87, -10.67,
 0.26,0.34,0.87, -4.60, 0.60, -9.63,
 0.25,0.34,0.88, -4.64, 0.78, -8.38,
 0.25,0.34,0.87, -4.69, 0.75, -7.50,
 0.25,0.34,0.86, -4.55, 0.79, -6.72,
 0.24,0.34,0.87, -4.92, 0.60, -5.73,
 0.22,0.34,0.87, -5.37, -0.14, -5.54,
 0.22,0.34,0.86, -5.40, -0.40, -6.26,
 0.20,0.33,0.86, -5.80, -0.61, -6.95,
 0.20,0.33,0.86, -6.15, -0.73, -8.08,
 0.21,0.33,0.86, -6.02, -1.45, -9.48,
 0.21,0.34,0.86, -6.26, -0.96, -10.84,
 0.22,0.34,0.86, -6.31, -0.32, -11.69,
 0.23,0.34,0.85, -5.98, 0.09, -12.06,
 0.23,0.35,0.85, -5.77, 0.55, -12.23,
 0.24,0.35,0.86, -6.09, 0.70, -11.65,
 0.24,0.35,0.87, -6.66, 0.41, -11.04,
 0.25,0.35,0.87, -6.95, 0.18, -10.73,
 0.25,0.34,0.87, -5.27, -0.66, -11.56,
 0.24,0.34,0.87, -6.64, 4.56, -11.68,
 0.26,0.33,0.88, -7.15, 0.96, -10.96,
 0.25,0.34,0.87, -8.38, -0.67, -10.67,
 0.26,0.33,0.86, -9.68, 2.05, -10.53,
 0.25,0.33,0.86, -8.43, 0.17, -9.80,
 0.25,0.32,0.85, -9.19, 0.02, -9.42,
 0.25,0.33,0.85, -9.30, 0.31, -8.92,
 0.24,0.33,0.86, -8.37, -0.34, -8.78,
 0.24,0.33,0.84, -8.46, -0.72, -8.43,
 0.24,0.33,0.85, -8.40, -1.63, -8.17,
 0.24,0.34,0.85, -8.02, -2.03, -8.12,
