accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.33,0.29,0.86, -5.94, 2.76, 0.03,
 0.34,0.30,0.86, -5.94, 2.99, 0.06,
 0.33,0.29,0.85, -6.06, 3.11, -0.17,
 0.33,0.29,0.84, -6.27, 3.37, -0.17,
 0.32,0.29,0.83, -6.11, 3.25, -0.03,
 0.31,0.29,0.84, -5.63, 2.72, -0.34,
 0.30,0.30,0.84, -5.01, 2.38, -0.69,
 0.31,0.29,0.83, -4.50, 1.95, -0.93,
 0.31,0.29,0.83, -4.20, 1.74, -1.63,
 0.31,0.29,0.84, -4.14, 1.60, -2.24,
 0.31,0.29,0.83, -3.85, 0.99, -2.34,
 0.32,0.28,0.85, -3.97, 0.58, -2.35,
 0.32,0.28,0.84, -3.91, 0.18, -2.81,
 0.34,0.29,0.84, -3.74, -0.23, -2.73,
 0.34,0.29,0.85, -3.89, -0.09, -2.20,
 0.35,0.29,0.85, -4.06, -0.23, -1.33,
 0.34,0.29,0.85, -4.00, -0.08, -0.27,
 0.34,0.29,0.85, -3.88, 0.31, 0.17,
 0.34,0.30,0.85, -3.86, 0.29, 0.38,
 0.33,0.30,0.85, -3.79, -0.24, 0.49,
 0.32,0.29,0.85, -3.76, -0.50, 0.44,
 0.32,0.29,0.86, -4.09, -0.41, -0.11,
 0.33,0.30,0.85, -4.32, 0.47, -0.50,
 0.33,0.29,0.85, -4.64, 0.89, -0.92,
 0.33,0.28,0.85, -4.73, 1.54, -0.95,
 0.34,0.29,0.84, -4.53, 1.91, -0.50,
 0.34,0.28,0.84, -4.37, 2.00, -0.40,
 0.34,0.28,0.84, -3.77, 2.32, 0.34,
 0.33,0.29,0.84, -3.22, 2.26, 0.96,
 0.33,0.30,0.85, -2.81, 2.18, 1.54,
 0.32,0.30,0.85, -2.34, 2.00, 2.27,
 0.32,0.31,0.87, -2.61, 2.08, 2.43,
 0.32,0.30,0.87, -3.60, 2.44, 1.83,
 0.32,0.30,0.89, -4.44, 2.50, 0.78,
 0.32,0.31,0.88, -4.49, 3.02, -0.14,
 0.32,0.30,0.87, -4.89, 3.54, -0.90,
 0.32,0.30,0.87, -5.36, 3.74, -1.39,
 0.34,0.29,0.87, -5.74, 4.21, -1.85,
 0.35,0.29,0.87, -5.98, 5.15, -1.97,
 0.35,0.28,0.86, -6.03, 6.03, -1.40,
 0.34,0.29,0.85, -5.47, 6.23, -0.44,
 0.34,0.29,0.84, -5.02, 5.73, 0.50,
 0.33,0.30,0.85, -4.64, 4.89, 1.51,
 0.31,0.30,0.84, -4.41, 4.47, 2.00,
 0.31,0.31,0.85, -4.47, 4.02, 2.20,
 0.29,0.31,0.86, -4.69, 3.82, 2.15,
 0.28,0.31,0.86, -4.79, 3.69, 2.73,
 0.27,0.31,0.85, -5.21, 3.36, 2.64,
 0.26,0.30,0.85, -5.45, 2.85, 1.56,
 0.24,0.30,0.83, -5.33, 2.93, 0.37,
 0.24,0.31,0.84, -5.11, 3.18, -0.89,
 0.24,0.30,0.84, -4.47, 3.18, -2.34,
 0.24,0.31,0.84, -4.24, 2.96, -3.74,
 0.24,0.32,0.84, -4.12, 2.38, -4.69,
 0.24,0.32,0.85, -4.00, 1.25, -5.39,
 0.25,0.32,0.85, -3.69, 0.23, -5.59,
 0.25,0.32,0.86, -3.76, -0.56, -5.47,
 0.26,0.32,0.87, -4.00, -1.30, -5.59,
 0.26,0.31,0.86, -4.00, -1.48, -5.50,
 0.26,0.31,0.88, -4.52, -1.65, -5.94,
 0.27,0.31,0.88, -4.44, -1.28, -6.73,
 0.30,0.31,0.85, -4.40, 2.40, -8.00,
 0.26,0.32,0.89, -6.21, -0.93, -8.55,
 0.29,0.32,0.89, -4.56, 0.67, -8.23,
 0.29,0.31,0.87, -6.81, 0.73, -8.35,
 0.30,0.31,0.89, -6.64, 1.54, -8.34,
 0.31,0.33,0.89, -7.30, 2.82, -8.92,
 0.31,0.30,0.88, -7.83, 3.45, -9.02,
 0.31,0.31,0.88, -7.31, 4.27, -9.24,
 0.32,0.32,0.88, -7.30, 4.76, -9.56,
 0.33,0.31,0.88, -7.98, 5.91, -9.51,
 0.32,0.31,0.90, -8.60, 4.76, -9.16,
 0.33,0.31,0.88, -8.14, 5.30, -8.84,
 0.32,0.30,0.87, -8.79, 5.24, -8.11,
 0.32,0.31,0.88, -8.81, 5.53, -7.45,
 0.32,0.30,0.86, -9.21, 5.36, -6.61,
 0.32,0.30,0.87, -9.39, 5.50, -5.60,
 0.31,0.29,0.86, -9.30, 5.57, -5.07,
 0.31,0.29,0.86, -9.31, 5.68, -4.81,
 0.31,0.29,0.86, -9.44, 5.71, -4.72,
 0.30,0.29,0.86, -9.25, 5.76, -5.19,
 0.29,0.29,0.85, -9.02, 6.24, -5.62,
 0.30,0.29,0.85, -8.87, 6.44, -5.77,
 0.30,0.29,0.85, -8.55, 6.89, -6.12,
 0.29,0.28,0.84, -8.06, 6.70, -6.20,
 0.29,0.29,0.84, -7.59, 6.78, -6.14,
 0.29,0.28,0.85, -7.37, 7.01, -6.18,
 0.30,0.28,0.85, -7.51, 6.60, -6.08,
 0.30,0.29,0.86, -7.95, 6.38, -5.31,
 0.29,0.29,0.86, -8.44, 6.40, -4.79,
 0.30,0.29,0.86, -9.18, 6.38, -5.02,
 0.30,0.29,0.86, -9.42, 5.92, -5.47,
 0.30,0.30,0.87, -9.51, 5.27, -5.27,
 0.30,0.28,0.87, -9.82, 5.39, -5.62,
