accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.10,0.12,0.92, -3.68, 0.90, -1.88,
 0.11,0.13,0.92, -3.44, 0.95, -1.83,
 0.11,0.12,0.92, -3.37, 1.18, -1.62,
 0.11,0.12,0.92, -3.05, 1.11, -0.98,
 0.11,0.13,0.93, -2.81, 1.16, -0.50,
 0.11,0.12,0.93, -2.93, 0.95, 0.26,
 0.10,0.13,0.95, -3.31, -0.08, 0.20,
 0.09,0.14,0.95, -3.73, -0.47, 0.14,
 0.08,0.13,0.93, -3.85, -0.60, 0.05,
 0.08,0.14,0.95, -3.98, -0.78, -0.06,
 0.09,0.14,0.94, -4.24, -0.47, -0.26,
 0.09,0.14,0.94, -4.41, -0.26, -0.53,
 0.09,0.14,0.94, -4.11, 0.12, -0.63,
 0.10,0.14,0.94, -4.24, 0.56, -0.60,
 0.09,0.13,0.95, -4.50, 1.28, -0.31,
 0.09,0.14,0.94, -4.60, 1.39, -0.52,
 0.09,0.14,0.94, -4.76, 1.73, -0.50,
 0.09,0.14,0.94, -4.99, 2.15, -0.41,
 0.08,0.14,0.94, -4.98, 2.41, 0.08,
 0.08,0.14,0.94, -5.24, 2.53, 0.84,
 0.08,0.13,0.93, -5.89, 2.46, 0.89,
 0.07,0.13,0.94, -6.12, 1.53, 0.32,
 0.06,0.13,0.93, -6.75, 1.10, -1.71,
 0.08,0.13,0.94, -6.85, 1.30, -3.66,
 0.09,0.13,0.93, -7.02, 2.17, -4.43,
 0.10,0.12,0.93, -7.36, 2.63, -4.66,
 0.11,0.13,0.92, -7.28, 2.56, -3.65,
 0.12,0.12,0.92, -6.72, 2.15, -2.40,
 0.12,0.11,0.91, -6.17, 2.14, -1.27,
 0.11,0.12,0.91, -5.56, 1.59, -0.18,
 0.11,0.12,0.91, -4.84, 1.30, 0.40,
 0.09,0.12,0.91, -4.29, 0.98, 0.52,
 0.09,0.12,0.91, -4.17, 0.63, 0.17,
 0.09,0.13,0.93, -4.41, 0.49, -0.43,
 0.09,0.13,0.93, -4.79, 0.56, -1.25,
 0.09,0.13,0.92, -5.31, 0.89, -1.92,
 0.10,0.12,0.93, -5.27, 1.31, -2.09,
 0.10,0.12,0.91, -5.16, 1.56, -1.39,
 0.10,0.13,0.92, -4.69, 1.57, -0.98,
 0.11,0.12,0.92, -4.31, 1.13, -0.46,
 0.10,0.12,0.92, -3.94, 0.70, 0.14,
 0.09,0.13,0.92, -3.74, 0.67, 0.64,
 0.09,0.13,0.92, -3.79, 0.35, 0.09,
 0.08,0.13,0.92, -3.71, 0.27, -0.60,
 0.07,0.13,0.93, -3.95, 0.84, -0.66,
 0.07,0.13,0.92, -4.08, 1.08, -0.90,
 0.07,0.13,0.93, -4.20, 1.54, -1.13,
 0.05,0.13,0.92, -4.46, 1.73, -1.80,
 0.06,0.13,0.92, -4.70, 1.69, -2.34,
 0.06,0.13,0.93, -4.38, 1.42, -3.07,
 0.06,0.14,0.92, -4.06, 1.27, -3.56,
 0.07,0.13,0.93, -3.79, 0.87, -3.42,
 0.06,0.13,0.93, -3.34, 0.37, -2.98,
 0.06,0.13,0.93, -2.95, -0.29, -2.67,
 0.05,0.14,0.93, -2.99, -1.22, -2.41,
 0.05,0.14,0.93, -3.13, -1.95, -2.26,
 0.05,0.14,0.93, -3.44, -2.46, -2.44,
 0.05,0.14,0.93, -3.76, -2.50, -2.79,
 0.04,0.15,0.93, -3.76, -2.14, -2.90,
 0.03,0.14,0.93, -3.79, -1.79, -3.25,
 0.03,0.14,0.94, -3.91, -1.65, -4.17,
 0.02,0.14,0.93, -4.08, -1.30, -4.61,
 0.03,0.14,0.93, -4.34, -1.07, -5.47,
 0.02,0.15,0.93, -4.37, -0.72, -6.40,
 0.02,0.14,0.93, -4.40, -1.19, -7.65,
 0.02,0.13,0.93, -4.44, -1.76, -9.13,
 0.03,0.14,0.92, -4.24, -2.43, -10.31,
 0.03,0.13,0.93, -3.60, -3.25, -11.27,
 0.04,0.13,0.93, -4.20, -1.48, -12.61,
 0.06,0.13,0.93, -3.98, -3.98, -12.79,
 0.07,0.13,0.95, -5.37, -4.75, -13.05,
 0.10,0.12,0.94, -6.31, -3.53, -13.36,
 0.10,0.13,0.93, -5.76, -3.16, -12.32,
 0.11,0.13,0.93, -6.38, -3.13, -11.13,
 0.11,0.12,0.93, -5.48, -3.76, -10.43,
 0.12,0.13,0.93, -5.07, -3.60, -10.35,
 0.13,0.13,0.93, -4.89, -2.89, -9.86,
 0.13,0.13,0.93, -4.49, -2.58, -9.28,
 0.13,0.13,0.94, -4.43, -2.23, -9.48,
 0.15,0.13,0.93, -4.31, -1.71, -9.57,
 0.15,0.14,0.93, -4.18, -1.36, -8.82,
 0.16,0.13,0.95, -3.88, -1.56, -8.21,
 0.15,0.13,0.93, -3.44, -1.74, -7.33,
 0.16,0.13,0.93, -2.93, -2.09, -6.44,
 0.15,0.13,0.94, -2.46, -1.51, -5.45,
 0.14,0.13,0.93, -2.23, -1.57, -4.49,
 0.12,0.14,0.94, -2.43, -1.42, -4.78,
 0.12,0.14,0.94, -2.79, -1.33, -5.13,
 0.12,0.14,0.95, -2.81, -0.69, -6.43,
 0.13,0.14,0.95, -2.99, 0.31, -8.02,
 0.14,0.14,0.95, -3.40, 1.69, -8.46,
 0.15,0.14,0.95, -3.80, 3.05, -8.21,
