accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.39,0.16,0.91,5.31,-1.13,2.6
0.37,0.16,0.92,5.97,6.09,1.19
0.31,0.16,0.99,3.69,6.53,1.36
0.32,0.16,0.98,1.5,9.92,1.04
0.34,0.16,0.94,4.35,13.53,2.02
0.29,0.16,0.99,5.45,10.75,3.21
0.24,0.17,1.0,3.05,6.17,3.02
0.24,0.17,0.99,3.3,1.6,2.23
0.28,0.17,0.98,3.74,1.04,3.02
0.28,0.16,0.97,4.29,3.16,2.69
0.27,0.18,0.98,2.21,5.95,2.14
0.26,0.2,1.02,-1.92,9.73,0.44
0.24,0.18,0.98,-0.69,6.43,0.92
0.24,0.18,0.95,1.85,4.9,1.21
0.24,0.19,0.98,1.82,3.92,1.15
0.23,0.19,0.99,0.72,0.53,0.84
0.25,0.19,0.95,1.01,3.21,0.95
0.25,0.19,0.95,1.59,6.0,1.39
0.26,0.18,0.93,4.18,8.69,1.34
0.23,0.18,0.94,5.68,7.76,0.9
0.24,0.17,0.94,8.06,5.65,2.02
0.23,0.19,0.97,8.92,2.23,2.89
0.25,0.18,0.97,7.54,4.98,1.91
0.22,0.19,1.01,5.33,3.56,1.22
0.2,0.19,1.01,4.49,-2.03,-0.32
0.24,0.21,1.04,7.15,-4.67,0.67
0.25,0.23,1.09,4.0,-7.24,4.05
0.27,0.22,1.08,-0.24,-3.92,3.88
0.3,0.22,1.05,-4.52,5.36,3.44
0.27,0.21,1.05,-6.76,7.36,2.82
0.26,0.19,1.04,-6.44,2.2,4.79
0.22,0.18,1.03,-5.89,-6.5,6.92
0.22,0.17,1.01,-7.24,-6.06,4.58
0.28,0.18,0.98,-9.27,-1.15,2.27
0.25,0.16,0.93,-6.02,-1.36,-4.76
0.25,0.15,0.93,-5.04,-2.24,-0.26
0.24,0.14,0.95,-4.23,-3.51,-0.32
0.24,0.14,0.9,0.09,-5.69,-1.53
0.24,0.13,0.92,3.44,-11.92,-2.72
0.31,0.16,0.93,3.6,-6.29,-2.17
0.3,0.17,0.97,-0.46,-4.52,1.13
0.29,0.17,0.93,-0.17,-0.11,-0.5
0.26,0.16,0.92,-0.06,2.81,-1.45
0.29,0.16,0.91,1.63,3.01,-2.35
0.29,0.16,0.93,2.95,3.85,-1.85
0.28,0.16,0.93,4.93,2.52,-0.98
0.27,0.16,0.96,5.3,1.66,-0.84
0.29,0.17,0.97,4.81,2.47,-1.65
0.25,0.17,1.02,2.66,-3.42,0.0
0.26,0.18,1.02,0.41,-3.86,-0.26
0.31,0.2,1.0,0.05,-3.34,0.06
0.29,0.16,1.0,-1.11,1.3,-0.56
0.29,0.18,1.0,-1.91,5.47,-1.18
0.26,0.18,1.04,-3.07,3.25,-0.87
0.29,0.18,1.0,-2.17,2.23,1.53
0.29,0.18,0.98,1.22,-1.01,4.23
0.28,0.19,1.02,2.66,-3.1,7.97
0.28,0.19,1.03,5.11,-9.62,13.05
0.34,0.18,0.99,11.83,-13.63,13.36
