accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.02,-0.01,0.99,-12.46,10.87,-4.85
0.0,-0.01,1.04,-16.09,12.26,-13.44
0.08,0.02,1.08,-21.54,6.08,-11.74
0.11,-0.02,1.01,-20.61,5.76,-10.52
0.08,-0.06,0.97,-13.77,1.88,-8.4
0.15,-0.05,0.95,-10.2,10.2,-8.6
0.09,-0.02,1.0,-10.93,12.32,-11.07
0.09,-0.03,1.04,-13.04,11.71,-11.77
0.01,-0.05,1.03,-9.04,-2.7,-11.13
0.04,-0.08,1.02,-6.31,-10.58,-12.95
0.07,-0.04,1.04,-6.29,-9.19,-12.53
0.11,-0.04,1.04,-3.88,-11.98,-12.31
0.19,0.01,1.01,-4.98,0.81,-9.28
0.18,-0.03,1.0,-5.42,6.37,-6.03
0.11,-0.04,0.98,-4.7,6.52,-5.77
0.07,-0.02,1.02,-4.11,-2.93,-5.1
0.12,-0.03,1.01,-3.5,-1.15,-5.42
0.12,-0.02,1.03,-8.15,4.12,-7.77
0.12,-0.02,1.03,-8.14,2.63,-6.58
0.13,-0.04,0.96,-2.46,1.86,-5.95
0.09,-0.04,0.96,2.17,-0.69,-8.21
0.09,-0.03,1.01,3.54,-6.79,-7.73
0.12,-0.03,0.98,5.56,-6.53,-9.05
0.19,0.02,1.03,1.19,-0.29,-8.52
0.21,0.03,1.05,-1.37,6.56,-7.1
0.19,0.01,1.0,0.11,9.24,-4.32
0.16,0.01,1.01,0.37,8.18,-2.64
0.12,-0.0,1.03,-1.54,6.27,-3.1
0.15,-0.0,0.98,1.04,7.89,-1.51
0.15,-0.01,0.94,3.04,12.58,-2.75
0.14,-0.06,0.93,2.7,4.96,-1.33
0.08,-0.02,0.99,7.79,3.3,-2.92
0.07,-0.03,0.94,13.21,-2.34,-3.59
0.07,-0.02,0.95,16.64,-6.31,-5.74
0.1,-0.01,0.95,19.21,-9.21,-5.69
0.14,0.03,0.97,17.68,-5.4,-4.9
0.2,0.06,1.02,10.26,3.08,-3.57
0.13,0.07,1.08,4.14,3.3,-2.64
0.1,0.05,1.07,2.12,0.23,-1.3
0.11,0.01,1.0,4.29,-3.3,0.93
0.08,-0.0,1.0,6.0,-6.2,0.06
0.11,0.0,1.0,6.34,-3.63,-0.47
0.12,0.01,1.02,6.67,-0.9,-1.44
0.11,0.03,1.07,1.45,4.66,-4.81
0.11,0.03,1.07,0.17,4.82,-4.18
0.12,0.02,1.0,2.53,4.67,-3.24
0.12,0.02,1.04,1.11,3.18,-0.93
0.12,0.02,1.01,1.71,1.83,-0.08
0.1,-0.01,0.99,4.98,0.52,0.31
0.08,0.01,1.03,4.73,-1.28,-0.38
0.06,0.02,1.06,1.85,-7.51,-0.89
0.09,0.03,1.07,-0.23,-8.49,-1.05
0.13,0.04,1.05,-1.37,-6.99,-0.47
0.16,0.03,1.03,-1.57,-2.12,-0.34
0.16,0.03,1.04,-3.76,3.36,0.14
0.14,0.02,1.01,-1.85,5.71,0.7
0.12,0.02,1.02,-0.89,3.01,1.83
0.09,0.02,1.02,0.38,-0.27,2.05
0.08,0.01,1.01,2.29,-5.36,1.59
0.1,0.02,1.03,2.73,-9.01,-2.15
0.16,0.04,1.03,-0.76,2.24,-1.83
0.1,0.03,1.03,-1.21,1.25,-2.17
0.13,0.05,1.02,-1.6,-0.53,-0.9
0.15,0.04,1.01,-1.42,0.02,-0.46
0.12,0.04,1.02,-3.42,-3.27,0.06
0.1,0.06,1.06,-5.83,-5.86,0.27
0.13,0.04,1.0,-5.73,-5.04,0.15
0.14,0.03,0.96,-2.56,-2.14,0.26
0.11,0.03,1.0,-3.95,-1.89,-0.9
0.09,0.03,1.01,-5.19,-5.22,-0.82
0.11,0.03,0.99,-4.29,-5.4,-1.44
0.13,0.02,1.0,-4.84,-5.69,-0.06
0.15,0.01,0.97,-3.25,-4.0,0.93
0.13,0.0,0.96,-1.69,-2.05,-0.02
0.13,0.02,1.0,-4.27,-2.7,1.42
0.15,0.02,0.98,-4.55,-1.04,2.09
0.14,0.02,1.0,-4.75,-3.45,4.24
0.13,0.03,1.01,-4.92,-2.2,3.92
0.12,0.02,1.02,-4.15,-2.55,4.15
0.15,0.01,0.98,-2.96,-0.95,5.21
0.15,0.01,0.98,-2.7,3.71,4.7
0.14,0.0,0.99,-1.04,6.7,4.75
0.11,0.0,1.01,-2.12,5.94,4.4
0.08,0.01,1.05,-3.53,3.69,3.36
0.08,-0.0,1.02,-2.09,0.67,2.92
0.11,-0.01,1.0,-1.48,-1.71,3.13
0.09,0.0,1.03,-1.92,-4.5,2.69
0.08,-0.01,1.0,-0.29,-6.17,2.27
0.1,-0.01,1.01,1.5,-8.38,2.7
0.1,0.0,1.04,-0.92,-7.69,1.19
0.12,-0.01,1.01,-1.02,-4.96,-1.08
0.12,-0.02,0.97,2.67,-6.32,0.21
0.17,0.01,1.0,3.21,-3.98,1.88
0.15,0.02,1.05,-2.18,-1.59,2.2
0.13,0.02,1.04,-2.98,-2.41,1.98
0.14,-0.0,1.01,-1.34,-1.16,1.48
0.15,0.0,1.0,-0.15,-0.78,2.79
0.11,-0.01,1.0,1.8,-2.14,1.53
0.1,-0.02,0.98,3.11,-0.93,-0.21
0.13,0.0,1.03,1.54,-1.05,-0.81
0.12,0.01,1.03,2.03,-5.13,0.23
0.12,0.0,1.0,3.4,-7.13,0.26
0.12,0.01,1.03,3.85,-9.24,0.5
0.12,0.01,1.01,4.69,-12.53,0.44
0.13,0.0,0.98,5.71,-12.85,0.38
0.14,-0.0,0.99,8.29,-15.28,0.95
0.14,-0.0,0.95,9.69,-14.52,0.32
0.16,0.02,0.98,10.61,-11.76,0.18
0.16,0.03,1.01,9.68,-9.69,-0.03
0.16,0.04,1.02,8.75,-12.69,1.77
0.17,0.04,0.98,9.95,-12.81,2.15
0.19,0.03,1.0,9.27,-11.94,2.79
0.19,0.03,0.99,10.53,-10.84,4.03
0.19,0.02,0.97,13.3,-7.08,3.66
0.17,0.02,0.99,13.36,-7.82,3.73
0.15,0.05,1.04,11.19,-9.36,2.69
0.17,0.04,1.02,11.24,-8.15,2.31
0.16,0.06,1.03,9.73,-8.64,1.77
