accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.53,0.29,0.59,-19.33,108.47,-46.85
0.58,0.33,0.65,2.17,99.91,-13.8
0.48,0.33,0.84,7.53,75.28,27.51
0.28,0.4,0.99,11.89,71.74,44.35
0.22,0.4,0.99,12.4,78.41,50.76
0.06,0.48,1.17,12.47,79.18,48.53
-0.04,0.42,1.15,19.98,66.82,47.83
-0.11,0.33,1.1,35.05,44.44,51.22
-0.18,0.27,1.1,57.11,5.02,52.64
-0.03,0.33,1.09,67.63,-28.55,42.53
-0.07,0.32,1.26,67.5,-46.02,48.84
-0.12,0.26,1.53,58.66,-58.21,43.05
0.22,0.37,1.18,46.4,17.8,38.49
0.1,0.35,1.25,43.69,33.27,31.05
0.08,0.39,1.32,32.43,50.6,12.09
0.11,0.4,1.35,19.25,57.62,6.84
-0.0,0.38,1.3,26.14,13.19,-5.59
0.0,0.32,1.18,19.22,17.54,14.18
-0.02,0.32,1.17,13.54,-2.75,6.56
0.04,0.41,1.08,3.63,-14.49,2.99
0.02,0.36,1.0,-0.7,-26.98,0.11
0.05,0.31,0.91,5.19,-25.91,-1.92
0.05,0.3,0.91,9.01,-29.74,-4.75
0.06,0.31,0.98,5.07,-34.03,-9.13
0.05,0.31,1.01,-0.4,-35.54,-14.64
0.08,0.3,0.95,0.47,-39.11,-16.89
0.15,0.31,0.93,3.42,-38.46,-18.08
0.2,0.34,0.96,1.07,-31.05,-19.62
0.17,0.38,1.06,-7.4,-34.49,-19.71
0.22,0.38,1.04,-10.27,-45.07,-14.72
0.27,0.34,0.91,-5.16,-45.82,-9.08
0.28,0.29,0.84,-1.37,-27.27,-9.66
0.28,0.3,0.83,3.88,-15.21,-12.43
0.22,0.36,0.86,5.16,-14.53,-10.21
0.23,0.34,0.86,12.26,-28.96,-7.73
0.26,0.37,0.94,13.3,-38.72,-3.04
0.44,0.43,1.0,6.46,-24.73,0.52
0.65,0.49,1.01,-2.49,-6.99,14.96
0.61,0.58,1.09,-13.04,8.58,26.11
0.6,0.55,1.12,-20.05,14.87,44.72
0.49,0.52,1.03,-22.64,18.2,56.76
0.34,0.38,0.96,-24.49,29.59,49.21
0.25,0.37,0.93,-32.14,34.24,37.05
0.21,0.32,0.9,-34.43,42.06,25.82
0.17,0.28,0.93,-36.55,28.85,19.01
0.19,0.3,0.97,-38.6,13.31,19.8
0.27,0.32,1.0,-41.88,3.25,24.17
0.28,0.31,1.03,-48.95,3.44,25.63
0.25,0.27,0.99,-50.29,3.74,22.09
0.26,0.23,0.95,-45.79,12.61,18.09
0.27,0.22,0.92,-40.84,20.76,12.85
0.23,0.2,0.98,-38.75,23.98,11.21
0.18,0.2,1.0,-38.78,19.47,9.19
0.15,0.17,1.0,-39.04,13.83,7.02
0.15,0.15,0.94,-34.56,11.92,5.36
0.15,0.16,0.91,-29.6,13.45,0.32
0.17,0.11,0.85,-24.67,6.6,-0.26
0.16,0.07,0.83,-9.21,8.43,-3.15
0.19,0.09,0.82,-10.55,1.5,0.38
0.2,0.08,0.78,-5.47,7.63,1.56
0.16,0.1,0.82,-4.21,12.2,0.96
0.06,0.1,0.88,-3.73,2.29,-1.73
0.05,0.12,0.9,-6.21,-6.53,-2.95
0.12,0.11,0.86,-5.59,-8.72,-5.42
0.16,0.09,0.79,9.59,11.56,-19.6
0.23,0.13,0.82,7.42,-3.83,-2.7
0.2,0.14,0.85,12.55,-5.53,0.56
0.17,0.16,0.89,16.52,-6.72,0.15
0.17,0.17,0.91,22.15,-9.01,-2.43
0.18,0.19,0.96,24.05,-8.35,-5.04
0.19,0.22,1.02,23.6,-12.96,-4.49
0.17,0.27,1.02,24.41,-17.97,-3.88
0.25,0.23,1.05,23.4,-7.44,-7.44
0.24,0.25,1.09,18.55,-17.05,-2.08
0.25,0.28,1.05,15.95,-12.96,-1.02
0.31,0.27,0.97,22.96,-4.08,2.12
0.25,0.24,0.96,30.96,-4.43,-0.2
0.25,0.24,0.96,37.95,-4.0,4.27
0.24,0.26,0.98,50.02,-3.48,-1.08
0.2,0.33,1.02,52.14,-5.62,0.98
