accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.22,-0.06,0.9,7.16,31.18,-0.21
0.14,-0.07,0.92,10.84,33.42,-3.69
0.17,-0.04,0.98,11.5,30.75,-6.93
0.15,-0.03,1.01,11.02,23.27,-7.21
0.12,-0.02,1.08,8.29,2.43,-3.63
0.17,-0.03,1.05,7.27,-5.83,-1.02
0.12,0.03,1.08,4.58,-12.08,1.33
0.21,-0.03,1.04,5.11,-10.98,4.44
0.21,-0.05,0.98,8.46,-8.9,5.8
0.22,-0.04,0.99,9.77,-3.47,5.47
0.18,-0.04,1.02,8.69,-3.01,3.82
0.21,-0.01,1.04,5.88,2.18,3.36
0.2,-0.01,1.03,4.21,5.28,2.82
0.18,0.01,1.07,-0.37,5.11,3.92
0.22,-0.01,1.01,-0.23,6.26,4.84
0.16,-0.02,1.03,-1.19,1.94,6.96
0.2,-0.02,1.0,-1.39,4.96,6.61
0.18,-0.03,0.99,-0.73,8.66,5.37
0.15,-0.02,1.02,-2.32,6.75,4.14
0.18,-0.01,1.02,-4.02,8.95,2.11
0.17,-0.02,0.98,-2.61,6.66,2.95
0.18,-0.02,1.0,-2.67,5.27,4.0
0.18,-0.03,0.95,-1.65,10.61,3.37
0.15,-0.01,1.02,-1.39,8.21,3.65
0.14,-0.01,1.0,-0.87,4.69,3.71
0.15,-0.03,0.96,1.31,3.83,3.34
0.15,-0.03,0.95,3.45,1.48,2.29
0.16,-0.04,0.95,4.75,0.47,0.58
0.17,-0.03,0.95,5.85,-0.76,1.1
0.16,-0.02,0.99,5.37,-4.32,2.7
0.17,-0.02,0.95,6.72,-2.23,1.04
0.14,-0.03,0.96,8.73,-3.16,-1.21
0.15,-0.04,0.96,9.07,-1.97,-3.51
0.13,-0.0,1.01,5.16,-11.05,-1.21
0.18,0.01,1.03,0.76,-10.2,-1.34
0.21,-0.0,0.97,2.08,-9.11,-0.4
0.23,-0.01,0.96,0.95,0.96,-0.79
0.22,-0.02,0.98,1.13,6.0,-0.09
0.21,-0.0,1.0,0.09,10.96,0.4
0.18,0.02,1.05,-3.48,8.43,1.08
0.17,-0.01,1.0,-3.77,9.24,-0.38
0.15,-0.03,0.97,-1.31,9.27,-1.51
0.17,-0.02,0.99,-2.17,10.49,-1.71
0.17,-0.03,0.98,0.99,9.63,-0.81
0.15,-0.03,0.99,2.98,7.86,0.0
0.15,-0.01,1.01,2.23,4.21,0.02
0.14,-0.0,1.04,1.69,3.59,-0.05
0.14,0.03,1.07,-1.68,5.36,-0.26
0.15,0.02,1.05,-3.73,7.82,-0.64
0.13,0.01,1.04,-4.03,7.37,-1.47
0.15,0.01,1.04,-4.81,5.83,-0.44
0.13,0.01,1.04,-6.85,5.01,-0.44
0.11,0.0,1.06,-7.88,4.24,-1.56
0.14,-0.01,1.03,-6.53,1.51,-1.51
0.12,-0.01,1.02,-8.06,1.56,-3.28
0.15,-0.01,1.01,-7.25,2.58,-1.65
0.21,-0.01,0.98,-4.11,8.81,1.05
0.18,-0.01,0.98,-1.63,12.0,0.66
0.12,-0.03,0.99,-2.2,10.73,-0.93
0.11,0.0,1.07,-6.7,5.33,-0.63
0.13,-0.02,1.03,-4.2,-3.22,1.21
0.14,-0.03,0.98,-1.19,-4.35,1.18
0.15,-0.03,1.01,-4.11,-0.03,-0.32
0.17,-0.05,0.97,-0.85,2.99,2.2
0.14,-0.03,1.01,-1.21,2.89,2.18
0.12,-0.03,1.01,-1.94,-0.52,0.95
0.16,-0.02,1.0,-2.98,1.44,0.21
0.16,-0.02,1.02,-2.76,-0.87,0.96
0.15,-0.02,1.01,-4.29,3.73,-0.9
0.15,0.01,1.04,-8.06,4.92,-1.94
0.16,-0.0,1.04,-9.8,7.8,-1.11
0.14,-0.01,1.04,-10.32,6.66,-0.47
0.15,-0.02,1.01,-9.5,5.05,1.22
0.12,-0.03,1.02,-7.21,3.05,1.15
0.13,-0.04,1.01,-8.46,2.93,0.99
0.14,-0.03,1.03,-9.22,0.89,3.36
0.16,-0.03,1.0,-8.21,4.02,4.6
0.15,-0.04,1.0,-9.02,5.82,4.66
0.15,-0.06,1.0,-10.52,11.44,2.75
0.09,-0.07,0.97,-6.96,6.31,1.39
0.13,-0.05,0.99,-6.5,13.47,0.81
0.09,-0.05,1.06,-8.66,13.11,-0.66
0.02,-0.05,1.05,-7.68,-2.76,-0.27
0.06,-0.06,1.06,-7.3,-8.21,-1.18
0.08,-0.05,1.08,-9.1,-12.67,0.79
0.12,-0.05,1.05,-7.89,-17.05,3.8
0.16,-0.06,1.04,-7.44,-13.97,4.89
0.15,-0.07,1.04,-6.24,-14.85,5.8
0.14,-0.07,1.07,-8.76,-14.37,4.61
0.13,-0.05,1.06,-9.82,-12.69,3.47
0.15,-0.07,1.02,-9.15,-9.71,2.08
0.14,-0.07,1.05,-9.4,-9.18,1.25
0.17,-0.07,1.01,-8.92,-5.54,1.63
0.18,-0.08,1.01,-8.11,-1.92,1.94
0.16,-0.07,1.06,-9.07,-7.44,3.91
0.15,-0.1,0.98,-6.75,-6.93,3.34
0.16,-0.11,0.98,-5.02,-8.14,2.5
0.16,-0.12,0.97,-3.05,-12.82,3.21
0.2,-0.12,0.94,-0.08,-8.46,2.7
0.17,-0.12,0.93,4.17,-6.56,0.05
0.19,-0.12,0.92,7.02,5.25,-6.44
0.15,-0.12,0.95,7.98,8.47,-12.02
0.14,-0.12,0.96,5.27,16.46,-20.03
0.15,-0.1,1.01,2.82,17.56,-23.73
0.15,-0.04,1.02,-1.44,14.69,-23.04
0.16,-0.02,1.07,-8.23,10.67,-16.34
0.17,-0.02,1.04,-8.92,11.6,-11.94
0.15,-0.04,1.03,-11.45,10.99,-7.48
0.12,-0.06,1.03,-14.37,8.69,-6.53
0.09,-0.08,1.0,-13.08,5.15,-8.52
0.09,-0.09,0.97,-9.25,5.6,-10.46
0.12,-0.1,0.96,-6.5,2.61,-9.18
0.12,-0.1,0.99,-4.5,-0.64,-7.5
0.1,-0.11,0.98,-1.3,-5.51,-7.01
0.14,-0.06,1.04,-3.94,-7.88,-3.88
0.12,-0.05,1.04,-4.81,-13.65,-0.26
