accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.21,0.18,0.97,-7.27,0.89,1.63
0.21,0.18,0.97,-4.89,-0.98,3.86
0.23,0.17,0.96,-0.18,0.12,6.02
0.18,0.18,1.01,-2.49,-0.35,4.6
0.18,0.17,0.98,-0.6,-3.82,6.44
0.23,0.08,0.88,-2.38,-3.94,5.31
0.17,0.24,1.07,-10.73,2.17,0.09
0.22,0.24,1.1,-7.4,9.6,-1.51
0.27,0.24,1.04,-6.21,12.75,1.73
0.29,0.17,0.98,-6.93,21.91,3.47
0.25,0.2,1.03,-5.34,26.49,4.24
0.21,0.21,1.01,3.16,23.51,8.55
0.22,0.21,0.99,-7.69,28.69,7.79
0.14,0.14,0.99,-7.91,31.54,6.32
0.02,0.33,1.08,-9.56,24.72,2.52
0.13,0.14,0.92,0.58,12.5,6.69
0.08,0.15,0.98,5.57,-0.34,4.18
0.08,0.17,1.03,1.11,-5.62,4.02
0.16,0.17,1.03,-2.05,-0.66,3.6
0.07,0.15,0.96,4.02,-7.16,5.16
0.14,0.14,1.0,1.83,-0.35,5.37
0.16,0.14,1.05,-2.53,10.15,4.55
0.1,0.15,1.11,-8.93,8.84,2.58
0.09,0.13,1.04,-8.41,-0.96,2.05
0.13,0.1,1.02,-4.08,-3.37,2.34
0.12,0.13,1.0,-2.32,-2.15,1.92
0.21,0.11,1.0,-2.96,3.34,4.89
0.22,0.13,0.99,-3.47,13.48,5.39
0.16,0.13,0.97,-1.3,6.78,8.12
0.04,0.19,1.01,3.27,-0.37,6.99
0.06,0.16,1.03,2.46,-1.59,2.63
0.08,0.15,1.01,2.76,-9.11,2.17
0.13,0.16,0.94,6.85,-11.73,1.86
0.15,0.17,1.01,6.05,-13.53,3.45
0.22,0.17,0.96,6.23,-0.69,1.62
0.18,0.16,0.86,14.63,-0.03,-0.6
0.21,0.18,0.83,26.58,6.6,-2.37
0.18,0.25,1.06,21.37,7.42,0.08
0.17,0.26,1.09,10.78,15.08,-4.43
0.1,0.24,1.01,10.4,10.43,-7.53
0.15,0.2,0.95,18.98,-1.19,-5.02
0.17,0.21,0.98,21.19,-5.08,-4.37
0.17,0.25,1.05,16.21,-4.02,-5.1
0.21,0.24,1.06,7.68,1.62,-4.05
0.18,0.26,1.08,-2.63,5.69,-3.13
0.17,0.24,1.05,-8.85,7.54,-2.0
0.16,0.21,0.95,-9.22,3.36,0.26
0.17,0.2,0.94,-7.53,3.51,1.33
0.13,0.18,0.92,-1.73,1.15,2.12
0.14,0.18,0.94,-2.06,6.11,-1.02
0.11,0.18,0.99,-2.23,0.53,0.18
0.19,0.21,0.96,-3.85,6.85,-0.5
0.18,0.21,0.98,-3.91,5.19,2.53
0.16,0.21,0.99,-5.71,7.79,2.56
0.18,0.19,0.97,-4.08,10.46,4.23
0.14,0.18,1.0,-3.86,9.28,4.24
0.12,0.19,1.02,-5.59,8.85,2.75
