accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.15,0.18,1.05,-13.5,16.55,-3.02
0.12,0.17,1.01,-13.04,10.61,-4.73
0.12,0.14,0.94,-5.89,2.99,-6.92
0.17,0.15,0.91,0.64,-0.06,-5.74
0.18,0.19,0.95,2.4,8.14,-5.65
0.16,0.16,0.9,5.56,-2.12,-1.6
0.11,0.14,0.9,10.93,-18.05,-0.08
0.09,0.18,0.92,19.97,-31.25,-0.09
0.18,0.19,0.89,21.85,-27.88,-7.19
0.26,0.22,0.92,16.46,-6.85,-12.24
0.27,0.25,0.91,16.44,-0.72,-7.34
0.2,0.25,0.99,9.98,-6.29,-5.39
0.22,0.25,1.0,3.1,-1.59,-9.31
0.22,0.25,0.95,2.37,-1.28,-10.7
0.28,0.27,0.95,-1.04,7.89,-11.44
0.28,0.27,0.97,-1.3,14.7,-11.18
0.25,0.27,0.97,1.83,12.15,-8.11
0.22,0.26,1.02,-0.12,7.19,-7.65
0.18,0.27,1.07,-4.34,-1.76,-7.5
0.24,0.25,0.99,-2.72,-1.65,-6.58
0.25,0.24,0.98,0.11,1.97,-5.02
0.24,0.24,1.01,-1.45,6.47,-4.34
0.21,0.25,1.04,-2.69,5.95,-4.35
0.17,0.24,1.04,-5.3,4.61,-7.73
0.19,0.25,1.04,-7.13,0.06,-6.78
0.24,0.26,1.06,-13.48,1.73,-6.44
0.24,0.22,1.0,-14.02,1.86,-5.66
0.24,0.2,0.96,-13.3,3.89,-5.3
0.21,0.2,0.98,-12.72,4.55,-6.23
0.19,0.19,0.97,-8.27,-0.52,-4.15
0.2,0.18,0.96,-7.69,3.74,-8.12
0.23,0.21,0.99,-10.6,4.21,-8.69
0.24,0.22,1.01,-12.6,6.81,-7.68
0.22,0.24,1.02,-19.18,13.27,-8.96
0.16,0.28,1.09,-22.7,7.13,-4.95
0.2,0.24,0.95,-21.88,-1.19,-3.86
0.25,0.16,0.89,-12.89,3.08,-2.66
0.27,0.18,0.93,-8.52,8.18,-0.73
0.2,0.2,1.0,-24.58,-4.02,8.15
0.17,0.21,1.01,-13.73,8.73,-0.96
0.12,0.19,0.97,-8.67,-3.36,0.82
0.17,0.18,0.98,-6.06,-4.46,-0.67
0.21,0.21,1.01,-5.65,-5.5,0.46
0.22,0.18,0.97,-3.31,-5.25,2.06
0.2,0.19,0.99,-3.47,-4.95,2.14
0.21,0.19,1.0,-2.44,-8.85,5.34
0.17,0.17,0.97,0.69,-11.66,5.4
0.17,0.16,0.96,3.65,-13.83,3.36
0.18,0.15,0.93,9.59,-19.33,4.7
0.22,0.15,0.89,16.79,-23.21,5.8
0.19,0.15,0.9,27.05,-31.6,8.72
