accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.06,0.08,0.96,-8.55,7.19,2.81
0.03,0.09,0.98,-8.95,4.56,-0.05
0.04,0.12,1.09,-14.26,-1.28,0.17
0.11,0.09,1.0,-13.79,1.01,0.41
0.18,0.08,0.99,-12.21,9.02,3.54
0.15,0.07,0.99,-9.82,16.31,5.27
0.08,0.06,0.98,-6.69,19.27,5.21
0.06,0.06,1.02,-4.66,19.51,6.08
0.0,0.08,1.07,-6.26,13.56,5.82
0.02,0.07,1.05,-6.58,11.71,5.04
-0.0,0.07,1.04,-5.54,8.7,4.66
-0.02,0.07,1.03,-3.6,5.5,3.97
-0.03,0.06,0.99,1.54,1.8,5.07
-0.02,0.05,0.97,7.21,-6.92,4.27
-0.02,0.04,0.98,13.68,-16.9,5.82
-0.01,0.05,0.96,17.8,-22.87,4.05
-0.03,0.08,1.01,15.53,-20.84,-1.79
0.02,0.09,0.96,15.54,-14.84,-7.36
0.05,0.13,1.01,12.0,-18.84,-5.44
0.07,0.15,1.06,5.73,-13.4,-6.26
0.1,0.16,1.03,0.37,-7.57,-6.26
0.11,0.15,1.01,-1.01,-5.21,-5.24
0.12,0.14,0.98,0.14,-5.54,-4.0
0.12,0.14,0.97,3.47,-3.68,-3.76
0.11,0.14,0.98,4.52,-4.89,-3.44
0.1,0.17,1.02,3.08,-6.11,-4.15
0.13,0.15,0.98,3.27,-4.95,-4.5
0.19,0.19,1.04,-1.25,2.84,-2.69
0.18,0.18,1.02,-2.08,8.53,-0.95
0.15,0.17,1.04,-7.85,11.79,-0.44
0.15,0.15,1.01,-7.95,14.31,-0.03
0.14,0.16,1.04,-9.21,15.05,0.46
0.1,0.14,1.04,-7.74,12.79,1.89
0.14,0.12,0.97,-3.4,12.56,3.94
0.16,0.14,1.02,-5.97,16.46,5.66
0.14,0.14,1.01,-5.69,22.0,5.88
0.12,0.13,1.03,-5.91,22.98,7.48
0.08,0.14,1.09,-8.87,20.34,8.76
0.04,0.12,1.04,-7.16,17.5,8.2
0.04,0.09,1.02,-4.78,14.44,7.31
0.02,0.11,1.05,-6.99,11.3,6.11
-0.02,0.13,1.11,-11.86,5.01,4.79
-0.0,0.11,1.05,-9.88,3.5,3.44
-0.02,0.1,1.07,-10.46,1.69,1.54
0.02,0.1,1.07,-12.79,1.86,0.63
0.03,0.1,1.04,-13.21,3.97,0.0
0.03,0.08,1.02,-12.32,6.26,-1.88
0.02,0.08,1.04,-13.89,3.27,-1.39
-0.01,0.08,1.04,-13.71,-0.93,-2.73
0.02,0.06,1.0,-9.63,-4.89,-2.32
0.03,0.05,1.0,-6.34,-5.11,-2.78
0.02,0.07,1.03,-8.21,-8.56,-3.19
0.03,0.09,1.05,-8.49,-10.38,-3.37
0.05,0.09,1.04,-8.79,-9.53,-4.29
0.09,0.09,1.04,-10.02,-5.22,-3.11
0.09,0.09,1.04,-11.39,-3.4,-1.73
0.07,0.08,1.06,-12.67,-3.05,-1.3
0.08,0.07,1.05,-12.89,-0.81,-2.06
0.09,0.08,1.02,-13.31,2.53,-2.29
0.07,0.07,1.03,-13.6,-0.06,-1.22
0.08,0.06,1.01,-11.44,-1.22,-0.35
0.08,0.06,1.02,-10.99,-0.27,-0.32
0.06,0.08,1.04,-12.6,0.98,-1.77
0.08,0.08,1.03,-12.08,-0.27,-0.93
0.11,0.07,1.03,-11.89,-0.11,2.2
0.13,0.08,0.99,-12.15,1.16,4.61
0.12,0.07,0.99,-12.79,6.21,4.18
0.08,0.05,1.0,-12.18,3.57,3.88
0.05,0.03,0.98,-10.93,7.57,2.23
0.03,0.03,1.0,-11.13,2.92,2.02
0.07,0.02,0.97,-9.15,3.51,0.38
0.08,0.02,0.97,-8.58,5.82,0.02
0.11,0.02,0.97,-9.47,9.19,-0.12
0.08,0.03,1.01,-10.75,9.3,-0.21
0.04,0.02,0.97,-9.42,6.81,-1.65
0.05,0.0,0.97,-7.97,1.21,-0.99
0.05,-0.01,0.99,-7.57,-3.21,-0.63
0.06,-0.0,0.95,-4.6,-5.37,-1.24
0.05,0.0,0.97,-1.07,-7.15,-1.28
0.05,0.01,1.01,0.11,-7.6,-2.38
0.05,0.02,1.05,0.37,-10.38,-1.74
0.02,0.02,1.03,1.88,-13.86,-1.92
0.04,0.03,1.06,0.41,-12.78,-1.16
0.06,0.04,1.07,2.49,-15.37,0.41
0.07,0.03,1.04,4.73,-14.89,1.15
0.1,0.02,1.03,3.82,-9.91,-0.72
0.07,0.03,1.03,5.83,-10.6,0.21
0.1,0.03,1.04,7.51,-8.63,0.43
