accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.26,0.19,0.95, -6.55, 169.08, -53.79,
 0.27,0.20,0.92, -6.38, 174.75, -54.99,
 0.25,0.22,0.94, -8.21, 178.50, -55.07,
 0.21,0.18,0.93, -23.22, 190.96, -49.74,
 0.34,0.19,1.04, -32.15, 214.95, -48.47,
 0.19,0.25,0.85, -17.10, 232.73, -51.63,
 0.09,0.19,0.91, -14.93, 246.20, -49.01,
 0.04,0.19,0.96, -10.46, 244.37, -46.90,
 -0.00,0.18,0.91, -10.15, 241.74, -45.77,
 -0.07,0.16,0.93, -11.54, 228.90, -42.95,
 -0.10,0.15,0.91, -12.82, 214.50, -41.66,
 -0.14,0.15,0.91, -14.14, 197.04, -39.83,
 -0.14,0.14,0.90, -14.89, 183.18, -36.76,
 -0.13,0.14,0.88, -18.29, 168.96, -33.22,
 -0.13,0.14,0.86, -17.65, 158.55, -30.08,
 -0.14,0.15,0.85, -17.86, 148.18, -23.89,
 -0.17,0.15,0.85, -16.76, 137.19, -15.44,
 -0.19,0.12,0.81, -16.70, 129.34, -8.49,
 -0.18,0.15,0.83, -14.06, 125.15, -3.28,
 -0.20,0.15,0.78, -12.95, 128.79, 1.95,
 -0.27,0.12,0.80, -11.83, 128.00, 0.26,
 -0.27,0.15,0.81, -12.64, 132.89, 1.05,
 -0.29,0.17,0.81, -13.21, 141.76, 1.11,
 -0.31,0.16,0.83, -13.59, 146.27, 2.08,
 -0.35,0.17,0.82, -13.19, 149.15, 0.84,
 -0.39,0.17,0.80, -12.58, 149.79, -0.41,
 -0.42,0.15,0.80, -10.89, 144.17, -1.18,
 -0.43,0.15,0.78, -8.72, 141.22, -1.74,
 -0.44,0.13,0.77, -6.41, 140.46, -1.89,
 -0.45,0.15,0.75, -6.35, 133.79, -2.82,
 -0.46,0.15,0.76, -5.13, 127.13, -1.15,
 -0.47,0.15,0.75, -4.64, 121.44, 0.95,
 -0.46,0.16,0.76, -3.48, 121.91, 3.54,
 -0.47,0.15,0.74, -6.37, 121.07, 5.62,
 -0.49,0.18,0.79, -6.43, 115.21, 8.49,
 -0.50,0.16,0.74, -4.99, 115.79, 6.43,
 -0.51,0.16,0.76, -4.72, 116.31, 4.47,
 -0.49,0.15,0.74, -5.01, 123.80, 0.55,
 -0.48,0.14,0.70, -5.86, 136.12, -3.53,
 -0.46,0.11,0.66, -8.02, 155.40, -11.47,
 -0.43,0.13,0.68, -5.89, 178.82, -18.92,
 -0.41,0.12,0.63, -3.24, 205.30, -26.78,
 -0.42,0.12,0.63, -1.71, 231.39, -33.44,
 -0.43,0.12,0.62, 0.98, 247.77, -34.66,
 -0.44,0.13,0.61, 1.63, 258.89, -33.51,
 -0.46,0.13,0.60, 3.60, 261.01, -27.27,
 -0.49,0.14,0.57, 4.75, 262.06, -21.45,
 -0.54,0.17,0.57, 4.79, 254.66, -11.50,
 -0.55,0.18,0.56, 2.89, 251.02, -2.98,
 -0.59,0.20,0.53, 0.63, 251.65, 5.16,
 -0.65,0.19,0.51, 1.91, 248.47, 9.95,
 -0.71,0.21,0.49, 0.44, 242.67, 14.15,
 -0.78,0.20,0.49, 0.81, 235.59, 15.28,
 -0.79,0.19,0.44, -0.93, 237.27, 13.94,
 -0.82,0.19,0.42, -1.76, 241.85, 11.24,
 -0.86,0.21,0.41, -3.73, 244.50, 8.12,
 -0.94,0.19,0.39, -3.73, 241.39, 0.26,
 -0.96,0.19,0.35, -3.36, 238.99, -6.41,
 -0.98,0.17,0.33, -3.40, 236.09, -12.58,
 -1.01,0.16,0.28, -2.82, 233.92, -16.49,
