accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.32,0.13,0.88, 1.16, 16.46, -1.42,
 0.31,0.13,0.90, 1.33, 16.58, -1.13,
 0.31,0.14,0.89, 1.51, 16.55, -0.99,
 0.30,0.13,0.87, 1.91, 17.22, -0.96,
 0.30,0.14,0.89, 2.29, 16.72, -1.36,
 0.28,0.15,0.89, 1.98, 15.08, -1.31,
 0.28,0.14,0.90, 2.17, 14.15, -1.08,
 0.28,0.14,0.89, 2.15, 11.13, -0.38,
 0.30,0.15,0.91, 2.18, 9.36, 0.44,
 0.29,0.15,0.91, 1.88, 8.72, 1.62,
 0.29,0.17,0.92, 0.96, 8.61, 2.47,
 0.29,0.16,0.92, 0.09, 8.70, 2.93,
 0.28,0.16,0.90, -0.21, 8.75, 2.81,
 0.27,0.16,0.91, -0.43, 8.56, 2.49,
 0.27,0.16,0.91, -0.34, 9.34, 1.66,
 0.27,0.16,0.90, -0.61, 10.09, 0.95,
 0.26,0.16,0.91, -1.07, 10.46, 0.34,
 0.26,0.16,0.90, -1.19, 10.79, -0.24,
 0.26,0.16,0.91, -1.44, 10.41, -0.89,
 0.26,0.16,0.90, -1.39, 10.55, -1.30,
 0.26,0.15,0.91, -1.66, 11.28, -1.51,
 0.28,0.16,0.90, -1.56, 11.85, -0.73,
 0.30,0.15,0.91, -1.80, 14.21, 0.00,
 0.33,0.15,0.90, -1.71, 17.94, 1.66,
 0.34,0.14,0.90, -1.34, 20.90, 3.69,
 0.34,0.15,0.90, -1.82, 23.53, 6.23,
 0.33,0.15,0.90, -1.54, 25.33, 7.45,
 0.31,0.16,0.91, -1.69, 27.86, 7.08,
 0.30,0.16,0.91, -2.12, 30.38, 6.46,
 0.28,0.15,0.89, -2.11, 30.78, 7.19,
 0.26,0.15,0.90, -1.80, 30.02, 6.79,
 0.24,0.16,0.89, -1.28, 27.92, 6.92,
 0.23,0.16,0.91, -1.16, 25.34, 6.75,
 0.23,0.15,0.91, -1.48, 22.72, 6.53,
 0.22,0.15,0.91, -1.77, 20.61, 6.63,
 0.22,0.14,0.90, -1.63, 19.18, 6.12,
 0.23,0.14,0.91, -1.22, 19.16, 5.31,
 0.23,0.14,0.89, -0.70, 20.49, 3.82,
 0.23,0.14,0.89, -0.06, 23.39, 2.32,
 0.24,0.15,0.89, -0.24, 28.89, -1.30,
 0.25,0.13,0.88, 0.89, 36.64, -5.34,
 0.26,0.14,0.87, 1.77, 45.01, -8.63,
 0.30,0.14,0.87, 2.21, 57.39, -12.96,
 0.32,0.15,0.88, 3.51, 72.20, -15.40,
 0.35,0.14,0.87, 4.00, 89.45, -19.24,
