accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.42,0.15,0.83, -7.02, 3.34, -1.40,
 0.42,0.14,0.83, -6.64, 3.39, -1.19,
 0.43,0.15,0.84, -6.61, 3.39, -1.33,
 0.42,0.14,0.82, -5.94, 3.27, -1.28,
 0.42,0.14,0.84, -5.40, 3.31, -1.04,
 0.42,0.14,0.83, -4.58, 2.75, -0.63,
 0.42,0.15,0.83, -4.17, 2.66, -0.29,
 0.41,0.15,0.83, -3.74, 1.92, -0.15,
 0.42,0.15,0.84, -3.37, 1.27, 0.08,
 0.41,0.15,0.83, -3.02, 0.78, -0.05,
 0.41,0.15,0.84, -2.96, 0.60, -0.03,
 0.41,0.16,0.84, -3.11, 1.34, -0.21,
 0.42,0.16,0.84, -2.55, 2.46, -0.18,
 0.40,0.16,0.85, -2.84, 2.05, -0.84,
 0.41,0.17,0.87, -3.30, 2.41, -1.57,
 0.40,0.17,0.85, -3.65, 1.77, -2.11,
 0.40,0.17,0.86, -4.41, 2.02, -2.95,
 0.42,0.17,0.86, -4.92, 2.85, -3.34,
 0.42,0.17,0.85, -5.89, 3.34, -3.59,
 0.42,0.17,0.84, -5.85, 3.24, -3.63,
 0.41,0.17,0.85, -5.66, 2.89, -3.60,
 0.42,0.16,0.84, -5.45, 1.71, -3.71,
 0.42,0.16,0.84, -4.76, 1.22, -3.66,
 0.43,0.16,0.84, -4.17, 0.44, -3.11,
 0.43,0.16,0.84, -3.65, 0.09, -3.05,
 0.43,0.16,0.84, -3.36, -0.14, -3.01,
 0.41,0.17,0.81, -4.05, -1.08, -1.97,
 0.45,0.13,0.84, -3.42, 1.11, -2.50,
 0.44,0.16,0.83, -2.84, 1.88, -2.93,
 0.43,0.16,0.84, -3.27, 0.14, -3.08,
 0.44,0.16,0.85, -3.69, 0.38, -1.97,
 0.43,0.16,0.84, -2.52, 0.35, -2.23,
 0.44,0.16,0.84, -2.40, 1.59, -2.49,
 0.44,0.17,0.85, -2.38, 1.40, -2.49,
 0.44,0.17,0.84, -1.89, 1.30, -2.29,
 0.44,0.17,0.85, -2.11, 0.61, -1.80,
 0.44,0.17,0.85, -2.38, 0.14, -1.33,
 0.44,0.17,0.85, -3.24, -1.39, -0.76,
 0.44,0.17,0.86, -3.56, -0.87, -0.55,
 0.44,0.17,0.87, -4.15, -1.04, -0.69,
 0.44,0.17,0.85, -4.18, -0.49, -0.69,
 0.44,0.16,0.85, -4.47, -0.17, -0.63,
 0.44,0.15,0.86, -4.70, -0.05, -0.78,
 0.44,0.16,0.84, -4.50, 0.61, -1.22,
 0.44,0.16,0.83, -4.15, 1.45, -0.95,
 0.44,0.16,0.85, -3.53, 1.53, -0.72,
