accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.88,0.09,0.50, -24.00, 151.74, -25.76,
 -0.87,0.08,0.49, -21.19, 143.31, -23.31,
 -0.87,0.10,0.47, -18.76, 139.51, -22.14,
 -0.85,0.08,0.45, -16.52, 138.08, -24.29,
 -0.84,0.08,0.45, -15.80, 139.11, -27.74,
 -0.82,0.07,0.44, -14.85, 147.01, -30.03,
 -0.80,0.09,0.42, -16.84, 154.93, -30.89,
 -0.82,0.09,0.40, -14.41, 162.82, -30.03,
 -0.84,0.08,0.37, -14.99, 164.08, -28.27,
 -0.84,0.05,0.34, -10.29, 163.05, -26.58,
 -0.89,0.06,0.31, -8.63, 154.56, -23.92,
 -0.89,0.04,0.31, -6.63, 149.25, -20.82,
 -0.92,0.04,0.30, -4.52, 142.67, -17.51,
 -0.93,0.03,0.28, -5.86, 134.46, -16.69,
 -0.94,0.01,0.27, -1.77, 129.07, -17.60,
 -0.94,0.05,0.26, -0.70, 120.50, -16.78,
 -0.93,0.04,0.25, -1.31, 114.05, -16.08,
 -0.92,0.05,0.27, -2.20, 109.07, -14.38,
 -0.92,0.07,0.28, -4.53, 100.66, -10.29,
 -0.90,0.07,0.27, -9.27, 94.61, -6.15,
 -0.92,0.08,0.29, -10.75, 87.01, -4.20,
 -0.92,0.06,0.26, -11.79, 80.55, -3.94,
 -0.93,0.05,0.25, -12.82, 74.35, -2.78,
 -0.94,0.02,0.22, -13.16, 68.40, -1.91,
 -0.94,0.01,0.18, -11.77, 64.76, -3.53,
 -0.94,-0.00,0.15, -8.82, 64.03, -5.56,
 -0.92,-0.01,0.12, -5.22, 67.51, -8.66,
 -0.92,-0.01,0.10, -1.48, 72.49, -10.98,
 -0.91,-0.00,0.11, 2.06, 77.30, -12.17,
 -0.90,-0.01,0.11, 6.69, 80.03, -12.27,
 -0.89,0.01,0.12, 10.08, 80.50, -11.16,
 -0.89,0.03,0.15, 10.37, 77.54, -8.49,
 -0.89,0.05,0.16, 8.52, 76.14, -4.61,
 -0.89,0.08,0.19, 5.65, 70.67, 1.21,
 -0.90,0.08,0.18, 3.48, 64.08, 6.40,
 -0.92,0.09,0.18, 0.29, 56.90, 11.54,
 -0.94,0.09,0.20, -4.26, 48.70, 15.82,
 -0.96,0.08,0.18, -8.24, 40.63, 18.72,
 -0.96,0.07,0.18, -11.21, 31.53, 21.19,
 -0.96,0.08,0.16, -13.63, 26.32, 22.64,
 -0.96,0.07,0.15, -15.59, 22.84, 23.40,
 -0.95,0.07,0.12, -17.95, 20.73, 24.20,
 -0.94,0.06,0.10, -18.87, 21.42, 24.18,
 -0.93,0.05,0.07, -17.95, 25.73, 23.95,
 -0.93,0.03,0.03, -15.08, 28.32, 20.85,
 -0.90,0.05,0.03, -11.85, 34.60, 19.04,
 -0.87,0.06,0.04, -10.15, 43.40, 19.37,
 -0.87,0.05,0.04, -10.44, 52.12, 20.06,
 -0.88,0.06,0.03, -8.98, 58.69, 21.31,
 -0.90,0.07,0.03, -7.07, 61.51, 23.51,
 -0.91,0.06,0.02, -5.04, 62.82, 25.88,
 -0.94,0.07,0.03, -4.02, 61.66, 27.36,
 -0.95,0.08,0.03, -1.71, 58.08, 28.14,
 -0.98,0.09,0.04, 0.41, 54.53, 27.66,
 -0.99,0.11,0.02, 1.24, 52.64, 27.39,
 -1.00,0.12,0.04, 1.18, 49.92, 27.34,
 -1.03,0.14,0.05, -0.52, 44.61, 26.87,
 -1.05,0.15,0.07, -3.11, 38.53, 25.51,
 -1.07,0.16,0.07, -5.05, 33.19, 21.76,
 -1.10,0.15,0.07, -6.06, 26.72, 15.51,
 -1.10,0.13,0.07, -7.51, 20.35, 8.99,
 -1.08,0.14,0.04, -8.29, 17.08, 4.93,
 -1.06,0.12,0.04, -7.24, 13.60, 2.21,
 -1.09,0.13,0.03, -5.74, 14.26, -3.73,
 -1.09,0.09,0.00, -6.27, 12.58, -8.96,
 -1.05,0.10,-0.00, -4.63, 9.69, -10.95,
 -0.99,0.10,0.00, -2.98, 6.82, -11.31,
 -0.96,0.14,0.00, -4.03, 9.74, -8.79,
 -0.95,0.12,0.02, -4.08, 11.66, -5.73,
 -0.97,0.12,0.02, -3.60, 13.18, -4.21,
 -0.98,0.13,0.03, -3.59, 14.56, -3.01,
 -0.99,0.13,0.04, -4.38, 14.85, -1.88,
 -1.00,0.12,0.04, -5.04, 12.99, -1.48,
 -1.00,0.12,0.03, -5.10, 11.88, -1.11,
 -0.99,0.13,0.05, -5.66, 10.47, 0.27,
 -0.99,0.13,0.04, -6.38, 8.05, 2.23,
 -0.98,0.12,0.03, -6.96, 6.90, 2.92,
 -0.96,0.11,0.01, -6.58, 9.39, 2.44,
 -0.96,0.10,-0.01, -5.56, 13.15, 1.86,
 -0.94,0.09,-0.02, -4.31, 17.05, 0.72,
 -0.96,0.09,-0.02, -2.93, 18.35, -0.52,
 -0.96,0.10,-0.01, -1.57, 18.84, -1.34,
 -0.96,0.10,-0.01, -0.31, 18.55, -2.02,
 -0.97,0.10,0.01, 0.24, 16.44, -2.17,
 -0.97,0.11,0.01, 1.07, 12.21, -1.39,
 -0.97,0.11,0.00, 0.78, 7.86, -0.95,
 -0.96,0.12,0.01, 0.38, 5.57, 0.14,
 -0.96,0.12,0.00, -0.98, 4.12, 1.33,
 -0.96,0.12,0.00, -1.73, 3.08, 1.07,
 -0.96,0.12,-0.02, -2.32, 2.93, 0.89,
 -0.96,0.12,-0.03, -2.53, 2.26, 0.69,
 -0.95,0.12,-0.03, -2.82, 1.71, 0.40,
 -0.96,0.13,-0.03, -2.73, 1.57, 0.79,
 -0.96,0.12,-0.05, -2.46, 1.83, 0.90,
 -0.96,0.12,-0.04, -2.03, 2.79, 0.09,
 -0.96,0.12,-0.04, -1.66, 3.77, -0.20,
 -0.97,0.13,-0.03, -1.74, 4.61, -0.87,
 -0.97,0.12,-0.03, -1.89, 4.84, -0.99,
 -0.97,0.13,-0.01, -1.98, 4.43, -1.11,
 -0.98,0.12,-0.02, -2.14, 3.69, -0.85,
 -0.96,0.12,-0.03, -2.15, 4.00, 1.04,
 -0.97,0.11,-0.02, -2.23, 1.79, 1.48,
 -0.97,0.12,-0.01, -2.11, -1.25, 1.88,
 -0.97,0.12,-0.02, -2.32, -2.95, 1.95,
 -0.97,0.12,-0.01, -3.01, -3.79, 1.71,
 -0.95,0.12,0.00, -4.29, -3.89, 1.28,
 -0.94,0.11,0.00, -4.64, -3.10, 0.98,
 -0.93,0.12,0.00, -4.87, -2.15, 0.60,
 -0.94,0.12,0.00, -4.76, -1.25, 0.41,
 -0.95,0.12,0.00, -4.70, -0.15, -0.58,
 -0.95,0.11,0.00, -4.40, -0.05, -1.83,
 -0.95,0.11,-0.00, -4.02, -0.14, -2.31,
 -0.96,0.11,0.00, -3.33, -1.22, -2.98,
 -0.95,0.11,0.01, -2.93, -2.63, -3.19,
 -0.96,0.11,0.01, -3.48, -3.16, -3.42,
 -0.95,0.11,0.01, -3.45, -3.08, -3.02,
 -0.95,0.12,0.01, -4.06, -2.11, -2.24,
 -0.96,0.12,0.01, -4.79, -2.55, -2.08,
 -0.95,0.12,0.01, -4.46, -2.21, -2.06,
 -0.96,0.12,-0.01, -4.76, -1.22, -2.37,
 -0.96,0.11,-0.00, -4.81, -0.60, -2.35,
 -0.95,0.11,-0.00, -5.04, -0.93, -2.50,
 -0.95,0.12,-0.00, -5.28, -0.55, -2.18,
 -0.95,0.12,0.01, -5.82, 0.21, -1.65,
 -0.95,0.12,0.00, -5.74, 0.63, -1.22,
 -0.96,0.12,-0.01, -5.95, 1.53, -1.05,
 -0.97,0.12,-0.01, -5.80, 1.30, -1.07,
 -0.98,0.12,-0.01, -6.08, 0.55, -1.08,
 -0.99,0.12,-0.01, -6.15, -0.21, -1.18,
 -0.99,0.12,-0.00, -6.35, -1.51, -1.47,
 -0.99,0.12,-0.00, -6.66, -4.18, -1.71,
 -0.99,0.12,-0.01, -7.10, -6.09, -1.74,
 -0.98,0.12,0.00, -7.56, -7.82, -1.86,
 -0.97,0.11,0.00, -8.06, -9.39, -1.82,
 -0.96,0.12,0.01, -8.40, -10.14, -1.74,
 -0.95,0.10,0.00, -8.34, -10.14, -1.73,
 -0.94,0.10,0.00, -7.77, -9.71, -1.91,
 -0.94,0.09,0.01, -7.13, -8.93, -1.71,
 -0.93,0.10,0.00, -6.46, -7.31, -2.40,
 -0.93,0.10,-0.01, -5.34, -5.05, -2.11,
 -0.93,0.10,-0.00, -4.63, -2.90, -1.92,
 -0.93,0.10,-0.00, -3.95, -1.44, -2.15,
 -0.95,0.10,-0.01, -3.05, -0.38, -2.18,
 -0.95,0.10,-0.01, -2.17, -0.35, -2.38,
 -0.95,0.10,-0.01, -1.83, -0.31, -2.66,
 -0.95,0.11,0.01, -1.71, -0.41, -2.27,
 -0.94,0.11,0.01, -2.47, -0.27, -1.59,
 -0.94,0.12,0.03, -3.76, -0.55, -0.31,
 -0.95,0.12,0.04, -4.92, -1.92, 0.85,
 -0.95,0.13,0.03, -5.92, -3.44, 1.74,
 -0.96,0.13,0.03, -6.73, -4.02, 2.00,
 -0.96,0.13,0.03, -7.39, -4.37, 2.23,
 -0.97,0.11,0.02, -7.15, -4.81, 1.48,
 -0.97,0.11,0.01, -7.18, -5.10, 0.34,
 -0.96,0.12,0.01, -6.55, -4.46, -0.24,
 -0.95,0.12,0.01, -5.98, -2.98, -0.67,
 -0.94,0.12,0.01, -5.21, -1.30, -0.81,
 -0.95,0.12,0.01, -4.70, 0.23, -1.27,
 -0.96,0.12,0.01, -3.83, 1.04, -1.89,
 -0.95,0.12,0.02, -3.63, 1.51, -2.17,
 -0.96,0.12,0.03, -3.39, 1.68, -2.09,
 -0.96,0.12,0.01, -3.24, 2.23, -2.08,
 -0.96,0.12,0.02, -3.01, 1.73, -1.94,
 -0.97,0.12,0.01, -2.58, 0.50, -2.00,
 -0.98,0.12,0.01, -2.93, -0.66, -1.71,
 -0.98,0.13,0.02, -3.73, -1.83, -1.24,
 -1.00,0.13,0.02, -4.43, -3.24, -0.84,
 -1.00,0.12,0.01, -5.08, -3.88, -0.79,
 -1.00,0.12,0.01, -5.33, -5.15, -0.84,
 -0.99,0.12,0.02, -5.48, -6.84, -0.79,
 -0.99,0.11,0.01, -5.33, -7.68, -1.34,
 -0.99,0.11,0.01, -5.53, -8.49, -1.98,
 -0.99,0.11,0.01, -5.05, -8.58, -2.53,
 -0.98,0.11,0.02, -4.41, -8.43, -3.48,
 -0.97,0.11,0.02, -3.40, -8.03, -4.90,
 -0.97,0.10,0.02, -3.01, -7.11, -5.68,
 -0.97,0.10,0.03, -2.34, -6.24, -6.55,
 -0.96,0.11,0.02, -1.63, -5.08, -6.82,
 -0.96,0.11,0.02, -0.98, -4.56, -7.11,
 -0.96,0.10,0.02, -0.32, -4.20, -7.59,
 -0.96,0.11,0.03, -0.60, -4.00, -7.51,
 -0.96,0.10,0.03, -0.43, -3.76, -7.31,
 -0.96,0.11,0.04, -0.72, -3.85, -7.21,
 -0.96,0.10,0.04, -1.01, -4.35, -6.43,
 -0.96,0.10,0.04, -1.85, -5.27, -5.80,
 -0.97,0.10,0.04, -2.60, -6.00, -5.56,
 -0.96,0.10,0.04, -4.11, -7.69, -5.21,
 -0.96,0.09,0.04, -4.60, -8.85, -5.47,
 -0.96,0.10,0.02, -4.56, -10.58, -5.05,
 -0.96,0.10,0.02, -4.55, -11.85, -4.58,
 -0.95,0.09,0.03, -4.82, -12.89, -4.24,
 -0.96,0.09,0.03, -4.44, -13.45, -3.86,
 -0.95,0.09,0.02, -3.92, -12.98, -4.00,
 -0.95,0.09,0.03, -3.47, -11.16, -4.29,
 -0.95,0.09,0.02, -2.43, -9.40, -4.72,
 -0.95,0.08,0.02, -1.25, -7.89, -5.11,
 -0.95,0.09,0.03, -0.41, -6.43, -5.22,
 -0.94,0.09,0.03, 0.26, -5.36, -5.57,
 -0.95,0.09,0.03, 1.02, -4.61, -5.59,
 -0.94,0.09,0.04, 1.51, -4.06, -5.18,
 -0.94,0.09,0.04, 2.11, -3.77, -4.89,
 -0.94,0.09,0.04, 2.63, -3.77, -4.49,
 -0.93,0.09,0.04, 2.96, -3.05, -4.23,
 -0.93,0.09,0.05, 3.68, -2.41, -3.86,
 -0.95,0.09,0.04, 4.00, -3.16, -3.91,
 -0.95,0.09,0.04, 3.97, -3.82, -3.50,
 -0.94,0.09,0.04, 4.18, -4.72, -3.39,
 -0.94,0.09,0.05, 4.52, -5.83, -2.99,
 -0.96,0.10,0.05, 4.14, -6.49, -2.09,
 -0.95,0.10,0.06, 4.09, -7.21, -1.66,
 -0.95,0.11,0.05, 2.93, -7.42, -0.92,
 -0.95,0.11,0.07, 2.47, -7.22, -0.78,
 -0.95,0.12,0.07, 1.85, -6.18, -0.55,
 -0.96,0.11,0.07, 1.45, -4.38, -1.27,
 -0.97,0.12,0.08, 1.47, -2.29, -2.50,
 -0.97,0.12,0.08, 1.60, -0.82, -3.34,
 -0.96,0.11,0.07, 2.02, 2.34, -4.18,
 -0.99,0.11,0.07, 1.89, 2.03, -4.84,
 -0.99,0.10,0.08, 2.72, -1.51, -5.95,
 -0.98,0.11,0.08, 3.85, -3.57, -7.22,
 -0.98,0.11,0.09, 2.44, -7.80, -6.05,
 -0.98,0.12,0.09, 2.11, -11.53, -5.86,
 -0.97,0.13,0.10, -0.21, -15.04, -4.90,
 -0.97,0.12,0.10, -2.46, -18.52, -4.26,
 -0.98,0.12,0.09, -3.65, -22.53, -3.76,
 -0.98,0.12,0.08, -4.81, -27.16, -3.56,
 -0.98,0.11,0.08, -5.54, -31.19, -2.95,
 -0.97,0.11,0.08, -5.98, -33.86, -3.04,
 -0.96,0.10,0.07, -5.82, -35.62, -3.31,
 -0.95,0.10,0.07, -5.21, -35.68, -3.56,
 -0.94,0.09,0.08, -4.69, -34.00, -3.91,
 -0.94,0.08,0.08, -3.83, -32.14, -4.03,
 -0.94,0.09,0.07, -3.08, -30.26, -4.43,
 -0.94,0.09,0.08, -1.94, -29.71, -4.26,
 -0.94,0.08,0.10, -0.44, -28.82, -4.35,
 -0.96,0.10,0.10, -0.81, -32.18, -2.60,
 -0.96,0.09,0.13, -0.05, -34.03, -1.76,
 -0.95,0.09,0.12, 1.68, -36.43, -1.24,
 -0.97,0.10,0.12, 0.11, -40.50, 0.84,
 -0.97,0.10,0.13, 1.15, -43.16, 1.05,
 -0.98,0.11,0.14, -0.11, -46.84, 2.12,
 -0.98,0.11,0.15, -0.89, -50.95, 3.19,
 -0.98,0.12,0.16, -1.63, -53.44, 3.59,
 -0.97,0.11,0.16, -3.04, -54.96, 3.45,
 -0.96,0.10,0.17, -3.44, -54.53, 2.52,
 -0.93,0.10,0.16, -3.37, -50.15, 0.26,
 -0.92,0.10,0.16, -2.98, -42.73, -2.40,
 -0.91,0.09,0.15, -1.37, -34.92, -4.82,
 -0.91,0.08,0.13, 1.05, -27.56, -7.86,
 -0.91,0.06,0.14, 3.30, -21.53, -9.97,
 -0.90,0.07,0.15, 5.74, -16.31, -11.69,
 -0.88,0.06,0.15, 8.38, -10.89, -13.05,
 -0.91,0.09,0.17, 8.98, -10.41, -11.92,
 -0.89,0.09,0.19, 8.79, -7.53, -10.60,
 -0.91,0.09,0.21, 8.31, -10.53, -9.39,
 -0.90,0.11,0.22, 5.92, -11.71, -7.42,
 -0.91,0.12,0.23, 4.61, -13.80, -4.47,
 -0.92,0.12,0.24, 1.08, -17.88, -1.80,
 -0.93,0.12,0.25, -1.86, -22.41, 0.27,
 -0.94,0.12,0.25, -4.67, -28.08, 2.63,
 -0.95,0.11,0.25, -7.07, -33.68, 4.35,
 -0.94,0.11,0.24, -9.16, -37.53, 5.24,
