accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.31,0.16,0.89, -3.53, 4.03, -1.37,
 0.30,0.15,0.89, -3.62, 3.86, -1.53,
 0.30,0.16,0.89, -3.31, 3.56, -1.39,
 0.31,0.16,0.88, -3.25, 3.24, -1.71,
 0.30,0.16,0.89, -2.82, 3.13, -1.51,
 0.31,0.16,0.89, -2.55, 2.96, -1.50,
 0.31,0.17,0.89, -2.67, 2.50, -1.40,
 0.31,0.17,0.90, -2.79, 1.98, -1.63,
 0.31,0.16,0.90, -3.02, 1.68, -1.62,
 0.31,0.17,0.89, -3.02, 1.95, -1.79,
 0.32,0.17,0.90, -3.39, 2.09, -1.95,
 0.32,0.17,0.90, -3.60, 1.85, -2.24,
 0.32,0.17,0.89, -3.95, 1.88, -2.06,
 0.32,0.16,0.90, -3.94, 1.60, -2.27,
 0.31,0.17,0.89, -4.26, 1.91, -2.21,
 0.33,0.17,0.88, -4.03, 2.23, -2.24,
 0.33,0.17,0.88, -4.11, 2.73, -2.38,
 0.32,0.17,0.88, -3.98, 2.72, -2.24,
 0.32,0.16,0.88, -3.88, 2.92, -2.24,
 0.33,0.18,0.89, -4.17, 3.08, -1.85,
 0.32,0.17,0.89, -4.55, 3.05, -1.47,
 0.32,0.17,0.90, -4.84, 2.73, -1.28,
 0.33,0.17,0.89, -4.99, 2.26, -0.79,
 0.33,0.17,0.89, -5.30, 2.21, -0.32,
 0.33,0.17,0.88, -5.34, 2.17, -0.02,
 0.33,0.17,0.88, -5.33, 1.92, 0.12,
 0.34,0.16,0.88, -5.08, 2.08, 0.02,
 0.33,0.16,0.89, -4.85, 2.64, 0.11,
 0.33,0.16,0.89, -4.69, 2.93, -0.08,
 0.32,0.16,0.88, -4.34, 3.45, 0.12,
 0.32,0.16,0.88, -4.52, 3.92, 0.05,
 0.31,0.16,0.89, -4.67, 3.98, 0.55,
 0.31,0.16,0.89, -4.27, 3.73, 0.93,
 0.30,0.17,0.89, -4.11, 3.10, 0.61,
 0.29,0.16,0.89, -4.53, 2.31, 0.49,
 0.30,0.17,0.89, -4.92, 2.14, 0.20,
 0.30,0.16,0.89, -5.19, 1.76, 0.26,
 0.30,0.16,0.89, -5.31, 1.85, -0.09,
 0.31,0.16,0.89, -5.34, 2.29, -0.40,
 0.31,0.16,0.88, -5.30, 2.95, -0.84,
 0.31,0.16,0.87, -4.98, 3.07, -1.13,
 0.31,0.16,0.88, -5.05, 3.48, -1.48,
 0.31,0.16,0.89, -4.92, 3.56, -1.48,
 0.31,0.16,0.89, -4.61, 3.51, -1.80,
 0.31,0.16,0.88, -4.60, 3.97, -2.02,
 0.31,0.15,0.88, -4.55, 4.47, -1.71,
 0.31,0.16,0.88, -4.31, 4.47, -1.68,
 0.30,0.16,0.89, -3.98, 3.76, -1.24,
 0.29,0.17,0.91, -9.10, -2.98, -0.78,
 0.32,0.15,0.88, -5.34, 0.55, -0.09,
 0.30,0.16,0.89, -2.50, 2.76, -0.99,
 0.31,0.16,0.89, -3.77, 2.27, -0.47,
 0.30,0.16,0.90, -4.03, 0.05, -0.32,
 0.32,0.16,0.90, -3.69, 2.29, 0.14,
 0.32,0.16,0.90, -4.37, 3.69, -0.32,
 0.32,0.16,0.90, -5.37, 2.78, 0.02,
 0.32,0.15,0.89, -4.87, 4.38, -0.02,
 0.32,0.16,0.90, -5.04, 6.09, -0.53,
 0.31,0.15,0.90, -5.56, 5.76, -0.37,
 0.31,0.16,0.90, -5.54, 5.40, -0.81,
 0.31,0.15,0.89, -5.74, 6.50, -1.08,
 0.31,0.15,0.89, -5.56, 6.87, -1.36,
 0.31,0.15,0.89, -5.71, 6.67, -1.51,
 0.31,0.15,0.89, -5.71, 7.22, -1.63,
 0.31,0.16,0.89, -5.56, 7.66, -1.91,
 0.31,0.15,0.89, -5.85, 7.92, -1.66,
 0.31,0.15,0.89, -5.45, 9.13, -2.24,
 0.32,0.16,0.90, -5.59, 10.05, -2.89,
 0.32,0.15,0.89, -5.77, 11.56, -3.51,
 0.33,0.15,0.89, -6.09, 13.66, -3.71,
 0.33,0.15,0.89, -6.56, 16.12, -4.11,
 0.33,0.15,0.88, -7.01, 18.06, -5.22,
 0.33,0.15,0.89, -7.94, 22.26, -7.37,
 0.36,0.15,0.89, -10.21, 30.52, -11.97,
 0.40,0.18,0.89, -14.32, 45.01, -18.05,
 0.44,0.19,0.90, -19.62, 67.11, -23.65,
 0.47,0.18,0.90, -24.81, 87.82, -27.66,
 0.45,0.18,0.88, -29.68, 107.83, -30.43,
 0.41,0.17,0.88, -32.20, 120.61, -33.18,
 0.37,0.16,0.86, -33.63, 135.44, -34.34,
 0.32,0.14,0.85, -33.53, 144.05, -34.64,
 0.28,0.14,0.84, -32.40, 147.85, -34.09,
 0.24,0.12,0.86, -28.63, 149.92, -32.52,
 0.25,0.10,0.84, -22.49, 156.63, -31.89,
 0.20,0.14,0.88, -25.57, 154.99, -33.95,
 0.20,0.14,0.88, -25.50, 156.82, -31.62,
 0.18,0.13,0.88, -23.44, 159.73, -30.63,
 0.13,0.15,0.89, -23.22, 161.15, -29.27,
 0.09,0.12,0.91, -22.64, 161.94, -30.20,
 0.07,0.13,0.90, -22.26, 163.56, -32.09,
 0.05,0.14,0.92, -23.24, 164.50, -33.86,
 0.03,0.14,0.93, -24.87, 167.24, -35.31,
 0.01,0.13,0.94, -29.18, 170.56, -37.19,
 0.04,0.13,0.96, -32.43, 180.41, -36.46,
 0.01,0.21,0.91, -37.62, 193.39, -33.71,
 -0.10,0.10,0.91, -35.71, 186.69, -41.69,
 -0.07,0.10,0.88, -33.97, 181.98, -43.24,
 -0.06,0.09,0.87, -30.02, 186.60, -41.98,
 -0.10,0.08,0.87, -31.56, 185.15, -40.50,
 -0.14,0.08,0.85, -29.42, 180.40, -36.61,
 -0.14,0.06,0.82, -24.90, 176.76, -30.99,
 -0.17,0.05,0.82, -22.12, 169.07, -25.31,
 -0.14,0.06,0.83, -18.03, 168.79, -16.96,
 -0.22,0.05,0.83, -16.61, 163.40, -12.93,
 -0.25,0.05,0.82, -12.95, 154.06, -9.65,
 -0.19,0.08,0.84, -9.16, 154.85, -2.44,
 -0.28,0.08,0.86, -10.00, 151.08, 2.89,
 -0.35,0.08,0.87, -9.11, 143.48, 4.47,
 -0.38,0.09,0.86, -8.15, 136.11, 5.15,
 -0.42,0.09,0.86, -9.33, 130.12, 3.01,
 -0.44,0.09,0.87, -10.34, 127.07, -0.15,
 -0.45,0.10,0.88, -9.28, 122.37, -4.38,
 -0.45,0.09,0.87, -10.02, 118.37, -9.79,
 -0.43,0.10,0.87, -11.21, 115.16, -13.10,
 -0.42,0.10,0.85, -12.27, 115.50, -13.30,
 -0.41,0.08,0.82, -12.67, 115.47, -13.13,
 -0.39,0.08,0.80, -12.49, 115.91, -12.47,
 -0.38,0.08,0.78, -12.03, 116.08, -10.75,
 -0.39,0.06,0.77, -10.79, 120.24, -8.53,
 -0.39,0.06,0.75, -9.28, 122.49, -6.02,
 -0.35,0.06,0.76, -7.66, 129.74, 0.82,
 -0.41,0.07,0.72, -7.97, 132.49, 4.85,
 -0.46,0.07,0.75, -5.59, 128.56, 8.26,
 -0.50,0.08,0.74, -4.98, 127.48, 11.71,
 -0.52,0.07,0.73, -2.53, 127.44, 12.82,
 -0.56,0.08,0.75, -3.89, 125.10, 11.68,
 -0.60,0.09,0.77, -3.57, 124.23, 9.91,
 -0.61,0.09,0.76, -4.70, 123.77, 6.05,
 -0.63,0.10,0.77, -5.37, 121.33, 2.67,
 -0.64,0.11,0.75, -5.97, 119.89, -1.30,
 -0.64,0.09,0.75, -5.91, 115.54, -4.79,
 -0.64,0.09,0.73, -6.15, 115.13, -7.62,
 -0.62,0.08,0.72, -7.33, 115.62, -8.58,
 -0.62,0.07,0.70, -8.15, 116.17, -9.01,
 -0.62,0.06,0.68, -7.62, 115.56, -9.33,
 -0.63,0.06,0.66, -7.18, 115.53, -9.71,
 -0.62,0.07,0.65, -6.53, 115.71, -9.22,
 -0.62,0.07,0.65, -5.92, 115.85, -7.40,
 -0.63,0.06,0.62, -5.16, 116.70, -6.02,
 -0.63,0.06,0.60, -3.80, 119.19, -4.78,
 -0.65,0.07,0.60, -2.84, 121.48, -2.63,
 -0.65,0.06,0.58, -2.21, 122.70, -0.70,
 -0.61,0.06,0.61, -1.08, 127.91, 5.10,
 -0.68,0.07,0.56, -2.49, 129.30, 5.73,
 -0.75,0.08,0.57, 0.08, 125.56, 3.91,
 -0.78,0.09,0.58, 0.78, 119.22, 3.69,
 -0.78,0.07,0.55, -1.19, 119.77, 1.45,
 -0.81,0.07,0.59, -2.12, 119.91, -2.75,
 -0.84,0.09,0.57, -1.25, 115.13, -9.16,
 -0.85,0.09,0.57, -1.89, 115.25, -14.27,
 -0.83,0.09,0.57, -3.59, 114.98, -17.11,
 -0.82,0.09,0.54, -4.78, 114.41, -19.13,
 -0.81,0.09,0.53, -5.33, 115.65, -20.31,
 -0.82,0.09,0.53, -5.80, 110.61, -19.11,
 -0.80,0.07,0.49, -6.38, 110.53, -18.95,
 -0.80,0.08,0.48, -5.57, 109.27, -17.50,
 -0.78,0.07,0.44, -4.85, 111.30, -15.51,
 -0.80,0.07,0.44, -5.88, 111.08, -12.93,
 -0.81,0.06,0.44, -6.66, 108.15, -9.91,
 -0.81,0.06,0.43, -6.23, 105.24, -6.79,
 -0.84,0.06,0.41, -6.38, 102.12, -4.37,
 -0.85,0.06,0.40, -6.55, 99.19, -2.26,
 -0.87,0.05,0.39, -5.74, 95.98, -0.49,
 -0.87,0.05,0.38, -3.86, 94.34, 0.46,
 -0.89,0.04,0.35, -3.62, 95.01, -0.70,
 -0.90,0.05,0.35, -4.24, 91.71, -0.90,
 -0.91,0.04,0.34, -3.45, 90.76, -2.18,
 -0.92,0.04,0.33, -2.37, 90.76, -5.37,
 -0.94,0.03,0.33, -2.18, 90.46, -9.05,
 -0.93,0.04,0.32, -0.20, 91.95, -12.17,
 -0.93,0.02,0.29, 0.47, 94.61, -15.40,
 -0.94,0.01,0.29, 0.31, 92.55, -16.85,
 -0.93,0.01,0.25, 2.76, 90.93, -18.15,
 -0.93,0.01,0.23, 4.61, 89.39, -18.41,
 -0.94,0.00,0.22, 4.95, 86.95, -18.09,
 -0.89,-0.00,0.22, 6.92, 87.95, -14.26,
 -0.93,0.05,0.20, 4.20, 91.16, -9.69,
 -0.99,0.01,0.19, 7.82, 83.74, -9.65,
 -0.98,0.02,0.17, 12.34, 74.56, -8.79,
 -0.96,0.02,0.18, 14.40, 67.89, -7.68,
 -0.94,0.02,0.17, 15.45, 66.12, -6.84,
 -0.94,0.03,0.17, 16.66, 66.89, -7.53,
 -0.94,0.04,0.21, 14.96, 65.53, -6.32,
 -0.93,0.05,0.17, 12.72, 66.11, -5.02,
 -0.94,0.04,0.14, 16.37, 67.60, -7.02,
 -0.94,0.03,0.13, 17.82, 68.24, -8.92,
 -0.94,0.04,0.13, 18.23, 71.25, -10.82,
 -0.99,0.07,0.16, 17.48, 72.14, -12.60,
 -0.95,0.04,0.13, 21.86, 61.25, -12.03,
 -0.94,0.05,0.17, 21.08, 57.10, -9.65,
 -0.92,0.05,0.17, 18.95, 58.72, -8.79,
 -0.94,0.05,0.18, 15.37, 58.60, -7.73,
 -0.95,0.05,0.16, 13.89, 56.76, -6.05,
 -0.95,0.05,0.17, 12.03, 53.15, -4.29,
 -0.94,0.06,0.17, 9.22, 51.25, -2.78,
 -0.94,0.05,0.16, 7.74, 53.13, -1.48,
 -0.93,0.08,0.16, 5.85, 55.48, 0.15,
 -0.97,0.04,0.14, 3.51, 50.85, -0.11,
 -0.95,0.04,0.15, 2.00, 46.73, 2.08,
 -0.97,0.05,0.15, 0.38, 41.95, 1.73,
 -0.96,0.05,0.11, 0.79, 39.86, 1.11,
 -0.97,0.04,0.10, 1.25, 38.81, -0.66,
 -0.95,0.04,0.09, 1.88, 37.36, -1.37,
 -0.96,0.05,0.08, 1.77, 36.18, -1.76,
 -0.96,0.05,0.10, 2.14, 34.09, -1.60,
 -0.98,0.05,0.08, 2.02, 31.30, -0.72,
 -0.99,0.05,0.08, 1.94, 26.24, 0.58,
 -0.99,0.05,0.08, 2.35, 20.27, 2.38,
 -1.01,0.06,0.10, 0.60, 11.76, 6.15,
 -1.01,0.06,0.11, -1.44, 3.18, 9.92,
 -1.02,0.05,0.09, -1.82, -5.62, 12.55,
 -1.01,0.06,0.10, -1.66, -12.66, 13.77,
 -0.99,0.06,0.11, -2.63, -16.02, 14.55,
 -0.96,0.02,0.08, -8.35, -14.72, 15.98,
 -0.95,0.09,0.11, -12.27, -12.72, 19.98,
 -0.97,0.07,0.09, -8.90, -12.11, 18.20,
 -0.96,0.07,0.08, -7.76, -11.27, 17.08,
 -0.96,0.07,0.09, -8.26, -9.65, 16.38,
 -0.97,0.07,0.09, -9.10, -8.90, 14.89,
 -0.98,0.07,0.08, -7.10, -9.45, 12.89,
 -0.97,0.07,0.09, -5.56, -7.95, 10.98,
 -0.96,0.06,0.08, -4.50, -5.24, 9.24,
 -0.97,0.07,0.08, -3.76, -2.53, 6.95,
 -0.97,0.07,0.09, -3.50, -0.72, 5.16,
 -0.96,0.07,0.10, -3.94, 1.18, 3.33,
 -0.97,0.08,0.09, -3.85, 3.51, 2.26,
 -0.97,0.07,0.09, -3.24, 4.69, 0.31,
 -0.98,0.08,0.10, -1.95, 3.28, -0.02,
 -0.97,0.08,0.10, -1.95, 1.83, -0.32,
 -0.97,0.08,0.11, -2.43, 1.44, 0.02,
 -0.97,0.09,0.11, -2.58, -0.40, -0.20,
 -0.97,0.08,0.12, -3.16, -2.26, -0.11,
 -0.95,0.08,0.10, -4.00, -2.53, 0.29,
 -0.95,0.09,0.12, -5.16, -3.65, 0.55,
 -0.94,0.09,0.12, -5.51, -2.92, 0.79,
 -0.94,0.09,0.11, -5.50, -1.97, 1.28,
 -0.94,0.09,0.10, -7.56, -1.22, 1.42,
 -0.94,0.09,0.11, -7.11, -1.47, 2.21,
 -0.94,0.09,0.10, -6.70, -1.89, 2.20,
 -0.93,0.09,0.10, -7.86, -0.58, 2.52,
 -0.94,0.09,0.11, -8.24, -0.29, 3.13,
 -0.95,0.08,0.09, -8.31, -0.52, 3.24,
 -0.95,0.08,0.10, -8.40, -1.36, 3.30,
 -0.95,0.08,0.10, -8.61, -1.15, 3.19,
 -0.95,0.08,0.09, -8.75, -1.11, 2.53,
 -0.96,0.07,0.09, -8.47, -2.31, 2.31,
 -0.96,0.07,0.07, -7.51, -3.60, 1.57,
 -0.95,0.06,0.08, -6.17, -4.20, 0.84,
 -0.95,0.06,0.08, -5.59, -3.80, 0.06,
 -0.94,0.06,0.09, -5.22, -2.17, -0.76,
 -0.94,0.07,0.07, -4.44, -0.69, -1.28,
 -0.93,0.07,0.09, -4.03, 0.66, -1.48,
 -0.94,0.07,0.08, -3.47, 1.54, -1.37,
 -0.94,0.08,0.09, -3.34, 2.08, -1.05,
 -0.94,0.08,0.10, -3.48, 2.11, -0.52,
 -0.94,0.07,0.11, -3.69, 2.37, -0.40,
 -0.95,0.07,0.11, -3.74, 2.26, -0.21,
 -0.95,0.07,0.11, -3.83, 1.97, -0.41,
 -0.96,0.07,0.11, -4.12, 1.42, -0.38,
 -0.96,0.07,0.11, -4.60, 0.81, -0.12,
 -0.95,0.08,0.10, -4.58, 0.38, -0.24,
 -0.96,0.07,0.10, -4.98, 0.44, -0.32,
 -0.96,0.08,0.11, -5.15, 0.66, -0.15,
 -0.96,0.08,0.11, -5.42, 0.52, -0.41,
 -0.96,0.07,0.10, -5.45, 0.06, -0.61,
 -0.96,0.07,0.11, -5.28, -0.37, -0.58,
 -0.96,0.08,0.11, -5.50, -0.78, -0.64,
 -0.96,0.07,0.10, -5.37, -1.15, -0.69,
 -0.95,0.07,0.11, -5.68, -1.51, -0.58,
 -0.95,0.07,0.11, -5.48, -1.71, -0.61,
 -0.95,0.07,0.11, -5.82, -2.24, -0.89,
 -0.95,0.08,0.11, -5.79, -2.49, -0.75,
 -0.94,0.07,0.12, -6.14, -3.01, -0.29,
 -0.95,0.08,0.13, -6.40, -3.50, 0.21,
 -0.95,0.07,0.12, -6.60, -3.51, 0.06,
 -0.95,0.07,0.11, -7.04, -3.13, 0.12,
 -0.94,0.07,0.11, -7.19, -2.47, -0.17,
 -0.95,0.07,0.10, -6.98, -2.12, -0.38,
 -0.94,0.06,0.10, -6.53, -1.69, -0.50,
 -0.94,0.06,0.09, -6.75, -1.01, -0.67,
 -0.95,0.07,0.10, -6.44, -0.58, -0.81,
 -0.95,0.06,0.09, -5.82, -0.72, -1.02,
 -0.96,0.07,0.10, -5.07, -1.40, -0.82,
 -0.95,0.07,0.10, -4.44, -1.79, -1.02,
 -0.94,0.07,0.10, -4.24, -1.82, -0.64,
 -0.96,0.07,0.09, -4.02, -1.50, -0.61,
 -0.96,0.07,0.10, -4.21, -1.68, -0.55,
 -0.96,0.08,0.10, -4.34, -2.93, -0.61,
 -0.96,0.08,0.11, -4.67, -4.84, 0.06,
 -0.95,0.09,0.14, -5.66, -8.70, 1.86,
 -0.96,0.08,0.09, -4.89, -5.74, 0.78,
