accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.39,0.11,0.84, -5.21, 1.24, -0.56,
 0.40,0.11,0.84, -4.76, 1.56, -0.23,
 0.39,0.11,0.84, -4.76, 0.29, -0.53,
 0.39,0.11,0.85, -5.02, -1.62, -2.70,
 0.41,0.12,0.86, -6.09, -2.55, -5.48,
 0.40,0.12,0.87, -6.23, -3.57, -9.22,
 0.38,0.11,0.85, -6.73, -7.19, -14.67,
 0.44,0.12,0.85, -6.46, -4.58, -16.21,
 0.39,0.11,0.83, -4.75, -1.48, -13.15,
 0.40,0.12,0.84, -2.92, -3.08, -12.05,
 0.42,0.13,0.86, -3.10, -1.57, -12.79,
 0.41,0.12,0.86, -2.79, -2.90, -11.73,
 0.42,0.12,0.85, -2.17, -1.15, -10.03,
 0.42,0.13,0.86, -2.85, 4.32, -9.30,
 0.42,0.12,0.85, -2.70, 8.55, -9.69,
 0.41,0.12,0.85, -1.66, 11.24, -9.11,
 0.41,0.12,0.85, -1.39, 10.38, -8.14,
 0.40,0.12,0.86, -1.98, 5.80, -6.98,
 0.39,0.12,0.85, -1.73, -1.04, -4.06,
 0.39,0.12,0.85, -2.21, -5.57, -2.95,
 0.40,0.12,0.85, -2.78, -7.83, -2.47,
 0.40,0.12,0.85, -3.68, -4.93, -1.98,
 0.40,0.13,0.86, -3.95, -1.63, -2.27,
 0.40,0.14,0.86, -4.03, 0.66, -2.90,
 0.40,0.14,0.87, -4.72, 1.97, -3.89,
 0.40,0.13,0.87, -4.99, 2.67, -4.64,
 0.40,0.14,0.85, -5.37, 2.82, -4.32,
 0.40,0.14,0.86, -5.68, 2.43, -3.37,
 0.39,0.14,0.87, -6.03, 1.91, -2.87,
 0.39,0.13,0.86, -5.76, 0.52, -5.13,
 0.40,0.13,0.86, -5.77, 0.41, -7.19,
 0.39,0.13,0.86, -5.37, 0.64, -8.21,
 0.38,0.13,0.84, -4.81, 1.47, -10.55,
 0.39,0.13,0.86, -3.11, 2.05, -12.81,
 0.41,0.14,0.86, -3.50, 2.82, -10.82,
 0.41,0.13,0.87, -3.73, 4.03, -9.39,
 0.41,0.13,0.86, -4.60, 6.35, -7.62,
 0.42,0.14,0.86, -5.04, 8.72, -5.30,
 0.42,0.13,0.86, -5.73, 10.31, -2.52,
 0.41,0.13,0.87, -7.47, 10.20, 0.20,
 0.41,0.13,0.86, -8.79, 9.97, 1.33,
 0.39,0.14,0.86, -10.21, 8.14, -2.78,
 0.37,0.13,0.88, -12.27, 6.61, -10.47,
 0.37,0.13,0.87, -14.00, 6.78, -14.18,
 0.39,0.14,0.86, -15.86, 9.79, -12.24,
 0.38,0.13,0.87, -17.77, 9.05, -11.28,
 0.40,0.13,0.88, -20.11, 6.50, -8.67,
 0.40,0.12,0.88, -21.04, 4.11, -4.79,
 0.39,0.11,0.85, -20.89, 1.74, -2.67,
 0.39,0.11,0.85, -19.59, -0.87, -1.77,
 0.37,0.11,0.84, -17.62, -4.90, -1.24,
 0.38,0.11,0.83, -14.93, -7.07, -0.44,
 0.39,0.11,0.84, -13.88, -9.71, -0.23,
 0.42,0.11,0.86, -14.38, -10.23, 1.45,
 0.43,0.13,0.88, -17.08, -10.49, 2.72,
 0.43,0.12,0.89, -19.34, -11.10, 4.69,
 0.44,0.12,0.90, -21.19, -9.18, 6.41,
 0.43,0.13,0.89, -22.78, -6.53, 6.49,
 0.41,0.12,0.88, -23.13, -3.79, 6.20,
 0.41,0.12,0.88, -22.60, -1.30, 6.20,
 0.41,0.11,0.86, -21.36, -0.14, 5.65,
 0.40,0.10,0.85, -18.98, -0.18, 4.43,
 0.40,0.11,0.86, -17.31, -2.85, 3.59,
 0.41,0.10,0.85, -16.64, -4.08, 4.05,
 0.40,0.09,0.86, -16.02, -4.11, 4.00,
 0.41,0.10,0.86, -15.08, -3.08, 3.65,
 0.42,0.09,0.85, -14.12, -0.70, 3.82,
 0.42,0.09,0.85, -13.10, 1.47, 3.56,
 0.42,0.08,0.85, -10.58, 3.05, 2.60,
 0.42,0.08,0.83, -6.89, 3.39, 2.56,
 0.42,0.08,0.84, -5.45, 3.02, 3.04,
 0.43,0.08,0.85, -6.09, 3.16, 4.18,
 0.42,0.08,0.85, -6.84, 2.61, 5.98,
 0.42,0.08,0.85, -5.83, 3.39, 8.31,
 0.41,0.08,0.85, -5.01, 4.09, 9.59,
 0.41,0.08,0.85, -4.72, 4.00, 10.46,
 0.40,0.08,0.85, -5.25, 3.08, 10.90,
 0.38,0.09,0.86, -6.12, 2.11, 9.36,
 0.38,0.08,0.86, -6.60, 1.30, 7.77,
 0.39,0.09,0.86, -7.77, 1.59, 7.19,
 0.39,0.09,0.87, -9.45, 2.43, 6.00,
 0.37,0.09,0.87, -12.15, 2.47, 5.02,
 0.38,0.09,0.87, -12.79, 1.40, 2.69,
 0.39,0.10,0.87, -12.95, -0.78, 1.42,
 0.41,0.09,0.86, -12.37, -0.69, 1.89,
 0.42,0.08,0.85, -12.09, 0.95, 2.44,
 0.42,0.08,0.85, -12.40, 5.73, 2.93,
 0.43,0.07,0.85, -11.91, 10.67, 2.29,
 0.42,0.07,0.83, -10.40, 16.35, 2.67,
 0.40,0.07,0.84, -8.95, 18.99, 3.11,
 0.39,0.06,0.83, -7.85, 19.65, 1.92,
 0.40,0.07,0.83, -6.06, 18.78, 0.66,
 0.39,0.07,0.83, -3.74, 18.21, 0.35,
 0.37,0.05,0.82, -1.63, 16.17, -1.05,
 0.38,0.06,0.83, 0.69, 14.06, -1.86,
 0.38,0.07,0.83, 1.80, 10.70, -1.92,
 0.39,0.07,0.85, 1.91, 6.53, -1.45,
 0.38,0.08,0.86, 0.93, 2.85, -1.73,
 0.39,0.09,0.85, 0.49, 0.21, -1.39,
 0.38,0.09,0.88, -1.01, -1.77, -1.66,
 0.40,0.10,0.90, -4.31, -1.94, -1.33,
 0.41,0.10,0.90, -6.49, -1.22, -0.18,
 0.41,0.11,0.91, -7.86, 0.14, 0.98,
 0.39,0.10,0.89, -8.78, 2.09, 1.39,
 0.40,0.10,0.88, -9.02, 4.63, 1.31,
 0.40,0.08,0.88, -8.34, 7.11, 0.75,
 0.40,0.08,0.86, -7.11, 8.20, 0.37,
 0.40,0.08,0.85, -4.02, 11.08, 0.60,
 0.40,0.08,0.84, -1.39, 14.58, 0.18,
 0.41,0.07,0.83, 1.62, 17.60, -0.76,
 0.40,0.07,0.82, 5.10, 20.47, -1.54,
 0.40,0.07,0.84, 8.85, 20.11, -1.62,
 0.39,0.07,0.84, 10.61, 16.99, -0.73,
 0.37,0.07,0.84, 9.76, 13.77, 0.61,
 0.38,0.09,0.87, 6.78, 11.19, -0.26,
