accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.05,-0.36,0.95,-8.43,-6.08,-0.35
0.06,-0.37,0.94,-8.64,-7.53,-1.13
0.09,-0.37,0.9,-6.37,-4.18,0.18
0.11,-0.38,0.83,1.97,-0.35,2.55
0.03,-0.41,0.88,4.14,-4.14,0.72
-0.0,-0.42,0.93,1.27,-5.11,-3.53
0.01,-0.4,0.92,-2.17,-9.37,-8.24
0.06,-0.41,0.88,-2.81,-5.68,-9.27
0.04,-0.41,0.85,1.24,-10.4,-13.25
0.07,-0.4,0.87,1.39,-6.75,-11.6
0.14,-0.4,0.89,-0.69,-3.27,-10.76
0.14,-0.4,0.85,1.88,1.65,-5.47
0.08,-0.43,0.83,3.82,8.11,-6.55
0.04,-0.42,0.85,6.66,4.84,-8.21
0.06,-0.43,0.8,16.37,4.21,-8.4
0.05,-0.43,0.78,18.34,2.09,-10.0
0.08,-0.43,0.77,22.79,5.3,-11.88
0.09,-0.41,0.78,25.68,7.98,-12.41
0.09,-0.39,0.82,24.05,14.29,-12.37
0.08,-0.38,0.81,26.27,17.69,-11.62
0.03,-0.38,0.85,28.56,12.52,-11.28
0.02,-0.37,0.86,27.42,13.01,-14.14
0.04,-0.34,0.89,24.49,13.92,-16.31
0.07,-0.32,0.86,25.01,22.55,-17.83
0.05,-0.32,0.93,19.98,27.88,-21.25
0.05,-0.31,1.03,8.73,26.7,-22.58
0.12,-0.29,1.02,-0.66,25.22,-17.25
0.12,-0.28,0.94,-10.03,28.24,-12.17
-0.03,-0.24,1.08,-19.51,22.52,-13.82
-0.02,-0.32,0.89,-22.09,14.78,-21.24
0.03,-0.35,0.82,-21.36,23.65,-25.16
0.06,-0.37,0.89,-26.14,23.24,-25.15
0.06,-0.34,0.91,-29.59,16.63,-23.97
0.02,-0.32,0.99,-29.27,2.24,-22.29
0.01,-0.32,0.92,-17.86,-0.79,-24.31
-0.02,-0.31,0.94,0.53,-0.55,-28.44
0.0,-0.31,1.04,9.39,-4.89,-31.44
0.09,-0.29,1.09,10.32,-2.73,-32.67
0.2,-0.3,1.02,12.31,7.66,-27.27
0.2,-0.3,1.0,21.59,5.88,-21.5
0.19,-0.3,0.99,33.92,-2.35,-12.5
0.15,-0.3,1.0,41.54,-6.61,-8.89
0.09,-0.28,1.02,46.55,-4.21,-10.92
0.1,-0.25,1.08,53.01,-5.27,-13.31
0.16,-0.22,1.15,50.5,-6.47,-11.83
0.2,-0.18,1.19,46.87,-6.09,-10.6
0.2,-0.2,1.14,45.73,9.95,-8.02
0.16,-0.21,1.12,43.42,17.89,-8.0
0.11,-0.2,1.12,36.53,16.47,-7.6
0.08,-0.21,1.1,30.4,6.58,-7.62
0.1,-0.22,1.0,31.11,0.63,-6.0
0.1,-0.23,1.0,25.47,3.16,-7.89
0.09,-0.21,1.05,19.51,-3.27,-7.21
0.1,-0.2,1.07,11.68,-6.29,-6.98
0.1,-0.2,0.99,10.21,-4.29,-7.18
0.12,-0.2,0.97,12.92,-0.14,-6.61
0.11,-0.21,1.0,12.08,-1.83,-5.24
0.09,-0.21,0.96,14.7,-3.02,-5.65
0.07,-0.21,0.93,16.73,0.95,-8.96
