accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.1,-0.18,0.96,-2.64,-0.21,-3.83
0.12,-0.18,0.96,1.27,0.2,-2.52
0.11,-0.18,0.97,1.36,-2.79,-2.79
0.11,-0.17,1.06,-5.19,-7.31,-3.28
0.17,-0.15,0.96,-4.26,1.08,-0.58
0.11,-0.18,1.0,-1.94,0.26,-0.53
0.11,-0.17,0.98,-1.92,2.92,-1.69
0.11,-0.19,0.94,1.83,4.75,-2.35
0.07,-0.19,0.95,7.57,-0.85,-2.92
0.1,-0.18,0.94,12.6,-3.74,-0.4
0.14,-0.16,0.98,15.01,-1.53,2.63
0.12,-0.16,1.01,14.78,-0.79,5.13
0.11,-0.13,1.02,17.95,-0.85,7.86
0.12,-0.14,1.03,19.47,-0.5,9.56
0.09,-0.16,1.02,18.41,5.1,4.49
0.1,-0.16,1.01,15.91,12.73,-0.44
0.09,-0.16,1.03,13.54,15.11,-4.66
0.13,-0.15,1.0,13.25,11.16,-3.4
0.09,-0.14,1.05,13.11,-0.99,-0.95
0.11,-0.12,1.08,9.48,-10.15,0.64
0.09,-0.12,1.07,3.8,-18.75,-0.56
0.08,-0.11,1.05,1.02,-16.23,-3.73
0.16,-0.12,0.98,1.76,-1.36,-5.27
0.15,-0.13,0.97,5.82,2.34,-5.69
0.13,-0.13,0.98,6.41,-0.64,-5.86
0.14,-0.11,1.01,4.75,-1.86,-4.72
0.14,-0.11,1.03,3.77,-2.87,-3.62
0.14,-0.11,1.03,1.98,-5.04,-3.3
0.18,-0.12,0.97,2.12,1.97,-1.73
0.15,-0.13,0.94,6.29,5.57,-1.48
0.11,-0.14,0.98,8.26,4.03,-1.89
0.15,-0.12,0.99,9.36,6.14,-0.21
0.15,-0.11,0.99,7.86,10.99,1.48
0.14,0.0,0.99,4.84,8.49,2.73
0.15,-0.09,1.0,5.92,11.31,5.6
0.12,-0.1,1.01,7.07,6.53,5.48
0.07,-0.1,1.03,-1.63,6.2,4.89
0.13,-0.09,0.94,-1.62,25.94,3.13
0.09,-0.12,0.96,0.55,26.47,0.89
0.04,-0.14,1.0,2.08,10.37,0.35
0.11,-0.1,1.01,2.34,3.98,2.56
0.08,-0.1,1.09,-3.65,1.53,0.87
0.07,-0.08,1.03,-3.51,2.38,-0.18
0.08,-0.11,0.99,1.53,4.41,0.26
0.05,-0.12,1.0,5.02,4.99,-2.34
0.06,-0.12,0.99,6.84,3.15,-4.69
0.09,-0.11,1.03,5.25,-2.9,-4.7
0.1,-0.1,1.07,1.13,-2.78,-4.43
0.15,-0.07,1.06,-3.34,4.47,-2.66
0.13,-0.08,1.05,-4.92,3.13,0.34
0.09,-0.1,1.06,-3.82,-4.32,-0.32
0.11,-0.1,1.04,-5.82,-3.74,-1.13
0.12,-0.09,1.04,-5.33,-0.84,-0.58
0.07,-0.12,1.0,-2.78,-0.23,-3.05
0.09,-0.13,0.99,-0.02,1.28,-4.06
0.12,-0.1,0.97,1.11,-0.56,-1.6
0.1,-0.11,1.01,4.76,-7.3,1.45
0.13,-0.1,1.0,4.29,-4.63,3.71
0.11,-0.11,0.97,4.27,3.71,2.23
0.08,-0.11,1.01,3.05,5.57,1.15
0.03,-0.11,1.08,0.82,-6.78,1.16
0.05,-0.1,1.04,0.53,-8.61,-1.1
0.08,-0.11,1.02,-0.17,-9.47,-1.15
0.11,-0.11,0.97,4.67,-5.85,-0.35
0.12,-0.12,0.97,8.84,-4.76,1.47
0.12,-0.1,1.02,9.94,-3.19,2.5
0.14,-0.09,1.0,12.5,2.52,4.12
0.13,-0.08,1.01,12.27,2.9,5.59
0.12,-0.09,1.01,12.0,1.6,6.5
0.14,-0.08,1.0,11.33,5.53,6.63
0.13,-0.09,1.01,9.21,8.75,6.67
0.12,-0.09,0.98,11.28,10.26,7.65
0.05,-0.1,1.03,11.74,5.22,6.29
0.04,-0.08,1.06,11.44,1.36,5.4
0.04,-0.07,1.06,10.44,3.08,3.66
0.04,-0.07,1.07,7.76,2.5,2.34
0.05,-0.07,1.06,6.47,0.27,2.7
0.04,-0.08,1.02,6.95,5.21,0.21
0.04,-0.09,1.03,7.91,5.5,-0.64
0.05,-0.1,1.01,10.4,5.04,-0.66
0.05,-0.08,1.03,10.47,5.22,-0.08
0.03,-0.06,1.11,7.8,0.44,-0.35
0.01,-0.07,1.08,3.88,-0.79,-3.83
0.04,-0.08,1.04,4.66,-0.32,-6.15
0.07,-0.09,1.03,5.86,-1.02,-5.73
0.09,-0.05,1.0,7.91,-1.07,-3.01
0.08,-0.06,1.1,4.27,-1.47,-1.91
0.09,-0.05,1.04,1.74,3.3,-2.64
0.06,-0.07,1.0,2.81,3.1,-4.63
0.09,-0.07,1.0,4.75,2.89,-3.8
0.08,-0.06,0.99,5.24,4.31,-4.98
0.11,-0.04,1.06,1.83,6.05,-3.74
0.09,-0.04,1.09,-2.63,3.94,-3.98
0.08,-0.06,1.03,-3.33,1.68,-3.37
0.07,-0.07,0.99,0.03,2.27,-4.46
0.06,-0.08,0.98,2.38,-1.18,-4.81
0.07,-0.07,0.98,5.94,-0.23,-4.49
0.08,-0.05,0.95,9.97,1.62,-4.47
0.08,-0.04,1.0,11.85,-1.22,-4.05
0.13,-0.04,1.02,9.77,1.42,-1.28
0.08,-0.05,1.03,7.01,-2.26,-2.35
0.07,-0.05,1.02,8.44,-4.44,-3.44
0.09,-0.07,1.0,10.34,-1.62,-3.8
0.11,-0.05,0.99,11.31,0.96,-3.73
0.13,-0.04,1.0,11.1,3.76,-1.62
0.15,-0.01,1.06,10.73,5.62,2.66
0.1,-0.02,1.07,8.32,2.85,3.79
0.09,-0.03,1.05,7.66,3.13,3.98
0.09,-0.02,1.01,8.7,5.21,3.24
0.06,-0.02,1.0,12.06,3.76,2.26
0.05,0.0,1.03,13.21,-2.5,2.87
0.09,-0.0,1.05,11.25,-5.44,4.75
0.08,-0.01,1.03,11.01,-4.78,4.69
0.09,-0.01,1.01,12.15,-1.91,4.64
0.06,-0.02,1.01,13.36,-2.0,4.03
0.06,-0.0,1.01,13.54,-4.52,2.99
0.06,0.01,1.04,10.32,-1.71,1.3
0.1,0.02,1.02,7.95,10.55,0.79
0.11,0.03,1.02,4.49,15.63,3.47
0.04,0.01,1.05,-1.08,14.15,3.76
0.03,-0.01,1.0,8.23,-10.02,4.82
0.09,-0.01,0.93,11.15,-1.08,3.98
0.03,0.01,1.05,11.28,-3.39,3.91
0.05,0.03,1.01,9.63,8.95,1.15
0.03,0.02,1.04,7.56,12.0,-0.09
0.02,0.02,1.04,7.34,10.11,-0.53
0.03,0.0,1.08,4.23,6.6,-1.62
0.03,0.01,1.04,4.61,6.73,-2.89
0.05,0.01,1.03,6.31,6.24,-2.35
0.05,0.01,1.05,7.91,3.8,-1.47
0.04,0.01,1.03,7.79,7.28,-2.15
0.04,0.02,1.03,10.12,5.48,-1.74
0.06,0.02,1.05,9.71,5.4,-0.64
0.06,0.04,1.07,6.56,5.85,0.2
0.02,0.04,1.09,2.92,0.99,-0.53
0.01,0.03,1.06,2.99,1.13,-2.85
0.04,0.03,1.04,1.97,5.33,-3.97
0.07,0.03,1.04,0.76,8.52,-2.38
0.03,0.03,1.02,1.56,4.66,-1.89
0.02,0.04,1.02,4.6,2.24,-1.27
0.02,0.04,1.04,6.0,3.16,-1.73
0.01,0.04,1.04,4.32,1.02,-2.47
0.04,0.04,1.02,5.1,2.11,-1.4
0.02,0.04,1.03,4.73,-0.17,-1.76
0.01,0.04,1.02,4.85,-0.11,-3.28
0.05,0.04,1.02,4.9,3.51,-3.74
0.03,0.03,1.0,6.49,4.02,-3.4
0.03,0.04,0.99,9.47,3.25,-3.92
0.05,0.05,1.03,9.83,1.27,-2.31
0.04,0.06,1.06,9.4,-4.29,-0.82
0.03,0.05,1.08,8.41,-6.95,-0.69
0.05,0.06,1.04,7.77,-5.77,-0.41
-0.01,0.04,1.05,8.53,-9.86,-1.91
-0.03,-0.0,1.05,12.32,-5.39,-6.12
0.02,0.05,1.07,11.69,-1.18,-7.79
0.01,0.06,1.11,5.91,-8.55,-9.33
0.1,0.08,1.1,-1.25,-9.59,-5.59
0.06,0.08,1.05,-3.33,-8.03,-5.42
0.1,0.09,0.98,-1.68,1.34,-5.15
0.07,0.06,0.94,-0.66,6.61,-6.27
0.08,0.06,0.96,-2.72,9.15,-5.98
0.09,0.05,0.92,0.89,4.82,-3.05
0.07,0.05,0.96,6.46,-3.16,-1.22
0.06,0.05,0.97,5.42,-0.11,-4.79
0.09,0.07,1.02,0.76,-1.62,-3.63
0.11,0.07,0.98,3.48,0.49,-0.92
0.09,0.07,1.06,1.76,-2.69,1.28
0.07,0.05,1.07,0.64,-7.04,2.66
0.06,0.07,1.04,0.93,-2.58,1.63
0.05,0.06,0.97,6.18,-0.27,-0.35
0.05,0.05,1.0,6.56,0.02,-1.56
0.05,0.08,1.08,1.65,-2.76,-3.08
0.05,0.1,1.14,-9.6,-12.79,-0.9
0.03,0.08,1.09,-10.52,-16.49,0.43
0.08,0.1,1.01,-8.06,-3.51,-0.32
0.11,0.07,1.0,-4.4,8.24,0.5
0.08,0.06,1.03,-6.18,10.56,3.16
0.05,0.06,1.05,-5.91,9.11,0.9
0.02,0.05,1.05,-7.95,6.78,-1.68
0.02,0.04,1.02,-9.74,5.65,-2.29
0.05,0.06,1.06,-15.71,7.19,-2.2
0.06,0.06,1.01,-14.15,4.93,2.09
-0.01,0.05,1.0,-12.15,6.96,-0.73
0.02,0.04,0.97,-7.76,14.29,-3.71
0.04,0.04,0.96,-4.75,24.02,-5.16
0.02,0.01,0.98,0.84,18.31,-5.65
0.05,0.02,1.06,-2.82,17.45,-7.08
0.08,0.04,1.09,-8.38,27.24,-7.53
0.05,0.04,1.03,-7.02,32.84,-9.36
0.05,0.06,0.94,2.61,47.15,-6.55
0.05,0.05,1.03,3.21,47.89,-3.89
0.01,0.04,1.12,-4.55,38.66,-1.01
-0.06,0.06,1.08,-8.02,30.17,-2.44
-0.08,0.04,1.01,-6.08,27.74,-5.59
-0.05,0.04,0.99,-3.66,27.13,-6.44
-0.03,0.04,1.0,-4.02,24.2,-5.4
-0.05,0.05,1.0,-2.4,19.94,-3.65
-0.06,0.07,1.04,-3.82,15.4,-2.35
-0.06,0.04,1.1,-8.0,12.7,-1.54
-0.04,0.02,1.03,-10.53,17.71,-1.36
-0.13,0.02,0.99,-5.85,15.05,-5.15
