accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
-0.07,-0.19,1.04,4.09,-4.73,-1.88
-0.07,-0.18,1.04,1.74,-6.03,-3.79
0.03,-0.19,0.99,1.82,-1.21,-1.59
0.01,-0.19,0.95,3.65,2.87,-0.34
-0.01,-0.19,0.98,2.37,0.0,0.4
-0.02,-0.19,0.98,2.98,-1.31,0.75
-0.02,-0.19,0.97,4.84,2.43,-0.55
-0.07,-0.18,1.02,3.27,1.83,-1.13
-0.01,-0.18,0.99,1.94,4.09,-0.82
-0.12,-0.18,1.15,-10.24,-10.75,-4.31
-0.01,-0.17,1.03,-11.27,-4.47,-4.18
-0.03,-0.16,1.02,-11.62,-1.65,-4.21
-0.04,-0.18,0.99,-7.98,1.85,-5.01
-0.05,-0.19,1.01,-5.08,0.47,-5.21
-0.04,-0.19,1.02,-4.72,-1.18,-5.16
-0.02,-0.2,1.01,-4.15,-0.12,-4.35
-0.01,-0.2,0.98,-2.37,-1.5,-3.57
-0.05,-0.21,0.97,0.2,-3.92,-5.73
-0.02,-0.2,0.99,0.73,-0.76,-5.8
-0.02,-0.18,1.05,-2.81,-4.14,-6.56
-0.02,-0.2,1.0,-1.16,-5.73,-3.71
-0.02,-0.2,0.99,-1.92,-10.7,-5.1
0.01,-0.19,0.98,-2.24,-6.67,-3.86
-0.01,-0.2,1.02,-4.85,-7.83,-4.67
0.01,-0.2,0.98,-3.33,-5.15,-4.5
0.02,-0.2,0.97,-3.53,-2.95,-4.85
-0.02,-0.22,1.07,-13.08,-1.44,-7.53
0.02,-0.2,1.04,-13.63,-7.34,-6.56
0.0,-0.2,1.01,-10.6,-11.08,-7.33
0.06,-0.21,0.97,-6.53,-1.4,-4.96
0.03,-0.22,1.01,-11.45,7.28,-5.19
-0.0,-0.22,1.01,-7.73,4.7,-5.86
-0.0,-0.21,0.98,-3.04,3.95,-3.68
-0.01,-0.21,1.0,-2.35,-2.34,-5.74
-0.01,-0.22,1.04,-6.46,-2.15,-7.48
0.02,-0.19,1.09,-10.64,-3.36,-6.47
-0.02,-0.21,1.09,-19.56,-2.93,-9.33
0.05,-0.24,0.98,-22.66,3.89,-6.47
0.07,-0.22,0.9,-13.94,8.17,-4.67
0.03,-0.24,0.86,-3.83,5.83,-3.53
0.04,-0.24,0.91,2.53,3.6,-0.78
-0.01,-0.25,0.97,2.17,-1.6,-0.78
-0.02,-0.24,1.01,-2.67,1.66,-3.45
0.05,-0.25,1.03,-9.42,9.48,-3.33
-0.01,-0.22,1.01,-9.11,3.53,-4.35
0.0,-0.24,0.98,-9.4,6.93,-5.11
0.0,-0.24,0.95,-5.21,3.01,-3.85
0.02,-0.25,0.92,0.76,4.55,-2.6
0.02,-0.26,0.93,4.89,3.92,-1.83
-0.01,-0.25,0.95,7.37,-0.58,-2.03
-0.05,-0.25,1.0,6.63,-8.02,-4.76
-0.03,-0.24,1.03,3.33,-11.33,-5.82
-0.01,-0.23,1.05,-0.56,-14.44,-6.24
0.05,-0.23,0.98,1.16,-6.75,-4.2
0.06,-0.24,0.97,1.51,-2.23,-2.44
0.05,-0.24,0.96,3.73,-0.27,-1.19
0.02,-0.25,0.95,7.85,-0.15,-0.23
-0.01,-0.24,0.98,8.85,-0.38,-2.08
-0.01,-0.23,0.99,7.33,-4.0,-3.44
-0.01,-0.23,1.02,3.5,-6.92,-3.77
0.05,-0.21,0.93,5.02,-2.85,-1.6
0.04,-0.22,0.95,7.51,-1.36,-1.01
0.02,-0.22,0.99,4.5,0.21,-2.09
0.02,-0.2,0.93,8.4,-1.02,-1.74
0.04,-0.21,0.92,12.24,1.01,-0.27
0.03,-0.22,0.92,14.7,0.98,0.29
0.04,-0.23,0.93,17.18,0.87,1.28
0.0,-0.22,0.99,17.34,0.27,-0.38
-0.02,-0.22,1.02,15.44,-0.56,-2.47
0.01,-0.21,1.04,12.84,1.53,-2.82
0.02,-0.21,1.04,12.06,0.43,-2.21
0.01,-0.22,1.0,13.27,4.09,-2.55
0.04,-0.21,1.0,15.39,8.9,-1.34
0.02,-0.22,0.99,15.44,11.88,-2.56
0.06,-0.21,0.96,18.75,13.98,-0.76
0.02,-0.2,1.02,16.21,5.28,0.0
0.01,-0.2,1.03,13.13,1.47,-0.31
0.03,-0.18,1.03,10.64,0.78,0.05
0.02,-0.18,1.02,8.31,1.22,0.03
0.07,-0.17,1.0,7.76,6.43,1.68
0.03,-0.16,1.0,6.66,6.0,2.11
0.04,-0.17,0.95,9.82,9.05,3.11
0.04,-0.16,1.0,10.82,8.2,3.98
-0.01,-0.14,1.04,7.22,0.41,3.28
0.01,-0.15,1.0,7.02,2.99,2.89
0.01,-0.15,0.99,7.01,5.8,2.4
-0.01,-0.15,1.04,5.3,2.23,2.49
0.01,-0.15,0.99,6.46,1.68,3.19
-0.05,-0.14,1.11,-0.55,-9.25,2.89
0.01,-0.14,1.02,0.14,-8.46,4.21
-0.01,-0.15,0.97,2.11,-8.2,3.45
-0.01,-0.15,0.98,1.3,-6.47,1.69
0.04,-0.15,0.92,3.88,1.94,2.05
0.0,-0.16,0.93,5.69,1.45,1.5
0.03,-0.16,0.93,8.03,-1.44,3.5
0.01,-0.15,0.93,10.12,-2.09,4.6
-0.02,-0.14,0.97,8.61,-5.68,3.57
-0.06,-0.14,1.04,5.15,-10.31,1.44
-0.05,-0.14,0.98,7.48,-6.21,-0.06
-0.08,-0.13,1.0,6.89,-5.36,-2.63
-0.06,-0.13,1.03,4.15,-7.04,-4.0
-0.06,-0.13,1.03,4.64,-12.52,-4.78
-0.05,-0.13,0.99,6.96,-10.55,-6.32
-0.05,-0.14,1.01,6.03,-13.5,-8.26
-0.05,-0.14,0.99,6.9,-16.7,-9.68
-0.01,-0.15,0.97,9.68,-18.47,-9.65
-0.02,-0.15,0.98,10.11,-18.98,-10.93
-0.02,-0.15,1.01,9.34,-16.32,-13.15
0.01,-0.14,1.01,8.9,-11.48,-12.96
0.03,-0.15,1.02,8.27,-8.99,-12.12
0.04,-0.14,1.01,8.32,-8.44,-10.49
0.05,-0.13,1.01,9.08,-5.44,-9.92
0.06,-0.14,1.0,10.31,0.23,-9.04
0.01,-0.14,1.03,9.28,-2.56,-10.29
0.04,-0.14,1.02,10.46,-0.52,-9.77
0.03,-0.14,1.03,10.96,0.7,-11.27
0.02,-0.13,1.03,10.23,4.15,-13.01
0.09,-0.12,0.99,11.89,10.29,-10.9
0.05,-0.12,1.01,10.7,10.6,-11.1
0.02,-0.12,1.04,8.52,8.35,-11.95
0.03,-0.1,1.04,5.92,5.86,-12.05
0.06,-0.1,1.03,6.67,2.12,-10.49
0.08,-0.1,0.99,7.88,4.14,-8.9
0.04,-0.1,0.99,8.35,7.13,-9.85
0.04,-0.09,1.02,6.63,6.63,-9.77
0.07,-0.08,1.01,7.25,7.77,-8.15
0.05,-0.08,0.98,7.13,7.45,-8.64
0.07,-0.09,1.0,5.82,9.5,-8.32
0.05,-0.08,1.0,5.3,9.77,-7.65
0.04,-0.08,1.02,5.73,9.48,-7.65
0.04,-0.07,1.04,4.6,6.99,-7.33
0.05,-0.07,1.03,3.79,10.85,-6.75
0.05,-0.07,1.04,3.51,8.26,-5.13
0.01,-0.07,1.04,3.24,3.42,-4.93
0.04,-0.06,1.02,3.07,2.47,-4.72
0.02,-0.06,1.01,3.36,1.47,-5.13
0.02,-0.06,1.01,3.63,1.54,-5.33
0.01,-0.04,0.99,5.19,3.25,-6.49
0.01,-0.04,1.02,3.86,2.46,-7.44
0.02,-0.04,1.02,3.22,0.21,-6.08
0.04,-0.04,1.0,4.46,-0.02,-4.02
0.01,-0.05,1.01,4.27,-3.92,-4.09
0.03,-0.05,1.03,2.29,-3.44,-4.27
0.06,-0.04,1.02,1.27,-1.65,-2.58
0.08,-0.05,0.98,2.52,2.15,-0.55
0.04,-0.06,0.97,4.31,9.33,-1.22
0.03,-0.07,1.02,1.66,11.8,-1.74
0.02,-0.05,1.08,-1.08,8.95,-0.6
0.03,-0.05,1.02,1.45,7.36,1.19
0.02,-0.07,1.05,1.76,7.02,2.66
0.02,-0.07,1.03,2.03,9.42,2.58
-0.01,-0.07,1.05,1.89,8.85,1.56
0.0,-0.07,1.03,3.48,11.37,0.89
-0.02,-0.07,1.07,2.15,8.46,0.24
-0.03,-0.07,1.06,1.31,4.6,-0.84
-0.03,-0.07,1.06,1.91,3.19,-1.88
-0.02,-0.07,1.04,0.99,3.36,-3.5
-0.0,-0.07,1.02,1.5,3.89,-3.36
0.02,-0.07,1.02,3.33,3.22,-1.8
0.01,-0.07,1.01,2.84,0.0,-1.83
0.01,-0.05,1.02,1.88,0.43,-2.0
0.02,-0.05,1.04,1.57,-0.84,-1.18
0.02,-0.05,0.99,3.05,1.6,-1.62
0.02,-0.05,1.01,2.09,4.66,-1.63
