accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.07,-0.41,1.01,27.68,-4.85,-3.98
0.07,-0.41,1.01,25.8,-9.98,-5.13
0.08,-0.41,1.0,25.24,-11.91,-4.81
0.08,-0.42,0.97,24.61,-8.02,-6.55
0.1,-0.42,0.99,21.57,-6.41,-6.5
0.14,-0.42,0.94,24.23,-1.1,-5.66
0.1,-0.41,0.98,26.06,-4.14,-5.66
0.1,-0.4,1.05,23.94,-6.49,-5.13
0.1,-0.38,1.07,20.34,-5.95,-5.48
0.1,-0.38,1.05,18.41,-4.55,-6.6
0.11,-0.38,1.07,18.46,-9.56,-7.39
0.14,-0.37,1.01,16.56,-9.18,-7.5
0.13,-0.37,0.98,19.85,-6.76,-6.81
0.11,-0.36,1.03,18.24,-9.74,-8.34
0.13,-0.35,1.0,15.56,-8.98,-8.6
0.17,-0.34,0.93,15.51,-1.37,-6.99
0.14,-0.37,0.92,16.7,-1.28,-7.74
0.15,-0.35,0.93,18.55,-1.88,-5.97
0.18,-0.33,0.95,18.84,-3.66,-3.92
0.16,-0.32,0.96,19.79,-3.92,-4.23
0.13,-0.32,0.99,17.3,-2.58,-5.83
0.18,-0.32,0.98,14.87,5.39,-4.06
0.18,-0.32,0.93,16.96,9.53,-2.05
0.1,-0.33,1.0,17.5,0.96,-2.95
0.11,-0.32,1.04,14.64,-6.49,-5.92
0.17,-0.29,0.98,13.11,1.79,-3.16
0.15,-0.3,1.01,12.81,0.9,-2.82
0.12,-0.3,1.01,12.08,-7.73,-3.33
0.16,-0.3,0.97,12.52,-5.71,-3.11
0.15,-0.29,0.96,12.75,-4.09,-2.85
0.13,-0.3,0.96,13.16,-7.02,-3.86
0.14,-0.28,1.01,11.4,-8.27,-3.24
0.18,-0.28,0.98,10.4,-4.17,-1.02
0.15,-0.27,0.98,12.95,-2.34,0.15
0.12,-0.27,1.03,9.6,-8.18,-1.3
0.15,-0.28,0.96,10.2,-3.86,-1.22
0.13,-0.28,0.96,10.63,-1.28,-1.62
0.1,-0.28,0.98,10.12,-6.41,-3.54
0.11,-0.27,0.98,10.2,-10.34,-5.85
0.12,-0.27,0.94,11.71,-9.18,-6.73
0.13,-0.27,0.94,12.46,-9.71,-7.5
0.17,-0.26,0.91,12.35,-5.88,-5.36
0.19,-0.25,0.88,13.3,-0.23,-2.69
0.17,-0.24,0.91,14.4,0.55,-1.74
0.16,-0.24,0.92,14.6,0.78,-1.94
0.15,-0.23,0.94,15.07,1.18,-1.27
0.16,-0.22,0.96,11.97,3.11,-1.69
0.15,-0.24,0.93,17.59,1.47,-1.71
0.12,-0.23,0.98,15.95,-1.39,-3.02
0.14,-0.23,0.97,15.86,-1.88,-2.61
0.16,-0.23,0.93,18.43,1.36,-1.92
0.14,-0.24,0.96,18.37,1.73,-2.27
0.14,-0.23,1.01,16.82,-2.14,-3.08
0.16,-0.23,0.98,17.94,-0.96,-3.02
0.13,-0.24,0.99,18.76,0.4,-4.5
0.15,-0.22,1.02,17.48,-0.4,-3.71
0.16,-0.21,1.01,16.38,2.49,-2.64
0.17,-0.21,1.0,16.73,3.88,-1.3
0.15,-0.21,1.03,17.79,2.89,-1.15
0.16,-0.21,1.04,15.18,3.53,-0.87
0.17,-0.18,1.05,15.28,7.94,-0.05
0.16,-0.17,1.05,12.32,7.54,0.67
0.14,-0.18,1.05,12.99,0.87,0.27
