accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.22,-0.26,1.01,14.18,3.04,-3.85
0.23,-0.26,0.99,13.53,4.08,-3.77
0.23,-0.27,0.96,15.8,3.5,-2.92
0.19,-0.26,0.99,15.24,-5.1,-2.31
0.21,-0.25,0.99,12.81,-5.82,-1.59
0.24,-0.24,0.93,15.71,-3.21,0.02
0.2,-0.26,0.96,14.98,-4.58,-0.55
0.23,-0.25,0.94,15.42,-2.09,0.14
0.23,-0.25,0.91,18.03,-1.27,0.85
0.19,-0.26,0.96,15.56,-2.37,-1.44
0.22,-0.25,0.95,13.77,3.54,-1.5
0.22,-0.25,0.9,17.16,5.83,-0.69
0.18,-0.27,0.93,19.5,-1.16,-0.18
0.15,-0.26,0.97,21.02,-10.73,-0.24
0.22,-0.2,0.95,21.82,-5.24,-2.03
0.18,-0.24,1.0,20.55,-1.82,-4.23
0.22,-0.22,1.05,15.22,2.47,-3.94
0.23,-0.22,1.03,13.22,3.88,-2.43
0.18,-0.22,1.05,11.01,-0.05,-2.82
0.18,-0.22,1.04,9.47,-1.98,-3.89
0.2,-0.22,0.96,13.37,0.95,-4.61
0.19,-0.23,0.99,13.68,-7.18,-5.25
0.21,-0.21,0.96,15.79,-6.73,-2.84
0.24,-0.2,0.94,17.27,-1.07,-2.58
0.22,-0.19,0.96,16.09,1.47,-3.4
0.22,-0.18,0.98,13.51,0.46,-3.89
0.21,-0.17,1.0,10.05,-1.6,-4.24
0.26,-0.16,0.93,11.25,1.31,-2.18
0.26,-0.17,0.94,12.84,0.69,-13.37
0.24,-0.16,0.92,13.91,0.87,0.31
0.26,-0.12,0.92,15.04,6.38,0.41
0.21,-0.16,0.94,15.51,9.5,-0.75
0.22,-0.16,0.93,17.36,9.1,-7.19
0.21,-0.13,0.94,18.27,5.66,0.44
0.18,-0.15,0.95,22.9,-3.8,-12.63
0.19,-0.16,0.92,22.76,0.99,0.06
0.2,-0.15,0.96,22.08,2.61,-1.16
0.26,-0.02,0.96,22.69,4.81,-1.27
0.17,-0.13,0.96,23.31,5.62,-2.4
0.14,-0.13,0.98,23.8,2.05,-3.27
0.17,-0.12,0.98,24.11,1.79,-3.62
0.15,-0.12,1.01,22.64,-3.8,-3.98
0.15,-0.12,1.01,21.5,-8.24,-4.24
0.17,-0.1,0.98,22.2,-5.6,-6.78
0.18,-0.1,0.99,20.78,-0.6,-9.34
0.2,-0.1,0.98,20.66,0.21,-7.97
0.17,-0.08,0.98,21.04,-1.02,-7.94
0.14,-0.08,1.01,20.37,-4.15,-11.57
0.18,0.01,1.01,17.97,-6.26,-11.71
0.19,-0.06,0.98,19.53,-6.87,-12.31
0.2,-0.07,0.97,18.37,-6.67,-12.43
0.2,-0.07,0.97,19.21,-7.44,-12.6
0.21,-0.06,0.98,19.24,-5.82,-13.5
0.2,-0.06,0.96,21.85,-6.08,-16.06
0.19,-0.05,0.99,21.36,-7.54,-15.45
0.23,-0.05,1.0,21.62,-6.53,-13.44
0.2,-0.05,1.03,20.5,-9.68,-13.54
0.21,-0.03,1.05,17.28,-9.36,-14.99
0.23,-0.05,1.06,14.26,-2.44,-15.68
0.21,-0.04,1.05,13.18,-3.71,-16.5
0.2,-0.05,1.04,16.84,-9.15,-17.05
0.2,-0.04,1.06,16.35,-12.75,-18.21
0.24,-0.04,1.06,15.42,-12.93,-19.94
0.24,-0.04,1.07,14.2,-14.58,-18.47
0.27,-0.03,1.05,14.4,-13.68,-17.89
0.28,-0.03,1.05,14.38,-8.63,-17.95
0.31,-0.02,1.05,12.95,-3.36,-17.37
0.31,-0.01,1.06,11.25,-0.64,-16.63
0.29,0.0,1.08,9.62,-10.87,-13.33
0.33,0.01,1.04,8.75,-6.56,-12.24
0.34,0.02,1.02,6.96,3.08,-11.71
0.32,0.01,1.05,5.27,7.05,-10.75
0.28,0.01,1.06,4.02,3.71,-10.2
0.29,0.02,1.04,5.44,-0.08,-7.91
0.24,0.03,1.04,5.94,-4.43,-8.14
0.23,0.04,1.06,2.84,-5.47,-9.5
0.27,0.05,1.03,-0.84,-0.69,-10.05
0.28,0.05,0.98,-1.5,2.7,-9.04
0.28,0.04,0.95,-0.34,-1.19,-6.69
0.27,0.03,0.92,0.55,-0.61,-6.09
0.27,0.04,0.93,-1.62,2.44,-6.18
0.28,0.03,0.87,-0.49,7.15,-5.56
0.28,0.03,0.85,3.94,6.44,-3.3
0.27,0.01,0.85,6.41,3.73,-1.77
0.23,0.02,0.89,7.53,1.18,-2.08
0.24,0.03,0.91,6.2,5.27,-3.98
0.29,0.03,0.87,6.06,15.34,-4.79
0.24,0.04,0.85,10.08,12.26,-4.2
0.25,0.04,0.91,12.24,4.55,-2.58
0.27,0.05,0.93,13.74,1.92,-1.77
0.27,0.05,0.92,13.56,6.98,-2.47
0.3,0.06,0.93,12.93,13.44,-1.89
0.33,0.05,0.89,15.66,17.21,0.38
0.34,0.03,0.92,19.34,16.17,3.63
0.33,0.04,0.97,22.46,11.98,6.87
0.3,0.06,1.02,23.6,14.09,9.08
0.29,0.06,1.01,26.84,21.36,11.19
0.23,0.07,1.04,30.24,24.52,10.52
0.17,0.08,1.14,29.16,21.6,9.13
0.17,0.08,1.17,25.57,20.84,9.27
0.16,0.08,1.16,21.79,19.54,7.44
0.13,0.08,1.14,20.4,12.99,5.47
0.17,0.09,1.13,17.08,15.71,4.29
0.2,0.1,1.11,14.05,18.23,3.85
0.17,0.1,1.09,12.43,14.6,3.42
0.19,0.11,1.1,10.31,14.96,3.31
0.2,0.11,1.12,5.4,18.43,4.29
0.13,0.13,1.15,3.01,12.63,3.4
0.12,0.12,1.12,2.99,7.98,1.53
0.15,0.12,1.1,0.29,7.19,0.79
0.2,0.12,1.05,0.89,5.92,2.0
0.18,0.12,1.05,0.73,6.15,3.36
0.18,0.13,1.07,-0.29,5.95,3.74
0.13,0.12,1.08,-2.73,2.6,3.83
0.14,0.12,1.08,-4.58,-0.24,3.22
0.15,0.12,1.03,-2.49,0.17,3.25
0.12,0.09,1.02,-1.92,-2.67,2.38
0.1,0.09,1.01,-2.23,-3.86,-0.52
0.14,0.09,1.0,-1.74,-0.92,-2.37
0.16,0.09,1.01,-2.44,0.5,-2.56
0.17,0.1,1.02,-3.53,-2.23,-1.48
0.16,0.1,0.98,-0.61,-3.97,-0.38
0.16,0.09,0.99,1.11,-3.37,-1.44
0.13,0.1,1.05,-0.76,-5.77,-2.96
0.17,0.11,1.04,-2.49,-5.21,-2.37
0.17,0.11,1.04,-3.33,-4.96,-1.73
0.16,0.12,1.02,-3.71,-4.64,-1.36
0.16,0.11,1.06,-5.28,-4.11,-0.98
0.15,0.11,1.06,-7.04,-0.78,-2.02
0.13,0.1,1.1,-9.62,-0.18,-4.06
