accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.25,-0.22,0.93,-2.32,-17.19,-2.67
0.22,-0.2,1.04,-6.37,-37.65,-1.54
0.29,-0.17,0.99,-7.16,-38.95,2.35
0.43,-0.18,0.89,-5.92,-5.02,7.83
0.35,-0.18,0.93,-4.29,11.76,11.77
0.24,-0.2,0.95,0.17,17.79,10.69
0.24,-0.22,0.9,0.61,36.31,7.1
0.2,-0.22,0.91,14.6,30.43,8.4
0.17,-0.24,0.94,20.64,31.01,7.05
0.15,-0.22,0.97,23.6,22.52,4.23
0.14,-0.22,0.99,23.74,10.53,1.56
0.19,-0.19,1.06,17.89,5.25,1.69
0.22,-0.16,1.06,7.89,7.77,-1.04
0.27,-0.16,0.97,6.0,19.07,-2.05
0.26,-0.16,0.92,7.01,21.45,-1.76
0.26,-0.16,0.97,6.4,16.44,1.22
0.22,-0.16,1.0,0.9,8.35,2.15
0.24,-0.17,1.02,-3.44,8.17,2.64
0.24,-0.17,0.96,-4.23,13.83,2.72
0.23,-0.2,0.9,0.14,15.69,2.84
0.23,-0.21,0.92,5.54,13.57,3.3
0.2,-0.2,0.98,2.17,11.36,2.05
0.21,-0.18,0.97,0.6,8.81,2.52
0.21,-0.16,0.99,-0.37,4.53,4.2
0.17,-0.17,1.01,-0.15,-0.44,3.88
0.14,-0.19,0.99,-0.93,-4.03,1.83
0.19,-0.17,0.94,1.62,3.15,-0.23
0.19,-0.16,0.9,9.57,3.3,-0.03
0.2,-0.17,0.95,15.1,-2.92,2.76
0.18,-0.16,1.05,12.31,-7.08,2.64
0.17,-0.15,1.05,10.14,-10.49,2.06
0.16,-0.16,0.97,13.98,-15.53,-3.13
0.17,-0.18,0.96,20.46,-23.44,-4.12
0.15,-0.2,0.97,24.52,-38.2,-10.4
0.17,-0.19,0.97,25.74,-48.41,-15.16
0.24,-0.17,1.03,20.06,-46.05,-15.73
0.37,-0.13,1.06,11.19,-22.93,-9.25
0.38,-0.11,0.99,9.4,5.57,-3.19
0.27,-0.14,0.94,14.96,18.99,-5.37
0.25,-0.17,0.95,17.11,23.77,-8.12
0.25,-0.17,1.02,15.39,18.63,-6.78
0.29,-0.16,1.05,6.99,14.89,-5.04
0.25,-0.18,1.12,-3.69,10.79,-1.66
0.2,-0.15,1.1,-10.52,3.86,-4.82
0.18,-0.16,0.99,-9.76,-1.02,-10.96
0.3,-0.14,0.91,-5.51,7.79,-11.79
0.28,-0.12,1.04,-9.54,3.77,-9.71
0.22,-0.15,1.07,-13.95,0.32,-9.95
0.17,-0.13,0.98,-17.19,-4.99,-17.69
0.17,-0.14,0.99,-14.24,-19.42,-21.56
0.24,-0.1,1.05,-16.08,-31.31,-22.43
0.32,-0.1,1.06,-17.07,-36.76,-16.14
0.41,-0.07,0.94,-15.13,-18.18,-8.47
0.39,-0.1,0.87,-6.75,-0.84,-1.71
0.28,-0.13,0.88,1.82,2.96,-3.08
0.25,-0.15,0.86,11.36,7.59,-6.55
0.25,-0.15,0.88,17.22,8.93,-7.53
0.25,-0.13,0.96,17.69,10.41,-7.3
0.23,-0.12,1.03,12.55,2.14,-7.47
0.26,-0.11,1.02,10.47,2.46,-6.32
0.23,-0.08,0.95,14.35,-0.82,-8.17
0.24,-0.09,0.98,17.54,-7.34,-6.79
0.28,-0.09,0.99,19.08,-6.06,-5.65
0.25,-0.09,0.99,16.34,0.82,-8.43
0.25,-0.09,0.98,15.91,8.95,-9.74
