accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.27,-0.31,0.97,12.26,-11.34,-3.98
0.27,-0.31,0.94,12.72,-5.74,-4.7
0.27,-0.31,0.92,13.18,0.85,-6.85
0.29,-0.3,0.97,10.89,0.99,-5.45
0.29,-0.29,0.97,12.08,-1.69,-2.85
0.27,-0.3,0.96,11.31,3.45,-4.49
0.26,-0.29,1.02,6.44,8.23,-8.02
0.24,-0.29,1.08,-3.16,13.59,-12.38
0.27,-0.26,1.09,-14.82,28.24,-15.11
0.32,-0.25,1.0,-16.93,36.17,-13.21
0.35,-0.27,0.96,-13.37,34.92,-5.71
0.26,-0.3,0.98,-8.76,11.79,-0.56
0.25,-0.31,0.95,-8.21,2.0,-0.09
0.25,-0.31,0.92,-6.87,0.81,-0.5
0.24,-0.31,0.95,-8.03,0.96,-1.98
0.25,-0.32,0.89,-5.98,4.0,-2.34
0.23,-0.33,0.88,-2.95,2.49,-2.84
0.22,-0.32,0.86,1.44,-1.83,-2.58
0.24,-0.32,0.87,5.01,-5.36,-1.65
0.22,-0.32,0.9,7.94,-11.11,-1.94
0.25,-0.31,0.89,7.98,-8.37,-2.84
0.26,-0.3,0.9,8.26,-7.08,-2.9
0.25,-0.31,0.94,6.64,-7.76,-2.81
0.28,-0.3,0.88,9.11,-4.69,-1.42
0.3,-0.28,0.9,9.45,-2.14,-0.12
0.3,-0.29,0.89,10.95,0.06,1.89
0.3,-0.29,0.89,12.55,0.95,2.95
0.28,-0.29,0.9,13.65,-2.11,4.52
0.27,-0.29,0.93,14.02,-4.98,5.15
0.26,-0.28,0.91,14.29,-8.67,5.01
0.26,-0.28,0.91,13.76,-9.6,5.34
0.28,-0.27,0.92,12.58,-7.08,5.76
0.32,-0.27,0.88,12.41,2.37,7.25
0.27,-0.28,0.91,10.26,4.87,7.19
0.27,-0.27,0.89,11.83,6.55,7.19
0.25,-0.28,0.91,12.98,4.81,6.6
0.24,-0.28,0.92,13.74,1.21,6.76
0.22,-0.27,0.96,12.87,-3.51,5.69
0.24,-0.27,0.94,13.6,-3.71,5.01
0.24,-0.27,0.96,13.71,1.42,2.69
0.25,-0.26,0.97,13.69,3.95,2.52
0.25,-0.26,0.96,18.05,2.63,4.08
0.24,-0.26,1.01,17.08,-4.03,5.1
0.24,-0.26,0.98,18.61,-1.39,4.9
0.22,-0.25,1.01,18.09,-0.76,3.83
0.21,-0.25,1.05,14.61,-3.71,2.26
0.21,-0.23,1.04,12.78,0.34,0.32
0.24,-0.23,1.03,9.1,4.4,-0.72
0.21,-0.23,1.04,5.63,3.89,-1.57
0.23,-0.24,1.0,5.89,1.33,-1.01
0.25,-0.23,0.97,5.95,3.13,-0.5
0.22,-0.23,1.0,5.85,1.07,-1.22
0.22,-0.23,0.95,7.56,2.43,-1.88
0.22,-0.23,0.93,9.25,3.28,-3.16
0.23,-0.23,0.95,9.31,1.89,-3.31
0.23,-0.22,0.92,10.92,3.8,-3.42
0.23,-0.22,0.94,9.4,0.9,-3.42
0.23,-0.21,0.96,5.59,-1.94,-3.91
0.29,-0.1,0.92,9.13,2.75,-3.21
0.22,-0.22,0.97,8.21,2.81,-4.64
0.22,-0.21,0.99,5.68,1.59,-6.08
0.25,-0.2,0.96,7.83,3.36,-4.79
0.26,-0.2,0.96,8.02,6.0,-4.7
0.25,-0.2,0.97,7.51,2.63,-5.11
0.25,-0.2,1.0,6.27,-2.95,-4.15
0.28,-0.2,0.95,7.57,-3.31,-2.35
0.27,-0.22,0.97,10.81,-2.17,-2.5
0.24,-0.19,1.02,7.21,-4.06,-4.12
0.28,-0.18,0.99,6.53,2.38,-3.66
0.24,-0.19,0.98,5.05,2.6,-4.29
0.24,-0.2,0.98,4.26,-1.39,-4.27
0.26,-0.2,0.93,6.7,-3.21,-2.49
0.24,-0.2,0.92,9.66,-5.69,-2.06
0.22,-0.22,0.9,12.95,-6.44,-2.37
0.23,-0.23,0.91,16.81,-7.27,-2.43
0.18,-0.19,0.92,19.36,-10.38,-4.18
0.14,-0.2,0.97,19.15,-15.01,-7.92
0.15,-0.19,0.95,19.73,-21.94,-10.61
0.17,-0.17,0.94,20.76,-25.15,-13.1
0.2,-0.18,0.96,18.17,-21.51,-15.86
0.24,-0.15,0.96,15.39,-11.89,-18.08
0.3,-0.14,0.96,13.66,-0.87,-17.05
0.31,-0.13,1.0,12.35,0.18,-14.17
0.31,-0.13,1.04,9.18,1.02,-11.04
0.31,-0.11,1.05,8.43,-0.03,-9.11
0.28,-0.12,1.02,9.59,-4.26,-10.75
0.28,-0.12,0.98,13.05,-2.02,-12.89
0.3,-0.12,1.03,12.08,-2.81,-13.33
0.34,-0.12,1.03,9.69,-0.26,-12.24
0.35,-0.11,1.02,9.66,1.11,-10.75
0.33,-0.1,1.02,7.98,-1.18,-9.24
0.31,-0.1,1.05,4.02,-3.24,-8.64
0.34,-0.09,1.0,3.56,-1.34,-7.08
0.35,-0.1,0.97,4.7,3.01,-5.88
0.32,-0.11,0.97,5.22,5.44,-4.84
0.3,-0.11,0.96,6.7,7.24,-5.34
0.28,-0.11,0.97,6.6,2.34,-5.85
0.28,-0.1,0.94,8.96,-1.4,-5.85
0.29,-0.09,1.0,8.67,-5.98,-5.59
0.29,-0.09,1.0,7.79,-6.7,-11.21
0.31,-0.09,0.99,6.98,-3.22,-7.15
0.33,-0.08,1.0,4.06,0.89,-3.77
0.36,-0.09,0.98,4.26,3.71,-0.47
