accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.22,0.07,0.91, -4.89, 0.81, -1.56,
 0.22,0.07,0.90, -5.02, 0.76, -1.59,
 0.22,0.07,0.90, -4.69, 0.96, -1.45,
 0.22,0.08,0.91, -4.43, 1.25, -1.44,
 0.22,0.08,0.91, -4.38, 1.22, -1.21,
 0.24,0.07,0.90, -4.20, 2.02, -0.56,
 0.23,0.07,0.91, -4.23, 2.61, 0.34,
 0.23,0.08,0.91, -4.63, 3.11, 1.31,
 0.22,0.08,0.90, -5.16, 3.11, 1.08,
 0.21,0.08,0.92, -4.95, 3.31, 1.01,
 0.21,0.08,0.90, -4.84, 2.41, 0.53,
 0.21,0.09,0.92, -4.87, 2.24, -0.11,
 0.21,0.08,0.92, -4.95, 1.74, -0.08,
 0.22,0.08,0.93, -5.27, 1.42, -0.02,
 0.22,0.08,0.92, -5.34, 1.56, -0.03,
 0.22,0.08,0.92, -4.92, 2.05, 0.11,
 0.22,0.07,0.92, -4.69, 2.38, -0.12,
 0.22,0.08,0.91, -4.00, 2.53, -0.40,
 0.22,0.08,0.91, -3.51, 2.35, -0.24,
 0.21,0.07,0.92, -3.83, 2.38, -0.31,
 0.20,0.08,0.92, -3.98, 1.89, -0.53,
 0.21,0.07,0.91, -4.03, 1.53, -0.96,
 0.21,0.08,0.93, -3.88, 0.93, -1.36,
 0.21,0.08,0.92, -4.14, 0.09, -0.95,
 0.21,0.08,0.92, -3.45, 0.00, -1.33,
 0.22,0.08,0.92, -3.34, -0.32, -1.24,
 0.23,0.08,0.94, -4.06, 0.43, -0.72,
 0.23,0.08,0.94, -4.18, 0.63, -0.78,
 0.23,0.07,0.94, -3.62, 1.37, -0.72,
 0.23,0.08,0.92, -3.57, 2.14, -0.60,
 0.22,0.08,0.93, -3.47, 2.31, -0.72,
 0.23,0.08,0.93, -3.56, 2.47, -0.55,
 0.22,0.08,0.93, -3.48, 2.34, -0.47,
 0.22,0.08,0.92, -3.50, 1.80, -0.43,
 0.21,0.09,0.93, -3.50, 0.76, -0.44,
 0.20,0.08,0.94, -4.14, -2.12, 0.29,
 0.19,0.09,0.93, -4.50, -6.32, 0.82,
 0.18,0.08,0.94, -4.70, -11.66, 1.50,
 0.16,0.09,0.95, -5.40, -19.91, 2.89,
 0.15,0.09,0.96, -6.89, -30.15, 4.98,
 0.14,0.11,0.96, -8.20, -42.15, 6.69,
 0.11,0.12,0.99, -10.66, -58.76, 9.05,
 0.12,0.10,0.99, -13.07, -77.18, 11.39,
 0.07,0.14,0.99, -23.33, -101.21, 13.69,
 0.12,0.06,0.94, -14.98, -115.88, 10.29,
 0.12,0.14,0.97, -18.18, -141.94, 8.79,
 0.17,0.05,0.98, -20.55, -152.29, 19.56,
 0.17,0.14,0.98, -26.60, -177.07, 28.15,
 0.19,0.12,0.96, -30.49, -200.14, 36.79,
 0.16,0.06,0.87, -25.45, -222.92, 41.48,
 0.19,0.07,0.86, -18.75, -241.11, 53.24,
 0.16,0.00,0.85, -27.82, -271.80, 54.67,
 0.25,0.00,0.75, -29.82, -281.59, 58.53,
 0.28,-0.06,0.70, -30.11, -291.39, 50.82,
 0.40,-0.06,0.56, -30.72, -296.14, 46.61,
 0.52,-0.08,0.57, -26.67, -274.81, 41.68,
 0.61,-0.10,0.55, -24.49, -264.02, 39.59,
 0.66,-0.09,0.52, -22.55, -247.74, 35.01,
 0.81,-0.09,0.49, -18.56, -220.31, 31.83,
 0.78,-0.05,0.55, -13.57, -206.03, 32.18,
 0.87,-0.04,0.57, -10.81, -186.09, 33.39,
 0.88,-0.04,0.58, -7.27, -161.97, 31.19,
 0.87,-0.01,0.62, -6.34, -137.56, 28.92,
 0.83,-0.00,0.65, -6.60, -119.89, 24.03,
 0.80,-0.00,0.64, -5.68, -103.65, 17.86,
 0.77,0.00,0.63, -3.37, -91.82, 12.41,
 0.74,-0.01,0.63, -1.34, -85.30, 8.99,
 0.71,0.00,0.63, 0.63, -83.83, 7.88,
 0.69,0.00,0.63, 1.89, -85.60, 8.23,
 0.67,0.01,0.64, 2.09, -89.57, 11.10,
 0.67,0.01,0.65, 1.77, -93.21, 13.59,
 0.67,0.02,0.66, 1.11, -96.37, 15.04,
 0.67,0.02,0.66, 0.55, -96.67, 15.79,
 0.66,0.02,0.66, 0.09, -97.80, 13.82,
 0.69,0.02,0.66, -0.58, -97.53, 10.67,
 0.69,0.02,0.67, -1.79, -98.08, 7.83,
 0.72,0.02,0.65, -2.75, -97.05, 4.31,
 0.73,0.01,0.63, -2.72, -96.55, 1.48,
 0.75,0.04,0.62, -2.87, -96.96, -1.44,
 0.76,0.05,0.65, -4.50, -96.79, -2.53,
 0.75,0.03,0.62, -5.53, -96.40, -3.79,
 0.74,0.04,0.63, -6.67, -95.73, -4.75,
 0.72,0.04,0.61, -8.67, -95.36, -8.64,
 0.73,0.05,0.62, -12.53, -95.42, -14.03,
 0.73,0.04,0.60, -16.20, -97.19, -20.61,
 0.74,0.05,0.59, -19.22, -101.11, -24.20,
 0.73,0.06,0.57, -22.18, -108.46, -27.02,
 0.77,0.05,0.53, -24.95, -114.89, -28.02,
 0.78,0.03,0.52, -26.66, -121.24, -30.90,
 0.80,0.05,0.50, -27.53, -133.69, -26.46,
 0.83,0.01,0.43, -29.94, -129.04, -33.02,
 0.85,0.02,0.40, -30.64, -133.60, -35.31,
 0.87,0.03,0.36, -31.01, -138.03, -37.63,
 0.92,0.02,0.34, -29.56, -137.95, -39.34,
 0.96,0.02,0.32, -28.18, -136.14, -38.26,
 0.98,0.01,0.29, -25.53, -133.27, -36.92,
 0.99,0.02,0.27, -23.10, -131.82, -36.79,
 0.99,0.01,0.24, -21.02, -129.89, -34.49,
 0.97,0.00,0.22, -19.42, -127.10, -34.31,
 0.95,0.03,0.20, -19.40, -127.44, -31.86,
 0.95,0.01,0.17, -19.91, -127.86, -32.20,
 0.96,0.02,0.15, -18.87, -128.75, -32.32,
 0.96,0.05,0.16, -18.40, -131.24, -34.35,
 1.01,0.05,0.15, -18.99, -130.34, -32.82,
 1.03,0.03,0.11, -18.20, -129.22, -30.35,
 1.07,0.06,0.15, -19.02, -127.94, -29.56,
 1.08,0.04,0.10, -13.19, -123.34, -23.79,
 1.09,0.04,0.09, -6.64, -119.30, -17.68,
 1.06,0.03,0.10, -1.30, -119.47, -16.85,
 1.05,0.04,0.08, 3.39, -118.85, -15.51,
 1.06,0.04,0.09, 8.44, -117.65, -13.80,
 1.05,0.07,0.10, 9.24, -119.68, -14.08,
 1.07,0.07,0.11, 10.34, -117.97, -12.08,
 1.10,0.08,0.09, 6.84, -117.83, -8.55,
 1.10,0.05,0.09, 5.36, -118.61, -2.27,
 1.13,0.05,0.08, 4.61, -114.70, 0.73,
 1.12,0.05,0.08, 3.19, -111.83, 3.82,
 1.10,0.06,0.08, 1.71, -110.03, 8.20,
 1.08,0.05,0.06, -0.09, -110.49, 13.07,
 1.05,0.07,0.03, -3.18, -111.88, 16.02,
 1.03,0.08,0.03, -7.04, -113.02, 20.66,
 1.00,0.07,0.02, -6.27, -115.68, 22.14,
 0.98,0.08,0.01, -6.18, -116.23, 22.63,
 0.95,0.08,0.00, -9.15, -117.39, 22.98,
 0.94,0.07,-0.02, -11.79, -120.40, 22.15,
 0.96,0.07,-0.01, -14.32, -124.32, 20.56,
 0.99,0.06,-0.04, -15.13, -123.33, 17.79,
 1.03,0.06,-0.05, -14.81, -120.21, 15.95,
 1.08,0.06,-0.02, -12.96, -114.63, 13.91,
 1.10,0.07,-0.01, -10.41, -106.60, 13.97,
 1.13,0.06,0.00, -6.84, -96.99, 15.71,
 1.14,0.06,0.00, -4.96, -87.73, 19.34,
 1.12,0.06,-0.03, -5.56, -81.85, 23.66,
 1.08,0.05,-0.05, -6.03, -81.80, 27.92,
 1.06,0.05,-0.09, -8.09, -85.27, 32.15,
 1.04,0.07,-0.09, -10.89, -88.90, 36.27,
 1.01,0.07,-0.10, -15.19, -92.82, 39.95,
 1.00,0.04,-0.11, -18.06, -97.07, 40.46,
 1.00,0.03,-0.11, -21.40, -99.39, 39.88,
 1.02,0.01,-0.13, -25.02, -100.15, 37.95,
 1.05,0.01,-0.14, -27.86, -100.00, 38.06,
 1.07,0.02,-0.14, -28.06, -100.17, 42.29,
 1.09,0.00,-0.15, -29.01, -95.74, 49.21,
 1.09,-0.01,-0.17, -28.09, -85.85, 52.95,
 1.04,-0.02,-0.22, -26.37, -73.89, 49.71,
 0.96,-0.02,-0.25, -23.27, -64.20, 43.37,
 0.92,-0.06,-0.28, -18.27, -55.74, 35.16,
 0.90,-0.08,-0.33, -13.63, -47.10, 22.47,
 0.92,-0.09,-0.32, -9.10, -35.10, 8.40,
 0.95,-0.11,-0.32, -1.79, -24.15, -2.49,
 1.04,-0.06,-0.33, -0.34, -14.37, -5.79,
 1.10,-0.08,-0.33, 3.71, -4.40, -6.34,
 1.11,-0.09,-0.36, 6.09, -2.06, -1.28,
 1.15,-0.11,-0.39, 10.26, 1.76, 6.34,
 1.14,-0.11,-0.38, 13.79, 4.92, 12.72,
 1.11,-0.13,-0.37, 16.50, 3.51, 18.02,
 1.07,-0.13,-0.38, 17.21, 1.95, 21.22,
 1.03,-0.12,-0.39, 15.42, -1.28, 21.33,
 0.99,-0.11,-0.40, 13.79, -6.70, 21.45,
 0.97,-0.11,-0.39, 13.04, -10.47, 18.32,
 0.97,-0.11,-0.39, 12.96, -12.66, 13.91,
 0.97,-0.11,-0.37, 13.80, -11.15, 9.59,
 0.97,-0.11,-0.36, 12.47, -8.63, 6.08,
 0.98,-0.10,-0.33, 10.95, -5.97, 2.23,
 0.97,-0.10,-0.33, 10.12, -2.31, -1.21,
 0.97,-0.09,-0.31, 11.34, 1.31, -4.55,
 0.95,-0.06,-0.30, 10.29, 5.11, -8.27,
 0.96,-0.03,-0.30, 6.52, 7.82, -10.24,
 0.95,-0.05,-0.31, 2.87, 6.46, -11.37,
 0.95,-0.06,-0.33, 2.08, 1.98, -13.53,
 0.95,-0.11,-0.38, 5.73, -5.18, -16.90,
 1.05,-0.08,-0.37, 3.25, -3.57, -18.03,
 1.09,-0.06,-0.30, 0.89, 2.11, -15.16,
 1.09,-0.05,-0.31, -2.20, 3.98, -10.93,
 1.10,-0.06,-0.33, -2.11, 6.40, -8.05,
 1.08,-0.07,-0.34, -2.32, 8.53, -7.11,
 1.08,-0.07,-0.32, -3.34, 9.15, -8.09,
 1.05,-0.07,-0.31, -3.18, 9.86, -8.95,
 1.05,-0.05,-0.30, -3.50, 9.27, -9.10,
 1.04,-0.04,-0.28, -4.47, 9.51, -8.66,
 1.02,-0.05,-0.29, -6.60, 7.68, -9.10,
 1.00,-0.04,-0.29, -8.89, 4.24, -9.68,
 1.00,-0.03,-0.29, -10.27, 2.34, -10.69,
 1.02,-0.02,-0.28, -11.18, 2.82, -11.10,
 1.03,-0.03,-0.28, -11.27, 4.63, -11.86,
 1.04,-0.03,-0.29, -9.31, 6.70, -12.00,
 1.05,-0.04,-0.28, -6.11, 10.06, -12.40,
 1.06,-0.04,-0.28, -2.31, 13.36, -12.20,
 1.08,-0.03,-0.28, -0.03, 17.01, -12.21,
 1.05,-0.03,-0.26, 0.79, 18.60, -12.37,
 1.05,-0.04,-0.24, 0.23, 18.95, -11.89,
