accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.31,0.16,0.89, -3.82, -0.43, -1.11,
 0.31,0.16,0.88, -3.76, -0.64, -1.18,
 0.31,0.16,0.89, -3.73, -0.82, -1.33,
 0.32,0.17,0.89, -3.76, -0.78, -1.62,
 0.32,0.17,0.90, -3.79, -0.29, -1.71,
 0.32,0.17,0.90, -4.24, 0.31, -1.77,
 0.32,0.16,0.90, -4.66, 1.21, -1.80,
 0.32,0.16,0.90, -4.50, 1.82, -1.92,
 0.32,0.17,0.90, -4.47, 2.26, -1.82,
 0.31,0.17,0.89, -4.26, 2.53, -1.83,
 0.30,0.17,0.89, -4.44, 2.50, -1.68,
 0.30,0.17,0.90, -4.64, 2.23, -0.92,
 0.30,0.18,0.91, -6.02, 1.57, -0.52,
 0.30,0.17,0.90, -6.02, 0.49, -0.56,
 0.30,0.17,0.90, -5.74, -0.29, -0.87,
 0.30,0.17,0.88, -5.56, -0.47, -1.31,
 0.30,0.16,0.89, -5.19, -0.31, -1.40,
 0.30,0.17,0.89, -4.98, 0.23, -1.42,
 0.32,0.17,0.88, -4.72, 0.78, -1.69,
 0.31,0.16,0.87, -4.58, 1.50, -1.57,
 0.31,0.16,0.89, -4.61, 1.98, -1.73,
 0.32,0.17,0.89, -4.35, 2.47, -1.36,
 0.31,0.15,0.88, -4.15, 3.07, -0.84,
 0.31,0.16,0.88, -3.66, 2.67, -0.67,
 0.30,0.16,0.88, -3.36, 1.45, -0.82,
 0.30,0.17,0.88, -3.18, -0.46, -1.60,
 0.30,0.17,0.89, -3.74, -1.19, -2.14,
 0.31,0.18,0.89, -5.27, -1.76, -1.88,
 0.31,0.17,0.90, -5.56, -1.91, -2.05,
 0.31,0.17,0.89, -5.16, -2.31, -1.60,
 0.32,0.16,0.89, -4.64, -1.83, -1.22,
 0.33,0.18,0.88, -4.58, -1.30, -1.04,
 0.33,0.16,0.89, -4.99, -0.85, -1.13,
 0.33,0.17,0.89, -5.69, 0.31, -1.22,
 0.33,0.18,0.90, -6.46, 1.63, -1.11,
 0.32,0.16,0.89, -6.55, 2.89, -1.11,
 0.32,0.16,0.89, -5.89, 2.96, -1.10,
 0.32,0.16,0.89, -4.67, 2.46, -0.76,
 0.31,0.16,0.88, -3.59, 2.05, -1.21,
 0.30,0.16,0.88, -3.30, 1.28, -1.02,
 0.31,0.16,0.89, -3.76, 0.55, -0.64,
 0.30,0.16,0.88, -4.00, -0.11, -0.82,
 0.29,0.16,0.88, -4.12, -1.33, -0.75,
 0.30,0.17,0.89, -4.09, -2.26, -0.99,
 0.30,0.17,0.90, -4.49, -3.44, -1.54,
 0.31,0.18,0.90, -4.99, -3.37, -2.23,
 0.31,0.18,0.90, -5.82, -3.13, -2.18,
 0.31,0.16,0.89, -5.98, -3.25, -2.67,
 0.32,0.17,0.89, -5.77, -3.08, -2.52,
 0.33,0.17,0.88, -6.08, -2.55, -1.89,
 0.31,0.16,0.90, -6.98, -3.05, -1.16,
 0.30,0.17,0.89, -7.74, -3.88, -0.09,
 0.30,0.17,0.89, -7.82, -5.79, 0.66,
 0.29,0.15,0.88, -7.24, -9.02, 1.33,
 0.28,0.14,0.88, -6.52, -12.85, 1.42,
 0.26,0.16,0.88, -5.91, -17.08, 2.29,
 0.25,0.16,0.87, -5.71, -22.14, 4.08,
 0.23,0.15,0.89, -4.70, -29.91, 6.02,
 0.22,0.14,0.88, -3.36, -37.74, 6.98,
 0.21,0.14,0.88, -1.98, -44.55, 6.43,
 0.22,0.15,0.88, -2.00, -50.44, 5.71,
 0.22,0.12,0.86, -0.84, -52.44, 3.05,
 0.23,0.16,0.90, 0.09, -64.55, 0.24,
 0.31,0.16,0.91, -2.32, -64.78, 0.56,
 0.31,0.15,0.88, -3.10, -64.61, -1.47,
 0.35,0.15,0.89, -1.63, -63.21, -2.96,
 0.37,0.14,0.90, -0.73, -61.21, -5.79,
 0.38,0.14,0.88, 0.09, -60.38, -6.79,
 0.39,0.14,0.87, 1.33, -59.21, -8.09,
 0.40,0.14,0.89, 0.64, -58.61, -8.78,
 0.39,0.13,0.87, 0.00, -59.63, -9.05,
 0.40,0.13,0.86, -1.01, -59.89, -9.24,
 0.39,0.12,0.85, -1.51, -62.17, -10.99,
 0.39,0.13,0.84, -2.20, -64.84, -13.80,
 0.40,0.13,0.84, -2.46, -67.57, -16.37,
 0.42,0.14,0.83, -2.60, -71.48, -18.44,
 0.45,0.16,0.85, -3.50, -75.25, -18.69,
 0.46,0.18,0.83, -5.28, -79.42, -18.60,
 0.51,0.19,0.84, -8.46, -82.41, -17.36,
 0.54,0.18,0.84, -11.25, -79.83, -17.04,
 0.52,0.18,0.84, -11.88, -86.44, -13.39,
 0.53,0.18,0.84, -12.47, -88.37, -11.57,
 0.53,0.17,0.82, -11.08, -87.04, -9.56,
 0.48,0.26,1.01, -3.89, -98.76, 10.37,
 0.42,0.20,0.82, -12.34, -91.24, -4.96,
 0.45,0.21,0.85, -13.51, -90.35, -4.17,
 0.43,0.18,0.81, -13.15, -91.39, -10.46,
 0.43,0.21,0.84, -16.46, -90.24, -14.66,
 0.43,0.21,0.83, -16.32, -90.76, -20.47,
 0.44,0.22,0.81, -15.80, -93.37, -25.22,
 0.49,0.22,0.80, -17.21, -95.21, -28.43,
 0.53,0.20,0.78, -16.31, -94.31, -31.02,
 0.57,0.24,0.74, -20.55, -91.30, -29.05,
 0.56,0.18,0.75, -17.50, -93.66, -32.21,
 0.60,0.20,0.77, -19.10, -94.15, -28.49,
 0.62,0.16,0.75, -22.50, -89.42, -23.89,
 0.57,0.17,0.74, -16.82, -93.21, -27.73,
 0.61,0.16,0.73, -18.02, -92.53, -26.89,
 0.61,0.14,0.70, -16.82, -92.23, -29.07,
 0.62,0.14,0.68, -14.99, -92.93, -28.56,
 0.62,0.13,0.66, -12.17, -93.19, -28.73,
 0.64,0.13,0.63, -9.65, -93.54, -30.00,
 0.69,0.07,0.61, -1.21, -89.85, -31.74,
 0.65,0.14,0.58, -2.92, -93.89, -26.75,
 0.70,0.12,0.58, -0.53, -94.23, -24.63,
 0.72,0.13,0.57, 0.70, -91.77, -23.19,
 0.67,0.16,0.57, 3.40, -96.49, -21.73,
 0.71,0.12,0.60, 8.29, -93.77, -20.20,
 0.72,0.16,0.56, 8.85, -87.44, -21.27,
 0.69,0.19,0.58, 9.25, -86.24, -26.03,
 0.71,0.21,0.58, 13.56, -79.02, -31.76,
 0.72,0.22,0.64, 6.50, -79.66, -33.42,
 0.71,0.24,0.56, 6.52, -75.13, -34.66,
 0.72,0.20,0.57, 9.59, -79.51, -42.72,
 0.75,0.22,0.62, 8.67, -78.26, -40.53,
 0.75,0.24,0.59, 9.88, -82.12, -39.79,
 0.75,0.25,0.58, 10.49, -83.39, -35.95,
 0.75,0.25,0.55, 8.61, -88.18, -35.65,
 0.75,0.19,0.52, 13.34, -88.90, -34.69,
 0.78,0.23,0.52, 12.78, -86.98, -34.11,
 0.79,0.30,0.61, 6.02, -88.15, -25.97,
 0.77,0.17,0.38, 19.15, -85.07, -33.25,
 0.77,0.25,0.50, 16.32, -85.79, -31.04,
 0.83,0.29,0.54, 11.83, -78.76, -26.09,
 0.81,0.29,0.54, 13.45, -77.91, -26.38,
 0.80,0.27,0.53, 17.28, -72.11, -24.70,
 0.80,0.36,0.64, 6.47, -68.38, -19.66,
 0.79,0.30,0.55, 13.56, -56.09, -26.50,
 0.74,0.37,0.64, 6.15, -60.76, -30.95,
 0.75,0.32,0.60, 7.74, -55.62, -36.47,
 0.74,0.36,0.61, 6.58, -59.47, -41.60,
 0.78,0.35,0.60, 4.99, -59.66, -41.63,
 0.81,0.34,0.58, 1.77, -60.82, -38.60,
 0.81,0.35,0.56, -0.56, -63.40, -35.22,
 0.80,0.34,0.54, -2.78, -67.25, -31.18,
 0.80,0.32,0.51, -4.41, -70.41, -28.20,
 0.80,0.31,0.48, -5.28, -73.65, -27.40,
 0.81,0.30,0.45, -5.97, -76.06, -25.94,
 0.79,0.31,0.41, -4.61, -79.10, -23.82,
 0.82,0.29,0.39, -5.07, -79.83, -23.15,
