accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.15,0.05,0.94, -3.66, 4.95, -2.43,
 0.15,0.04,0.93, -3.74, 4.66, -2.60,
 0.15,0.05,0.95, -3.69, 4.17, -2.37,
 0.14,0.04,0.93, -3.42, 3.24, -2.03,
 0.14,0.06,0.93, -3.36, 2.31, -1.85,
 0.14,0.05,0.94, -3.39, 2.08, -1.82,
 0.15,0.06,0.95, -4.00, 1.98, -2.32,
 0.15,0.06,0.93, -4.90, 1.94, -2.76,
 0.15,0.05,0.93, -5.31, 2.49, -2.82,
 0.15,0.05,0.93, -5.47, 2.82, -2.76,
 0.15,0.05,0.93, -5.25, 2.76, -2.34,
 0.15,0.05,0.93, -5.05, 2.27, -2.50,
 0.14,0.05,0.93, -4.60, 1.76, -2.14,
 0.15,0.05,0.94, -4.35, 1.24, -2.14,
 0.16,0.05,0.94, -4.44, 1.42, -1.77,
 0.17,0.05,0.93, -4.75, 1.39, -1.68,
 0.15,0.05,0.94, -4.78, 2.05, -1.53,
 0.15,0.05,0.94, -4.84, 2.27, -1.27,
 0.15,0.05,0.94, -4.15, 2.53, -1.27,
 0.15,0.05,0.93, -3.69, 2.96, -1.80,
 0.15,0.05,0.93, -3.40, 3.57, -1.65,
 0.15,0.05,0.95, -3.45, 3.71, -1.39,
 0.15,0.06,0.94, -3.69, 3.34, -1.22,
 0.14,0.06,0.95, -3.77, 2.43, -1.07,
 0.14,0.05,0.94, -3.18, 2.27, -0.87,
 0.14,0.05,0.95, -2.81, 1.71, -0.85,
 0.14,0.06,0.95, -2.92, 1.21, -0.56,
 0.15,0.06,0.96, -3.53, 1.13, -0.52,
 0.15,0.06,0.95, -4.20, 1.27, -0.21,
 0.15,0.06,0.95, -4.81, 1.73, -0.53,
 0.15,0.06,0.94, -5.05, 1.77, -0.64,
 0.14,0.05,0.94, -4.90, 2.11, -1.13,
 0.14,0.06,0.94, -4.93, 2.24, -1.04,
 0.14,0.06,0.94, -4.67, 2.56, -1.10,
 0.14,0.06,0.94, -4.90, 2.95, -1.18,
 0.14,0.05,0.94, -5.13, 2.92, -1.16,
 0.14,0.05,0.93, -5.63, 2.31, -0.92,
 0.14,0.05,0.93, -5.71, 1.91, -0.70,
 0.14,0.06,0.93, -5.57, 0.96, -0.98,
 0.14,0.05,0.92, -5.37, 0.03, -1.04,
 0.14,0.06,0.94, -5.04, -0.49, -1.18,
