accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.25,0.32,0.87, -4.67, 0.96, -1.86,
 0.25,0.32,0.87, -4.63, 0.81, -1.97,
 0.24,0.31,0.87, -4.63, 1.01, -1.86,
 0.25,0.32,0.87, -4.84, 1.36, -1.66,
 0.25,0.31,0.87, -4.73, 1.50, -1.88,
 0.24,0.32,0.86, -4.72, 1.60, -2.11,
 0.24,0.31,0.87, -4.75, 1.48, -1.97,
 0.24,0.32,0.86, -4.63, 1.16, -1.27,
 0.23,0.30,0.87, -4.37, 0.73, -0.96,
 0.23,0.30,0.87, -4.29, -0.14, -0.73,
 0.23,0.30,0.87, -4.44, -1.15, -1.11,
 0.22,0.30,0.87, -4.35, -2.00, -1.13,
 0.22,0.30,0.87, -4.14, -2.61, -1.34,
 0.22,0.31,0.86, -4.08, -3.16, -1.91,
 0.23,0.31,0.87, -4.12, -3.19, -2.61,
 0.24,0.31,0.87, -4.35, -2.76, -3.01,
 0.24,0.32,0.87, -4.46, -2.14, -3.33,
 0.25,0.32,0.86, -4.46, -1.63, -3.85,
 0.26,0.32,0.88, -4.43, -0.50, -4.21,
 0.27,0.32,0.88, -4.81, 0.58, -4.37,
 0.27,0.32,0.87, -4.56, 1.07, -4.47,
 0.27,0.31,0.87, -4.49, 1.48, -4.38,
 0.26,0.31,0.87, -4.90, 1.18, -4.38,
 0.26,0.29,0.85, -4.34, 0.35, -4.55,
 0.28,0.33,0.86, -3.88, -0.43, -2.61,
 0.27,0.30,0.87, -4.49, 0.27, -1.37,
 0.26,0.31,0.86, -4.60, -1.10, -1.04,
 0.26,0.31,0.85, -2.92, -2.20, -0.35,
 0.26,0.32,0.86, -1.91, -2.73, 0.18,
 0.26,0.32,0.87, -2.26, -2.60, 0.64,
 0.26,0.32,0.87, -2.31, -2.11, 0.55,
 0.26,0.32,0.87, -2.31, -1.77, 0.31,
 0.26,0.32,0.88, -2.35, -0.76, -0.09,
 0.26,0.33,0.88, -2.67, 0.63, -1.05,
 0.27,0.33,0.88, -3.21, 1.39, -1.54,
 0.26,0.33,0.89, -3.83, 2.69, -2.23,
 0.27,0.34,0.89, -4.61, 4.12, -1.66,
 0.25,0.32,0.89, -5.73, 4.61, -1.15,
 0.25,0.31,0.88, -5.88, 3.40, -1.18,
 0.25,0.32,0.87, -5.05, 2.79, -1.16,
 0.25,0.32,0.88, -5.36, 1.85, -0.72,
 0.24,0.31,0.87, -5.85, 1.01, -0.14,
 0.24,0.31,0.86, -5.71, -0.08, 0.29,
 0.23,0.30,0.86, -5.44, -1.04, 0.81,
 0.23,0.30,0.86, -4.85, -1.79, 1.66,
 0.22,0.30,0.85, -4.11, -2.84, 1.66,
 0.22,0.29,0.87, -3.60, -3.85, 0.96,
 0.22,0.30,0.87, -3.95, -4.47, 0.73,
 0.21,0.30,0.87, -4.52, -5.04, -0.05,
 0.21,0.30,0.88, -4.75, -5.53, -0.90,
 0.21,0.31,0.87, -4.64, -6.29, -1.50,
 0.22,0.31,0.88, -4.73, -6.41, -2.23,
 0.22,0.31,0.87, -4.70, -6.76, -2.50,
 0.22,0.31,0.86, -4.20, -7.68, -2.20,
 0.22,0.31,0.87, -3.88, -9.07, -1.30,
 0.22,0.30,0.87, -3.59, -11.59, -0.31,
 0.21,0.29,0.86, -2.52, -15.21, 1.11,
 0.20,0.28,0.86, -0.89, -20.02, 2.15,
 0.18,0.27,0.86, 0.61, -26.12, 3.56,
 0.19,0.28,0.86, 1.66, -32.34, 5.08,
 0.19,0.27,0.85, 2.53, -39.08, 7.34,
 0.20,0.27,0.85, 4.23, -44.95, 8.93,
 0.20,0.28,0.84, 6.85, -50.85, 11.74,
 0.22,0.28,0.85, 8.43, -56.92, 13.30,
 0.23,0.29,0.85, 9.98, -63.16, 14.23,
 0.25,0.30,0.86, 10.95, -67.74, 15.33,
 0.29,0.29,0.87, 12.20, -72.17, 15.39,
 0.29,0.31,0.86, 12.78, -72.11, 14.93,
 0.32,0.30,0.85, 12.75, -72.82, 13.73,
 0.34,0.31,0.86, 12.60, -71.04, 11.13,
 0.36,0.31,0.86, 10.96, -68.38, 8.09,
 0.38,0.32,0.84, 9.85, -64.67, 5.27,
 0.40,0.32,0.85, 8.95, -60.56, 3.39,
 0.41,0.33,0.85, 7.92, -56.78, 2.47,
 0.42,0.34,0.84, 7.40, -54.31, 2.49,
 0.42,0.34,0.83, 6.50, -52.21, 2.64,
 0.42,0.35,0.84, 5.85, -51.37, 3.69,
 0.41,0.35,0.84, 5.76, -52.53, 5.83,
 0.40,0.35,0.83, 6.82, -55.34, 8.46,
 0.38,0.35,0.83, 8.63, -59.66, 10.66,
 0.36,0.36,0.85, 8.98, -63.76, 12.40,
 0.35,0.37,0.84, 8.06, -66.87, 12.31,
 0.36,0.38,0.85, 7.18, -68.43, 10.75,
 0.37,0.38,0.85, 5.21, -66.50, 7.27,
 0.41,0.39,0.85, 2.84, -63.05, 1.95,
 0.44,0.40,0.84, 0.35, -56.09, -3.50,
 0.46,0.40,0.84, -3.10, -48.17, -8.64,
 0.50,0.40,0.84, -5.94, -39.07, -13.25,
 0.50,0.41,0.84, -8.17, -32.00, -16.90,
 0.51,0.39,0.81, -9.05, -27.31, -18.05,
 0.53,0.38,0.80, -8.40, -27.31, -16.08,
 0.53,0.37,0.80, -7.59, -30.17, -12.15,
 0.54,0.37,0.79, -7.28, -35.65, -7.37,
 0.55,0.35,0.79, -6.41, -41.33, -1.36,
 0.55,0.35,0.77, -5.30, -46.69, 4.23,
 0.55,0.35,0.75, -4.21, -51.13, 9.73,
 0.55,0.34,0.75, -2.52, -53.50, 14.37,
 0.54,0.34,0.75, -1.54, -54.70, 17.40,
 0.53,0.34,0.74, -1.07, -54.61, 18.67,
 0.51,0.34,0.75, -1.19, -53.98, 17.94,
 0.50,0.34,0.75, -1.40, -51.98, 16.70,
 0.50,0.34,0.75, -1.59, -48.98, 14.05,
 0.50,0.34,0.75, -1.83, -44.75, 11.53,
 0.49,0.34,0.76, -1.68, -41.97, 8.58,
 0.48,0.33,0.75, -2.76, -40.43, 5.54,
 0.47,0.32,0.75, -2.72, -40.50, 3.33,
 0.47,0.33,0.75, -2.92, -41.42, 1.69,
 0.47,0.32,0.75, -3.16, -42.73, 1.05,
 0.47,0.33,0.74, -3.36, -44.37, 0.85,
 0.48,0.32,0.74, -3.97, -46.27, 0.47,
 0.49,0.32,0.73, -4.21, -48.56, 0.24,
 0.50,0.32,0.71, -4.37, -50.44, -0.12,
 0.52,0.32,0.71, -3.77, -51.24, -0.70,
 0.52,0.31,0.69, -3.57, -51.42, -1.24,
 0.53,0.31,0.68, -2.64, -51.71, -2.03,
 0.55,0.32,0.69, -2.12, -51.56, -2.38,
 0.55,0.31,0.67, -1.27, -50.81, -2.17,
 0.57,0.31,0.66, 0.49, -51.68, -1.85,
 0.56,0.32,0.66, 1.95, -52.69, -1.94,
 0.56,0.32,0.67, 2.98, -54.12, -1.71,
 0.56,0.33,0.66, 3.89, -55.97, -1.77,
 0.57,0.34,0.67, 4.06, -56.47, -3.01,
 0.57,0.34,0.67, 4.03, -56.32, -4.34,
 0.58,0.35,0.68, 3.53, -55.56, -5.48,
 0.60,0.36,0.68, 2.64, -55.28, -6.32,
 0.62,0.36,0.69, 2.24, -54.31, -6.69,
 0.65,0.37,0.67, 2.24, -53.63, -5.51,
 0.67,0.37,0.67, 2.23, -53.36, -3.69,
 0.67,0.38,0.68, 1.92, -53.54, -1.15,
 0.68,0.38,0.68, 1.56, -54.26, 1.40,
 0.67,0.38,0.68, 1.02, -54.96, 3.42,
 0.66,0.36,0.67, 0.03, -54.93, 3.95,
 0.66,0.37,0.65, 0.64, -56.37, 3.97,
 0.65,0.36,0.65, 0.23, -57.51, 3.57,
 0.66,0.36,0.63, -0.03, -58.61, 2.70,
 0.68,0.35,0.62, -0.27, -58.32, 1.74,
 0.68,0.35,0.60, 0.99, -58.14, 1.37,
 0.68,0.35,0.61, 1.68, -57.77, 2.00,
 0.69,0.36,0.62, 2.29, -56.75, 1.83,
 0.71,0.36,0.62, 2.61, -56.95, 1.28,
 0.71,0.34,0.62, 1.54, -55.48, 2.24,
 0.74,0.35,0.61, -0.99, -57.40, 1.54,
 0.74,0.35,0.60, 1.13, -57.15, 1.85,
 0.75,0.36,0.60, 0.24, -56.93, 2.47,
 0.78,0.35,0.59, -0.17, -54.70, 3.62,
 0.78,0.36,0.59, -0.52, -53.45, 5.50,
 0.77,0.34,0.58, 0.85, -54.02, 7.85,
 0.78,0.35,0.56, 1.44, -50.67, 7.76,
 0.74,0.36,0.57, 1.98, -52.00, 7.95,
 0.75,0.37,0.57, 3.30, -51.42, 9.45,
 0.73,0.38,0.58, 3.88, -52.87, 10.34,
 0.72,0.38,0.59, 2.82, -54.50, 10.70,
 0.71,0.39,0.60, 2.40, -56.14, 11.24,
 0.71,0.39,0.60, 2.64, -67.97, 16.47,
 0.73,0.38,0.60, 0.02, -59.05, 11.33,
 0.73,0.38,0.59, -1.59, -58.21, 9.18,
 0.75,0.38,0.58, -2.38, -56.15, 8.58,
 0.76,0.38,0.57, -3.50, -53.73, 8.43,
 0.76,0.37,0.56, -3.91, -52.44, 8.60,
 0.75,0.36,0.56, -3.97, -51.65, 10.18,
 0.75,0.35,0.54, -3.47, -52.43, 11.82,
 0.74,0.34,0.53, -2.34, -54.75, 12.98,
 0.75,0.34,0.50, -1.79, -56.63, 14.67,
 0.70,0.32,0.50, -1.36, -60.06, 12.96,
 0.75,0.31,0.49, -2.52, -60.11, 13.79,
 0.76,0.32,0.47, -3.21, -60.21, 11.95,
 0.78,0.32,0.47, -2.11, -58.73, 11.13,
 0.77,0.31,0.46, -1.51, -57.22, 9.47,
 0.78,0.31,0.45, -0.92, -56.27, 7.59,
 0.79,0.31,0.44, -0.05, -54.21, 6.17,
 0.79,0.32,0.43, 1.30, -53.01, 5.44,
 0.80,0.32,0.44, 0.93, -51.57, 6.55,
 0.80,0.33,0.44, 0.34, -52.06, 6.99,
 0.79,0.33,0.45, 0.00, -54.03, 8.09,
 0.79,0.33,0.44, -0.26, -56.23, 8.79,
 0.78,0.33,0.43, -0.27, -59.57, 8.96,
 0.78,0.34,0.43, -0.61, -62.72, 7.95,
 0.79,0.34,0.43, -1.30, -63.85, 6.72,
 0.80,0.34,0.42, -2.79, -64.55, 5.83,
 0.81,0.33,0.41, -4.17, -64.26, 5.25,
 0.82,0.34,0.39, -4.14, -63.71, 4.15,
