accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.43,-0.03,0.87, -2.24, -2.26, -6.02,
 0.45,-0.03,0.87, -2.70, -2.20, -5.95,
 0.46,-0.03,0.87, -4.24, -1.79, -5.01,
 0.45,-0.03,0.86, -5.45, -0.98, -4.50,
 0.44,-0.02,0.86, -6.95, -0.03, -3.57,
 0.43,-0.03,0.85, -7.62, 1.86, -2.47,
 0.44,-0.03,0.85, -7.66, 3.85, -1.33,
 0.44,-0.04,0.84, -8.23, 5.89, -0.90,
 0.44,-0.04,0.84, -8.08, 8.27, -0.37,
 0.42,-0.03,0.85, -7.94, 9.44, -0.35,
 0.43,-0.03,0.83, -7.50, 11.25, 0.60,
 0.43,-0.04,0.83, -7.65, 11.92, 1.25,
 0.43,-0.04,0.83, -7.15, 12.52, 2.29,
 0.44,-0.03,0.84, -6.67, 12.38, 3.13,
 0.43,-0.03,0.85, -6.38, 13.59, 3.68,
 0.43,-0.02,0.85, -6.31, 13.15, 4.26,
 0.40,-0.03,0.85, -6.47, 13.57, 2.75,
 0.41,-0.02,0.85, -6.15, 13.51, 2.53,
 0.42,-0.03,0.85, -6.34, 14.21, 2.89,
 0.42,-0.03,0.86, -6.37, 14.50, 2.24,
 0.42,-0.02,0.86, -7.07, 15.13, 2.02,
 0.42,-0.02,0.88, -8.37, 15.73, 1.62,
 0.43,-0.02,0.87, -8.44, 15.11, 1.50,
 0.43,-0.03,0.87, -8.49, 14.92, 1.34,
 0.42,-0.03,0.87, -8.79, 13.68, 0.98,
 0.41,-0.03,0.86, -9.04, 13.22, 1.80,
 0.42,-0.05,0.86, -9.51, 13.54, 2.17,
 0.42,-0.04,0.87, -9.50, 13.97, 2.52,
 0.42,-0.05,0.87, -9.63, 13.97, 2.90,
 0.41,-0.04,0.87, -9.62, 15.65, 3.63,
 0.41,-0.05,0.86, -9.85, 17.21, 2.82,
 0.40,-0.05,0.85, -9.02, 18.32, 1.95,
 0.41,-0.05,0.85, -8.67, 18.87, 1.50,
 0.40,-0.04,0.86, -8.84, 20.63, -0.24,
 0.40,-0.04,0.84, -8.11, 20.76, 0.43,
 0.40,-0.05,0.83, -7.88, 20.08, 0.82,
