time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,0.32,0.05,1.02,0.64,-11.27,-5.16
3.3333333333333333e-06,0.32,0.03,0.97,-1.31,-13.21,-4.24
6.666666666666667e-06,0.37,0.03,0.98,-0.08,-2.38,2.2
9.999999999999999e-06,0.36,0.05,1.03,-3.45,-2.14,2.03
1.3333333333333333e-05,0.33,0.03,0.97,-4.21,5.21,-1.48
1.6666666666666667e-05,0.31,0.03,0.98,-5.56,2.06,-4.89
2e-05,0.32,0.03,0.98,-6.03,2.31,-5.59
2.3333333333333336e-05,0.34,0.02,0.98,-1.69,-14.82,-12.0
2.666666666666667e-05,0.44,-0.01,0.98,0.31,-10.46,-6.72
3.0000000000000004e-05,0.29,0.03,0.98,-2.29,-8.44,-4.84
3.3333333333333335e-05,0.36,0.05,0.95,-7.15,-5.53,-3.92
3.6666666666666666e-05,0.33,0.03,0.95,-4.03,-4.85,-3.39
3.9999999999999996e-05,0.33,0.03,0.94,-4.15,-6.5,-4.2
4.333333333333333e-05,0.34,0.02,0.92,-1.16,-5.36,-3.62
4.666666666666666e-05,0.35,0.02,0.94,0.2,-3.54,-4.12
4.999999999999999e-05,0.37,0.03,0.97,1.62,-0.43,-1.44
5.333333333333332e-05,0.35,0.03,0.97,0.02,-3.08,-1.01
5.666666666666665e-05,0.37,0.03,0.97,-2.0,-3.83,0.06
5.999999999999998e-05,0.37,0.04,0.97,-1.15,-5.05,1.04
6.333333333333332e-05,0.34,0.02,0.96,0.02,-9.62,-0.76
6.666666666666666e-05,0.32,0.04,0.97,-1.4,-11.65,-1.88
7e-05,0.35,0.04,0.96,-0.43,-8.43,-1.18
7.333333333333333e-05,0.35,0.03,0.96,-0.5,-6.17,-0.63
7.666666666666667e-05,0.38,0.03,0.95,-0.38,0.35,1.1
8e-05,0.37,0.03,0.96,-0.82,4.31,2.73
8.333333333333334e-05,0.36,0.03,0.97,-1.5,3.89,2.27
8.666666666666668e-05,0.36,0.03,0.96,-0.32,7.59,3.65
9.000000000000002e-05,0.36,0.03,0.95,-0.35,4.85,3.94
9.333333333333336e-05,0.34,0.02,0.95,-0.52,1.83,2.92
9.66666666666667e-05,0.33,0.02,0.97,-0.9,-0.81,2.02
0.00010000000000000003,0.34,0.03,0.96,0.76,-0.69,1.31
0.00010333333333333337,0.33,0.03,0.96,-0.6,-3.28,-0.08
0.00010666666666666671,0.35,0.03,0.97,0.31,-0.23,-0.11
0.00011000000000000004,0.36,0.02,0.97,0.03,2.31,-0.24
0.00011333333333333338,0.36,0.03,0.97,-1.15,2.41,-0.24
0.00011666666666666672,0.36,0.03,0.98,-1.36,1.74,0.29
0.00012000000000000006,0.35,0.03,0.97,-1.02,-0.55,1.13
0.0001233333333333334,0.34,0.03,0.98,-0.79,-4.46,0.38
0.00012666666666666672,0.33,0.03,0.97,-0.08,-5.18,-0.23
0.00013000000000000004,0.35,0.03,0.97,0.64,-5.22,-0.03
0.00013333333333333337,0.35,0.03,0.96,-0.82,-2.44,0.64
0.0001366666666666667,0.35,0.03,0.97,-1.31,-2.34,-0.63
0.00014000000000000001,0.33,0.02,0.98,-0.69,-1.8,-0.46
0.00014333333333333334,0.33,0.03,0.97,-1.76,0.67,-0.15
0.00014666666666666666,0.33,0.03,0.97,-1.48,-1.05,-0.95
0.00015,0.31,0.03,0.97,-1.62,-1.94,-2.12
0.0001533333333333333,0.32,0.03,0.96,-1.3,-3.15,-3.01
0.00015666666666666663,0.33,0.02,0.95,-0.79,-3.51,-3.6
0.00015999999999999996,0.35,0.02,0.96,-0.72,-3.91,-3.36
0.00016333333333333328,0.36,0.02,0.96,-0.32,-3.57,-2.43
0.0001666666666666666,0.36,0.02,0.96,-0.08,-3.33,-2.44
