accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.42,-0.07,0.84, -4.63, 6.17, -1.39,
 0.43,-0.07,0.84, -4.37, 6.03, -1.07,
 0.43,-0.09,0.84, -4.00, 5.83, -0.72,
 0.43,-0.08,0.85, -4.21, 6.55, -0.84,
 0.42,-0.08,0.85, -3.01, 5.24, -0.49,
 0.42,-0.07,0.86, -2.89, 5.15, -0.96,
 0.42,-0.08,0.86, -2.44, 4.29, -0.87,
 0.42,-0.08,0.87, -2.79, 3.86, -1.18,
 0.42,-0.07,0.88, -3.16, 2.82, -1.56,
 0.43,-0.08,0.88, -4.02, 2.14, -1.88,
 0.43,-0.08,0.88, -5.08, 1.77, -2.00,
 0.41,-0.07,0.88, -5.34, 2.09, -2.17,
 0.41,-0.08,0.87, -5.60, 2.96, -1.98,
 0.42,-0.08,0.86, -5.24, 4.38, -1.51,
 0.42,-0.07,0.86, -5.50, 5.76, -1.63,
 0.43,-0.09,0.86, -4.87, 6.56, -0.96,
 0.42,-0.08,0.86, -5.62, 7.01, -1.04,
 0.42,-0.09,0.86, -4.96, 7.16, -0.69,
 0.41,-0.08,0.86, -4.92, 7.42, -0.55,
 0.41,-0.07,0.86, -4.95, 7.24, -0.03,
 0.42,-0.07,0.86, -5.05, 6.52, 0.44,
 0.42,-0.07,0.86, -5.91, 6.05, 1.22,
 0.41,-0.07,0.87, -5.85, 4.21, 0.79,
 0.42,-0.07,0.86, -5.22, 3.10, -0.11,
 0.42,-0.06,0.87, -5.73, 3.10, -1.57,
 0.43,-0.08,0.87, -6.03, 4.12, -1.76,
 0.41,-0.06,0.88, -6.99, 3.50, -2.32,
 0.41,-0.07,0.87, -6.12, 1.97, -1.73,
 0.41,-0.07,0.86, -6.24, 1.37, -1.56,
 0.40,-0.08,0.88, -5.50, 0.92, -1.59,
 0.42,-0.08,0.88, -5.24, 0.49, -1.40,
 0.41,-0.07,0.89, -5.63, -0.55, -2.17,
 0.42,-0.07,0.89, -5.50, -0.89, -1.80,
 0.41,-0.08,0.89, -6.69, -1.51, -1.54,
 0.41,-0.07,0.89, -7.65, -1.39, -1.28,
 0.40,-0.07,0.88, -8.20, -1.37, -1.53,
 0.42,-0.06,0.88, -8.21, -0.26, -2.90,
 0.41,-0.07,0.88, -8.00, -0.15, -3.42,
 0.41,-0.07,0.88, -8.35, 0.08, -4.20,
 0.43,-0.08,0.85, -7.98, 0.21, -3.63,
 0.42,-0.08,0.87, -8.67, 0.78, -3.83,
 0.41,-0.08,0.86, -8.73, 0.66, -4.20,
 0.42,-0.09,0.85, -8.44, 0.72, -4.03,
 0.41,-0.08,0.84, -8.27, 1.11, -3.40,
 0.42,-0.09,0.84, -7.92, 0.49, -2.26,
 0.42,-0.10,0.84, -8.00, 0.32, -2.29,
 0.41,-0.10,0.84, -7.77, 0.53, -1.98,
 0.43,-0.10,0.85, -8.37, 2.82, -1.28,
 0.42,-0.10,0.85, -8.98, 2.89, -1.13,
 0.41,-0.10,0.84, -8.00, 1.47, -1.63,
 0.42,-0.09,0.84, -6.99, 2.92, -2.50,
 0.42,-0.10,0.85, -6.32, 4.02, -2.26,
 0.41,-0.11,0.86, -6.61, 3.33, -2.79,
 0.41,-0.10,0.88, -7.05, 1.77, -3.27,
 0.41,-0.10,0.87, -7.13, 0.34, -4.23,
 0.41,-0.12,0.86, -6.37, -0.26, -5.62,
 0.42,-0.11,0.86, -5.91, -0.52, -6.85,
 0.41,-0.11,0.86, -5.91, -0.60, -7.91,
 0.40,-0.11,0.86, -6.32, -1.50, -8.11,
 0.40,-0.10,0.86, -6.38, -1.25, -9.40,
 0.41,-0.09,0.87, -6.69, -0.66, -10.40,
 0.41,-0.09,0.87, -6.43, -2.21, -11.07,
 0.42,-0.09,0.87, -5.98, -2.69, -10.78,
 0.43,-0.08,0.88, -6.06, -2.78, -11.01,
 0.42,-0.08,0.87, -6.21, -3.94, -10.76,
 0.42,-0.07,0.88, -6.60, -3.85, -11.88,
 0.46,-0.08,0.87, -6.31, -3.73, -11.62,
 0.45,-0.08,0.87, -6.52, -3.15, -11.36,
 0.45,-0.09,0.86, -5.91, -3.77, -10.73,
 0.45,-0.07,0.84, -5.24, -2.70, -11.07,
 0.44,-0.10,0.83, -3.57, -2.90, -9.91,
 0.44,-0.10,0.83, -2.78, -1.83, -10.89,
 0.43,-0.10,0.82, -1.59, -0.58, -11.47,
 0.42,-0.08,0.85, -3.51, 2.63, -11.60,
 0.42,-0.09,0.85, -5.85, 2.95, -12.23,
 0.42,-0.11,0.83, -9.59, 3.74, -11.65,
 0.40,-0.10,0.84, -12.69, 4.66, -12.56,
 0.41,-0.09,0.81, -12.21, 3.95, -11.28,
 0.44,-0.10,0.79, -9.30, 3.15, -9.54,
 0.43,-0.10,0.79, -5.15, 0.73, -9.07,
 0.42,-0.10,0.82, -0.92, -0.03, -9.18,
 0.42,-0.09,0.85, 0.92, -1.91, -9.73,
 0.43,-0.05,0.86, -0.53, -1.33, -10.61,
 0.44,-0.09,0.87, -2.20, -4.75, -12.31,
 0.44,-0.07,0.86, -3.59, -7.98, -9.86,
 0.43,-0.06,0.85, -2.90, -12.18, -8.15,
 0.44,-0.07,0.85, 0.14, -12.24, -9.34,
 0.43,-0.08,0.84, 3.37, -12.32, -7.94,
 0.43,-0.06,0.85, 3.33, -10.50, -9.16,
 0.42,-0.07,0.85, 6.72, -11.33, -6.21,
 0.43,-0.06,0.92, 2.99, -19.31, -7.74,
 0.45,-0.04,0.90, 1.19, -15.73, -10.78,
 0.45,-0.04,0.91, -2.89, -13.21, -12.75,
 0.45,-0.02,0.92, -6.17, -10.34, -14.24,
 0.45,-0.06,0.87, -5.30, -11.02, -16.46,
 0.45,-0.03,0.91, -8.03, -10.82, -21.21,
 0.45,-0.03,0.89, -9.21, -8.61, -24.79,
 0.47,-0.03,0.87, -10.47, -8.08, -27.22,
 0.43,-0.06,0.84, -11.73, -10.50, -27.60,
 0.45,-0.03,0.81, -10.40, -10.44, -25.42,
 0.46,-0.05,0.79, -7.74, -8.98, -22.46,
 0.45,-0.05,0.77, -6.27, -7.73, -20.09,
 0.45,-0.06,0.77, -2.64, -8.63, -16.31,
 0.43,-0.07,0.78, -0.50, -10.63, -13.34,
 0.40,-0.05,0.79, -1.30, -10.27, -12.69,
 0.44,-0.04,0.82, -1.15, -10.76, -14.55,
 0.43,-0.04,0.79, -0.98, -10.31, -13.54,
 0.44,-0.03,0.83, -0.76, -8.79, -14.64,
 0.47,-0.01,0.85, -1.51, -4.78, -15.68,
 0.46,-0.01,0.89, -3.77, -3.08, -17.44,
 0.46,-0.07,0.89, -5.57, -3.94, -17.34,
 0.45,-0.02,0.90, -7.21, -2.76, -20.27,
 0.49,-0.04,0.86, -5.01, -2.95, -20.12,
 0.48,-0.07,0.87, -4.96, -5.10, -19.56,
 0.47,-0.05,0.87, -5.22, -4.32, -19.28,
 0.46,-0.02,0.87, -5.94, -3.16, -20.50,
 0.45,-0.05,0.88, -6.05, -4.21, -21.05,
 0.49,-0.04,0.85, -6.18, -4.93, -19.33,
 0.49,-0.04,0.84, -8.40, -5.50, -15.47,
 0.50,-0.03,0.85, -9.36, -4.46, -11.56,
 0.50,-0.04,0.84, -9.77, -4.47, -7.08,
 0.49,-0.03,0.84, -10.32, -3.74, -6.38,
 0.46,-0.04,0.87, -11.05, -3.10, -7.71,
 0.45,-0.05,0.86, -11.44, -3.79, -7.77,
 0.46,-0.06,0.85, -11.53, -5.95, -8.92,
 0.43,-0.04,0.90, -13.68, -3.62, -13.47,
 0.45,-0.08,0.85, -10.43, -4.84, -13.66,
 0.46,-0.03,0.88, -12.03, -0.05, -15.74,
 0.48,-0.08,0.85, -10.32, -0.21, -11.59,
 0.45,-0.02,0.87, -12.02, 2.37, -12.95,
 0.44,-0.09,0.83, -9.89, -1.50, -12.82,
 0.43,-0.06,0.83, -6.61, -5.28, -16.34,
 0.43,-0.05,0.82, -5.59, -7.05, -18.96,
 0.46,-0.02,0.83, -5.98, -5.45, -19.56,
 0.45,-0.02,0.85, -7.95, -1.60, -19.54,
 0.49,-0.03,0.86, -10.93, 0.92, -18.90,
 0.46,-0.04,0.88, -16.53, -0.43, -18.64,
 0.48,-0.01,0.87, -20.93, -2.61, -19.77,
 0.51,-0.02,0.84, -21.37, -3.36, -16.55,
 0.51,-0.01,0.81, -20.63, -1.79, -10.81,
 0.50,-0.04,0.79, -19.85, 0.14, -9.79,
 0.49,-0.04,0.78, -18.84, 1.45, -9.37,
 0.50,-0.03,0.78, -16.93, 5.69, -9.82,
 0.50,-0.04,0.79, -14.76, 9.48, -11.16,
 0.50,-0.04,0.77, -8.85, 9.02, -10.47,
 0.48,-0.04,0.77, -2.78, 7.10, -10.12,
 0.47,-0.05,0.79, 1.56, 6.29, -10.34,
 0.49,-0.04,0.81, 3.71, 7.30, -8.81,
 0.47,-0.01,0.84, 3.63, 6.76, -9.59,
 0.47,-0.02,0.84, 4.09, 5.48, -6.89,
 0.49,-0.01,0.86, 2.82, 6.60, -5.37,
 0.48,0.00,0.89, -0.63, 6.12, -5.01,
 0.47,0.00,0.90, -3.51, 4.20, -5.50,
 0.47,0.00,0.90, -6.26, 4.27, -5.40,
 0.47,0.00,0.88, -9.36, 3.89, -5.31,
 0.49,-0.01,0.88, -11.71, 4.40, -4.38,
 0.49,-0.02,0.85, -12.82, 5.76, -2.96,
 0.49,-0.02,0.84, -14.41, 7.25, -0.85,
 0.49,-0.04,0.81, -13.76, 8.90, 1.40,
 0.47,-0.03,0.81, -14.35, 10.89, 1.50,
 0.47,-0.04,0.81, -12.89, 11.98, 0.96,
 0.46,-0.04,0.82, -11.97, 13.07, 1.15,
 0.46,-0.05,0.81, -11.02, 13.51, 1.01,
 0.46,-0.05,0.82, -9.36, 12.99, 0.95,
 0.47,-0.05,0.82, -8.40, 13.48, -0.08,
 0.46,-0.05,0.82, -6.72, 12.50, -0.56,
 0.45,-0.05,0.84, -5.63, 12.32, -2.12,
 0.46,-0.06,0.81, -3.80, 13.04, -3.15,
 0.46,-0.05,0.84, -2.69, 12.55, -3.97,
 0.46,-0.05,0.84, -3.11, 13.37, -3.51,
 0.46,-0.05,0.85, -4.53, 13.34, -3.50,
 0.46,-0.04,0.85, -5.34, 11.68, -3.34,
 0.46,-0.03,0.86, -5.05, 11.08, -3.21,
 0.47,-0.04,0.86, -4.99, 10.05, -1.92,
 0.46,-0.03,0.86, -6.43, 10.24, -1.04,
 0.46,-0.03,0.89, -8.31, 9.97, -1.25,
 0.46,-0.04,0.87, -8.43, 9.31, -1.08,
 0.46,-0.05,0.86, -8.98, 8.55, -0.98,
 0.47,-0.06,0.85, -8.46, 7.24, 0.29,
 0.46,-0.06,0.85, -8.40, 5.88, 1.11,
 0.46,-0.06,0.85, -8.27, 5.24, 0.69,
 0.46,-0.07,0.84, -6.72, 4.76, 0.56,
 0.46,-0.07,0.83, -4.82, 4.79, 0.14,
 0.44,-0.06,0.84, -3.45, 4.89, -0.92,
 0.46,-0.07,0.85, -1.83, 5.18, -1.44,
 0.45,-0.06,0.87, -2.05, 5.48, -2.32,
 0.45,-0.05,0.87, -2.70, 5.62, -1.98,
 0.45,-0.03,0.87, -4.32, 5.92, -2.05,
 0.45,-0.05,0.86, -5.68, 5.44, -1.42,
 0.46,-0.05,0.86, -7.68, 5.86, -1.30,
 0.45,-0.05,0.86, -8.72, 5.98, -0.41,
 0.46,-0.05,0.86, -10.15, 6.64, -0.21,
 0.45,-0.03,0.84, -12.27, 7.92, -0.08,
 0.46,-0.05,0.87, -13.42, 5.86, 2.24,
 0.42,-0.06,0.86, -8.89, 9.04, -0.06,
 0.45,-0.06,0.83, -11.10, 10.84, 2.58,
 0.44,-0.05,0.84, -11.80, 10.64, 2.27,
 0.44,-0.05,0.83, -9.77, 10.34, 1.91,
 0.43,-0.06,0.82, -7.62, 8.81, 1.28,
 0.42,-0.05,0.86, -8.78, 5.34, -0.08,
 0.44,-0.07,0.83, -5.07, 6.76, -0.99,
 0.43,-0.06,0.85, -5.51, 6.11, -1.50,
 0.43,-0.05,0.84, -4.20, 5.44, -2.60,
 0.43,-0.05,0.85, -2.29, 4.72, -2.69,
 0.44,-0.06,0.86, -1.02, 3.54, -2.87,
 0.45,-0.06,0.86, -0.70, 2.76, -2.18,
 0.45,-0.04,0.87, -1.31, 1.51, -1.82,
 0.45,-0.06,0.86, -0.90, 0.41, 0.40,
 0.44,-0.04,0.87, -2.92, -0.98, 0.03,
 0.45,-0.05,0.88, -4.44, 0.26, -0.05,
 0.44,-0.03,0.90, -9.39, 1.98, 0.15,
 0.43,-0.04,0.88, -10.31, 1.79, -0.21,
 0.44,-0.05,0.86, -11.76, 3.27, -1.54,
 0.43,-0.06,0.86, -11.30, 4.63, -2.90,
 0.43,-0.04,0.82, -10.90, 7.76, -3.63,
 0.43,-0.05,0.84, -9.62, 8.14, -6.08,
 0.43,-0.05,0.83, -8.96, 10.12, -5.89,
 0.43,-0.05,0.82, -9.31, 11.86, -5.04,
 0.44,-0.06,0.82, -8.55, 13.60, -5.92,
 0.42,-0.06,0.81, -6.89, 14.00, -5.88,
 0.42,-0.06,0.82, -5.83, 14.47, -5.50,
 0.42,-0.06,0.81, -5.89, 14.60, -5.82,
 0.42,-0.06,0.83, -5.44, 15.31, -5.45,
 0.43,-0.04,0.85, -5.37, 15.45, -4.58,
 0.43,-0.04,0.86, -5.54, 13.86, -4.24,
 0.43,-0.04,0.87, -6.76, 12.00, -4.12,
 0.43,-0.04,0.88, -7.11, 10.87, -3.65,
 0.43,-0.05,0.88, -7.08, 10.24, -3.94,
 0.43,-0.05,0.87, -7.04, 9.94, -3.59,
 0.42,-0.05,0.87, -7.28, 9.88, -2.90,
 0.43,-0.05,0.87, -8.09, 11.13, -3.89,
 0.43,-0.05,0.87, -8.50, 11.01, -3.08,
 0.43,-0.06,0.85, -8.05, 11.33, -2.79,
 0.41,-0.07,0.86, -8.14, 9.47, -2.17,
 0.42,-0.07,0.82, -4.79, 12.11, -1.73,
 0.42,-0.05,0.85, -6.18, 12.73, -2.64,
 0.40,-0.06,0.85, -5.63, 12.20, -2.61,
 0.41,-0.06,0.85, -4.32, 12.75, -2.61,
 0.41,-0.06,0.86, -3.24, 11.21, -2.69,
 0.40,-0.04,0.87, -4.81, 10.72, -3.54,
 0.41,-0.04,0.89, -4.95, 9.42, -3.25,
 0.41,-0.03,0.90, -6.27, 8.85, -3.71,
 0.41,-0.04,0.90, -7.50, 7.39, -4.64,
 0.42,-0.04,0.90, -7.21, 5.28, -4.52,
 0.41,-0.05,0.90, -7.27, 3.74, -4.79,
 0.41,-0.06,0.89, -6.08, 1.79, -3.85,
 0.42,-0.03,0.90, -6.84, 1.69, -5.36,
 0.43,-0.05,0.90, -5.10, 1.36, -4.49,
 0.42,-0.03,0.88, -5.91, 1.51, -4.70,
 0.43,-0.05,0.88, -4.76, 1.25, -3.27,
 0.42,-0.05,0.88, -6.55, 2.89, -3.63,
 0.42,-0.05,0.87, -7.24, 4.76, -4.21,
 0.41,-0.07,0.85, -7.56, 6.23, -3.80,
 0.42,-0.05,0.85, -8.26, 8.76, -4.05,
 0.42,-0.07,0.84, -8.40, 11.40, -3.60,
 0.42,-0.06,0.82, -8.78, 14.55, -3.57,
 0.41,-0.05,0.84, -9.01, 17.28, -2.55,
 0.40,-0.06,0.83, -9.40, 18.50, -0.81,
 0.40,-0.04,0.85, -10.64, 20.18, -0.06,
 0.38,-0.04,0.85, -9.27, 18.21, -0.98,
 0.39,-0.03,0.87, -8.84, 17.04, -2.41,
 0.39,-0.05,0.86, -7.10, 15.34, -0.93,
 0.38,-0.03,0.90, -7.83, 13.40, -1.98,
 0.40,-0.06,0.89, -6.44, 10.67, -1.25,
 0.39,-0.07,0.90, -6.11, 7.63, -1.19,
