time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,0.08,0.14,0.96,12.38,-3.42,15.18
3.3333333333333333e-06,0.07,0.14,0.97,12.78,-8.89,13.54
6.666666666666667e-06,0.04,0.15,0.99,12.72,-13.97,10.79
9.999999999999999e-06,0.05,0.14,1.01,12.37,-13.27,8.21
1.3333333333333333e-05,0.06,0.16,1.02,12.9,-6.84,4.47
1.6666666666666667e-05,0.04,0.21,1.04,3.34,-11.21,-2.31
2e-05,0.11,0.22,1.0,0.73,-12.84,-9.36
2.3333333333333336e-05,0.04,0.17,1.01,2.95,-7.34,-5.79
2.666666666666667e-05,0.03,0.22,1.09,11.65,0.44,1.47
3.0000000000000004e-05,0.14,0.22,0.97,6.31,-9.18,-3.01
3.3333333333333335e-05,0.19,0.23,0.97,4.76,11.01,9.56
3.6666666666666666e-05,0.17,0.26,0.99,5.57,5.31,3.22
3.9999999999999996e-05,0.07,0.24,0.99,6.32,1.36,1.57
4.333333333333333e-05,0.1,0.24,1.0,6.75,-0.4,-1.05
4.666666666666666e-05,0.11,0.23,1.01,7.54,-2.63,-3.21
4.999999999999999e-05,0.13,0.23,1.01,8.46,0.43,-2.7
5.333333333333332e-05,0.13,0.23,1.03,7.82,-1.68,-2.93
5.666666666666665e-05,0.11,0.22,1.07,2.9,-4.29,-5.36
5.999999999999998e-05,0.12,0.26,1.02,2.34,-4.79,-0.61
6.333333333333332e-05,0.17,0.24,1.04,4.02,2.21,3.48
6.666666666666666e-05,0.21,0.27,1.09,-2.92,-6.98,-1.36
7e-05,0.16,0.21,1.02,1.15,-2.63,3.73
7.333333333333333e-05,0.13,0.23,1.02,-0.5,-3.27,2.37
7.666666666666667e-05,0.15,0.21,1.0,-0.95,-1.76,4.24
8e-05,0.16,0.21,0.99,-0.23,-1.62,5.11
8.333333333333334e-05,0.16,0.2,1.0,-1.27,-1.86,6.98
8.666666666666668e-05,0.17,0.2,0.99,-1.31,-1.02,8.15
9.000000000000002e-05,0.12,0.2,0.97,-0.11,-4.67,6.76
9.333333333333336e-05,0.13,0.19,0.99,0.66,-3.15,5.4
9.66666666666667e-05,0.14,0.18,0.98,1.54,3.76,4.14
0.00010000000000000003,0.17,0.18,0.98,1.48,9.01,4.69
0.00010333333333333337,0.17,0.17,0.97,1.37,11.69,6.24
0.00010666666666666671,0.2,0.19,0.98,0.61,14.06,9.85
0.00011000000000000004,0.2,0.2,0.98,1.31,11.18,14.47
0.00011333333333333338,0.17,0.21,0.98,3.08,6.4,17.76
0.00011666666666666672,0.16,0.22,0.97,5.22,1.1,20.9
0.00012000000000000006,0.13,0.21,0.99,7.69,-1.1,22.64
0.0001233333333333334,0.1,0.2,1.01,7.19,-4.46,21.56
0.00012666666666666672,0.06,0.21,1.02,5.4,-7.56,18.52
0.00013000000000000004,0.06,0.22,1.02,4.31,-2.67,16.63
0.00013333333333333337,0.04,0.21,1.04,2.92,0.52,12.84
0.0001366666666666667,0.05,0.23,1.04,1.8,3.6,10.46
0.00014000000000000001,0.09,0.23,1.03,2.67,9.77,11.33
0.00014333333333333334,0.07,0.24,1.03,-1.07,2.79,7.76
0.00014666666666666666,0.08,0.23,1.02,-3.39,0.98,7.51
0.00015,0.07,0.22,1.02,-3.45,-2.52,6.15
0.0001533333333333333,0.07,0.22,1.0,-4.23,-6.55,4.76
0.00015666666666666663,0.09,0.22,0.98,-4.6,-4.35,4.93
0.00015999999999999996,0.11,0.21,0.99,-4.27,-1.33,5.86
0.00016333333333333328,0.1,0.22,0.99,-2.53,-3.74,5.31
0.0001666666666666666,0.09,0.2,0.98,-0.72,-8.67,3.71
0.00016999999999999993,0.12,0.2,0.97,0.26,-9.65,3.73
0.00017333333333333325,0.09,0.19,0.97,1.83,-14.47,0.32
0.00017666666666666658,0.05,0.19,0.95,3.3,-14.46,-4.32
0.0001799999999999999,0.07,0.19,0.98,3.91,-14.7,-9.95
0.00018333333333333323,0.12,0.19,0.98,3.18,-5.8,-10.6
0.00018666666666666655,0.09,0.19,1.06,4.6,-1.28,-9.08
0.00018999999999999987,0.14,0.23,0.92,2.63,2.06,-9.31
0.0001933333333333332,0.18,0.19,0.97,2.37,5.73,-8.75
0.00019666666666666652,0.18,0.21,1.04,-1.22,0.4,-5.6
0.00019999999999999985,0.18,0.21,1.02,-0.21,0.37,-1.95
0.00020333333333333317,0.19,0.22,1.0,-0.89,-2.29,0.81
0.0002066666666666665,0.17,0.21,1.01,-0.76,-5.3,3.28
0.00020999999999999982,0.16,0.21,1.01,-1.79,-6.99,5.24
0.00021333333333333314,0.16,0.21,1.01,-2.17,-9.6,5.42
0.00021666666666666647,0.16,0.21,1.01,-2.14,-7.89,6.89
0.0002199999999999998,0.17,0.21,1.01,-2.14,-3.48,7.71
0.00022333333333333311,0.15,0.2,1.0,-1.04,-3.39,7.36
0.00022666666666666644,0.14,0.21,1.0,-1.42,-3.89,6.23
0.00022999999999999976,0.14,0.2,0.98,0.06,-1.83,5.85
0.0002333333333333331,0.15,0.2,0.99,0.66,1.73,5.4
0.0002366666666666664,0.12,0.2,0.98,1.57,-1.22,3.66
0.00023999999999999974,0.13,0.21,0.99,1.85,-5.04,2.72
0.00024333333333333306,0.16,0.21,0.99,0.63,0.7,4.15
0.0002466666666666664,0.13,0.2,1.0,1.59,0.63,3.28
0.00024999999999999973,0.13,0.22,1.0,1.51,-2.63,2.72
0.00025333333333333306,0.14,0.21,0.98,0.99,-1.39,2.6
0.0002566666666666664,0.14,0.22,0.99,-0.11,4.02,3.36
0.0002599999999999997,0.13,0.22,0.99,0.23,3.56,1.71
0.00026333333333333303,0.13,0.21,0.99,0.72,-1.45,0.79
0.00026666666666666635,0.14,0.21,1.0,1.71,-2.84,1.34
0.0002699999999999997,0.15,0.2,0.99,1.39,-4.29,1.07
0.000273333333333333,0.15,0.2,0.99,1.05,-7.44,0.46
0.0002766666666666663,0.13,0.2,0.98,1.76,-12.66,-0.96
0.00027999999999999965,0.13,0.18,1.0,0.47,-12.58,-3.13
0.000283333333333333,0.12,0.18,0.99,4.93,-15.18,-3.24
0.0002866666666666663,0.14,0.21,0.92,2.98,-6.81,-2.24
0.0002899999999999996,0.17,0.22,0.99,-0.73,-1.98,-0.63
0.00029333333333333295,0.15,0.2,0.99,1.05,5.89,1.74
0.00029666666666666627,0.12,0.2,1.0,2.0,4.61,-0.34
0.0002999999999999996,0.14,0.21,1.02,2.34,2.6,-1.76
0.0003033333333333329,0.15,0.2,1.02,0.63,1.83,-1.39
