accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.07,0.39,0.83, -4.63, 1.69, -1.45,
 -0.06,0.34,0.89, -8.61, -0.18, -0.31,
 -0.05,0.29,0.92, -8.78, -0.14, -0.46,
 -0.05,0.32,0.87, -1.47, 1.37, -0.31,
 -0.07,0.37,0.92, -10.76, -1.33, -0.43,
 -0.04,0.32,0.89, -6.95, 1.24, -0.79,
 -0.06,0.38,0.86, -10.08, 1.31, -0.76,
 -0.04,0.31,0.89, -8.18, 1.86, -0.85,
 -0.07,0.39,0.86, -2.15, 3.02, -3.42,
 -0.03,0.29,0.90, -8.56, 1.73, -0.79,
 -0.06,0.27,0.89, 9.94, 1.37, 0.43,
 -0.04,0.29,0.92, -9.51, -0.17, 0.66,
 -0.06,0.32,0.88, -4.15, 2.12, -0.18,
 -0.07,0.38,0.90, -10.96, -0.70, -0.18,
 -0.05,0.33,0.89, -7.56, 1.97, -0.85,
 -0.07,0.36,0.85, -3.51, 2.09, -2.66,
 -0.04,0.29,0.89, -8.37, 1.95, -1.30,
 -0.06,0.29,0.88, 10.47, -0.06, 0.67,
 -0.04,0.30,0.91, -8.79, 0.15, 0.23,
 -0.04,0.32,0.89, -5.56, 1.47, -0.40,
 -0.08,0.40,0.93, -10.26, -1.54, -1.60,
 -0.05,0.31,0.89, -7.88, 1.57, -1.16,
 -0.06,0.27,0.88, 13.25, 0.50, 0.61,
 -0.03,0.30,0.90, -8.21, 0.79, 0.20,
 -0.05,0.32,0.89, -6.63, 1.27, -0.50,
 -0.07,0.41,0.86, -9.18, 1.16, -1.65,
 -0.04,0.32,0.88, -7.28, 2.27, -1.36,
 -0.05,0.28,0.88, 6.23, 3.37, -1.88,
 -0.04,0.29,0.90, -8.63, 1.66, -0.82,
 -0.05,0.33,0.87, -6.70, 2.70, -1.24,
 -0.08,0.40,0.90, -9.76, 1.01, -2.38,
 -0.04,0.31,0.88, -8.26, 2.32, -1.25,
 -0.06,0.32,0.88, -3.85, 2.55, -0.56,
 -0.06,0.37,0.89, -10.60, -0.99, 0.47,
 -0.05,0.33,0.87, -7.25, 2.17, -0.60,
 -0.06,0.32,0.90, 4.34, 0.31, 0.40,
 -0.05,0.35,0.89, -9.21, -1.02, 1.13,
 -0.05,0.33,0.88, -7.62, 1.34, -0.12,
 -0.06,0.27,0.90, 6.85, 2.12, -1.11,
 -0.02,0.29,0.91, -8.43, 1.57, -0.44,
 -0.05,0.34,0.87, -7.39, 1.53, -1.04,
 -0.08,0.41,0.87, -8.75, -1.07, -1.97,
 -0.05,0.31,0.89, -2.23, 1.04, -1.04,
 -0.06,0.34,0.88, -6.37, 1.08, -0.99,
 -0.04,0.30,0.88, -2.90, 1.39, -0.96,
 -0.05,0.32,0.90, -6.20, 0.76, -0.32,
 -0.06,0.34,0.85, -4.49, 1.85, -1.82,
 -0.04,0.32,0.90, -5.59, 0.99, -1.05,
 -0.04,0.34,0.88, -4.99, 1.88, -0.70,
 -0.06,0.33,0.91, -5.91, 0.43, -1.22,
 -0.05,0.31,0.89, -2.52, 0.95, -0.05,
 -0.06,0.34,0.88, -6.00, 0.55, -0.37,
 -0.04,0.32,0.88, -5.50, 1.34, -0.09,
 -0.06,0.33,0.88, -3.56, 0.81, -0.37,
 -0.04,0.32,0.86, -4.27, 1.63, -0.46,
 -0.04,0.32,0.86, -2.17, 2.00, -0.37,
 -0.04,0.33,0.90, -4.72, 0.81, -0.05,
 -0.03,0.33,0.88, -7.44, 1.33, -0.20,
 -0.06,0.36,0.91, -6.64, -1.76, 1.42,
 -0.04,0.33,0.90, -4.96, -0.08, 0.41,
 -0.05,0.33,0.88, -5.21, 1.68, -0.53,
 -0.05,0.32,0.87, -4.14, 1.62, -0.70,
 -0.04,0.31,0.90, -3.85, 0.64, -0.09,
 -0.06,0.34,0.86, -6.56, 1.44, -0.40,
 -0.05,0.32,0.86, -3.31, 1.73, -1.59,
 -0.05,0.33,0.90, -4.89, 0.92, -0.52,
 -0.06,0.33,0.87, -5.16, 0.46, -0.75,
 -0.05,0.34,0.85, -4.79, 2.29, -1.45,
 -0.04,0.33,0.87, -2.72, 2.81, 0.35,
 -0.06,0.34,0.91, -5.02, 1.30, 0.09,
 -0.05,0.35,0.94, -6.11, -0.08, 1.01,
 -0.04,0.34,0.86, -4.49, 2.87, 0.67,
 -0.06,0.34,0.93, -6.17, 1.02, 0.92,
 -0.05,0.35,0.84, -4.61, 4.05, 0.09,
 -0.06,0.37,0.86, -7.86, 2.15, 0.75,
 -0.06,0.37,0.89, -8.63, 3.27, 0.53,
 -0.05,0.34,0.82, -4.72, 5.07, -0.21,
 -0.06,0.35,0.92, -5.08, 3.30, 1.11,
 -0.05,0.34,0.88, -6.00, 4.03, 0.85,
 -0.06,0.37,0.93, -6.21, 4.52, 0.18,
 -0.05,0.35,0.87, -5.71, 5.25, 0.02,
 -0.05,0.32,0.80, -3.51, 5.68, 0.50,
 -0.06,0.34,0.84, -4.92, 5.02, 0.46,
 -0.09,0.35,0.85, -3.97, 3.66, -0.15,
 -0.04,0.35,0.88, -4.49, 4.23, -0.34,
 -0.05,0.37,0.88, -5.88, 3.62, 0.75,
 -0.07,0.34,0.87, -5.11, 3.77, 0.66,
 -0.05,0.35,0.86, -5.54, 4.15, 1.71,
 -0.05,0.35,0.89, -6.96, 5.19, 1.30,
 -0.06,0.36,0.93, -8.41, 4.46, 1.31,
 -0.07,0.35,0.85, -2.78, 2.55, 4.63,
 -0.07,0.34,0.88, -7.27, 3.77, 0.96,
 -0.05,0.34,0.83, -2.40, 5.71, 1.13,
 -0.05,0.32,0.85, -6.02, 4.76, 1.68,
 -0.08,0.37,0.92, -3.91, 3.80, -0.23,
 -0.04,0.35,0.92, -6.72, 4.43, 0.43,
 -0.02,0.31,0.89, -4.00, 6.31, 1.83,
 -0.04,0.30,0.90, -6.06, 3.86, 1.48,
 -0.08,0.35,0.91, -8.90, 2.41, -0.79,
 -0.07,0.34,0.86, -6.35, 6.53, -1.83,
 -0.04,0.29,0.85, -5.02, 3.74, -0.93,
 -0.08,0.29,0.86, -7.48, 1.34, -3.91,
 -0.08,0.28,0.80, -6.18, 1.48, -1.92,
 -0.05,0.30,0.83, -4.38, 3.08, -0.24,
 -0.07,0.32,0.92, -6.75, 2.58, 0.35,
 -0.04,0.30,0.92, -7.40, 2.87, 0.02,
 -0.06,0.30,0.87, -2.70, 2.23, -0.02,
 -0.02,0.29,0.88, -4.64, 6.21, 1.13,
 -0.04,0.31,0.87, -4.63, 2.44, 0.23,
 -0.07,0.31,0.89, -3.18, 2.17, -0.41,
 -0.04,0.31,0.88, -5.45, 3.79, -0.58,
 -0.04,0.29,0.93, -3.86, 0.75, -0.60,
 -0.02,0.31,0.91, -4.46, 3.40, 0.56,
 -0.03,0.31,0.88, -6.00, 2.26, 1.27,
 -0.08,0.32,0.91, -5.51, 1.44, -1.86,
 -0.07,0.37,0.88, -7.47, 1.83, -0.18,
 -0.01,0.32,0.89, -5.47, 4.49, 0.23,
 -0.07,0.31,0.87, -1.47, 2.38, 0.20,
 -0.01,0.31,0.88, -5.98, 4.60, 1.59,
 -0.10,0.32,0.90, -6.56, -3.25, 0.90,
 -0.06,0.31,0.82, -4.03, -0.61, 0.09,
 -0.02,0.32,0.89, -2.17, 5.31, 1.83,
 -0.06,0.29,0.91, -2.23, 2.84, 0.55,
 -0.05,0.31,0.88, -3.98, 1.71, 0.85,
 -0.07,0.31,0.91, -5.10, -0.95, 0.17,
 -0.06,0.32,0.86, -2.58, 0.34, -0.21,
 -0.03,0.34,0.94, -5.18, -0.95, 0.93,
 -0.06,0.35,0.89, -2.58, 0.21, 0.05,
 -0.05,0.31,0.87, -3.27, 0.26, 1.22,
 -0.06,0.32,0.85, -3.51, 0.08, 0.87,
 -0.09,0.32,0.84, -4.61, -2.52, -2.08,
 -0.07,0.34,0.88, -6.20, 0.09, -0.64,
 -0.04,0.31,0.81, -2.41, 2.17, -1.24,
 -0.04,0.31,0.88, -5.48, 2.08, 0.20,
 -0.06,0.33,0.92, -3.37, 0.34, -0.43,
 -0.03,0.33,0.90, -5.42, 3.89, -0.26,
 -0.05,0.27,0.90, -4.47, 3.40, -1.37,
 -0.06,0.30,0.84, -5.47, 1.33, -1.71,
 -0.05,0.30,0.86, -5.11, 2.24, -1.07,
 -0.06,0.33,0.94, -5.97, 3.11, -0.95,
 -0.03,0.29,0.89, -5.11, 4.70, 2.52,
 -0.07,0.30,0.87, -4.46, 4.05, 0.44,
 -0.04,0.30,0.90, -3.89, 3.63, -1.13,
 -0.07,0.29,0.83, -3.76, 1.05, -1.47,
 -0.02,0.31,0.91, -6.96, 1.40, 1.08,
 -0.06,0.34,0.85, -3.50, 3.47, -0.23,
 -0.05,0.30,0.86, -6.60, 2.18, 0.02,
 -0.09,0.31,0.85, -6.35, -0.43, -1.71,
 -0.04,0.34,0.89, -5.42, 1.59, -0.95,
 -0.05,0.32,0.85, -4.84, 3.56, -0.90,
 -0.07,0.30,0.85, -5.60, 1.37, -0.93,
 -0.04,0.34,0.90, -6.24, 3.21, 0.63,
 -0.05,0.32,0.86, -2.76, 3.19, 2.32,
 -0.03,0.34,0.94, -6.15, 1.92, 3.08,
 -0.05,0.29,0.89, -4.58, 2.93, 0.78,
