accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.09,0.39,0.86, -0.60, -3.04, -2.11,
 -0.07,0.41,0.85, -6.11, 1.21, -2.02,
 -0.07,0.41,0.83, -8.06, 3.85, -1.08,
 -0.10,0.38,0.86, -8.24, 3.22, -1.51,
 -0.10,0.38,0.86, -7.48, 2.78, -1.47,
 -0.13,0.33,0.89, 6.12, -6.02, -1.39,
 -0.09,0.40,0.83, -8.18, 4.17, -0.64,
 -0.11,0.37,0.86, -7.56, 3.27, -1.42,
 -0.11,0.38,0.86, -1.68, -1.65, -2.23,
 -0.09,0.38,0.87, -4.58, 1.83, -1.11,
 -0.10,0.37,0.86, -6.66, 2.69, -1.53,
 -0.12,0.35,0.88, 0.58, -2.29, -1.11,
 -0.09,0.38,0.85, -4.89, 1.94, -0.99,
 -0.11,0.37,0.85, -6.11, 3.10, -1.16,
 -0.12,0.35,0.87, 1.21, -2.40, -1.02,
 -0.09,0.38,0.85, -6.43, 3.18, -0.56,
 -0.10,0.37,0.85, -6.12, 2.21, -0.76,
 -0.10,0.39,0.86, -6.00, 2.32, -0.87,
 -0.10,0.38,0.86, -5.65, 2.40, -0.43,
 -0.09,0.38,0.86, -3.33, 1.40, -0.43,
 -0.06,0.42,0.85, -2.34, 0.26, -2.56,
 -0.09,0.40,0.84, -7.51, 4.44, -0.79,
 -0.08,0.38,0.86, -7.47, 3.47, -1.15,
 -0.09,0.38,0.86, -1.57, 1.91, -0.75,
 -0.06,0.41,0.85, -5.76, 4.66, -2.37,
 -0.11,0.37,0.87, 1.22, 1.22, -1.65,
 -0.09,0.41,0.86, -8.31, 4.89, -2.23,
 -0.13,0.36,0.87, -3.27, -2.82, -1.37,
 -0.10,0.38,0.86, -6.14, 0.76, -1.73,
 -0.14,0.40,0.87, -8.46, -3.80, -1.10,
 -0.10,0.38,0.86, -5.71, 4.15, -2.41,
 -0.10,0.39,0.84, -4.08, 3.83, -4.03,
 -0.13,0.38,0.86, -0.53, 0.52, -2.56,
