accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.14,0.35,0.85, -5.44, 2.15, -3.30,
 -0.13,0.37,0.87, -7.88, 2.52, -4.20,
 -0.14,0.37,0.87, -7.56, 2.72, -4.29,
 -0.13,0.37,0.87, -5.82, 0.37, -4.58,
 -0.13,0.36,0.86, -4.56, 1.08, -3.53,
 -0.12,0.36,0.87, -4.73, 3.33, -2.64,
 -0.11,0.37,0.88, -6.67, 2.70, -2.61,
 -0.12,0.36,0.86, -4.58, 1.88, -2.31,
 -0.12,0.36,0.87, -5.86, -0.85, -4.35,
 -0.10,0.37,0.85, -7.54, 3.59, -1.59,
 -0.12,0.36,0.87, -5.39, 1.44, -1.74,
 -0.13,0.35,0.86, -5.08, 1.77, -1.15,
 -0.12,0.37,0.86, -5.62, 3.36, -2.24,
 -0.14,0.36,0.86, -4.15, 1.73, -1.89,
 -0.14,0.34,0.85, -6.27, 3.08, -1.15,
 -0.16,0.33,0.85, -2.75, -0.76, -0.27,
 -0.14,0.36,0.85, -3.79, 0.84, -1.31,
 -0.14,0.35,0.87, -4.06, -2.67, 0.38,
 -0.12,0.35,0.83, -3.10, 0.56, -0.46,
 -0.11,0.36,0.88, -3.88, 1.10, 0.70,
 -0.11,0.36,0.88, -1.85, -2.60, 0.21,
 -0.09,0.38,0.82, -9.13, 5.22, -1.53,
 -0.09,0.37,0.90, -1.04, 5.50, 1.53,
 -0.12,0.38,0.87, -1.16, 0.05, 1.79,
 -0.10,0.38,0.87, -2.93, 2.21, 1.57,
 -0.12,0.38,0.86, -3.98, 2.18, 1.59,
 -0.12,0.38,0.86, -4.69, 2.21, 1.57,
 -0.13,0.38,0.85, -4.89, 2.17, 1.62,
 -0.16,0.39,0.89, -5.24, 0.20, 1.86,
 -0.16,0.39,0.88, -6.17, -2.26, 1.65,
 -0.12,0.39,0.87, -5.62, -2.08, 1.68,
 -0.12,0.39,0.86, -6.47, -1.50, 1.30,
 -0.11,0.38,0.85, -6.70, -1.24, 1.54,
 -0.16,0.29,0.92, 12.12, -13.25, 3.57,
 -0.09,0.39,0.82, -0.52, -5.45, 1.27,
 -0.11,0.37,0.86, -0.26, -7.13, 0.38,
 -0.10,0.37,0.89, 3.57, -8.38, 1.56,
 -0.11,0.40,0.86, -0.29, -6.05, 4.38,
 -0.18,0.40,0.93, 6.08, -13.34, 6.23,
 -0.19,0.42,0.93, 8.93, -20.87, 7.62,
 -0.21,0.46,0.94, 18.67, -26.82, 7.91,
 -0.14,0.41,0.90, 28.29, -12.66, 16.72,
 -0.13,0.49,0.92, 28.92, -2.52, 15.77,
