time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.12,0.19,1.01,-2.6,-3.73,3.28
3.3333333333333333e-06,0.12,0.19,1.01,-2.23,-4.31,3.24
6.666666666666667e-06,0.13,0.19,0.98,-1.79,-1.95,1.54
9.999999999999999e-06,0.13,0.19,1.0,-3.08,1.98,0.02
1.3333333333333333e-05,0.12,0.2,1.02,-4.4,2.73,-0.53
1.6666666666666667e-05,0.14,0.19,0.99,-4.47,7.57,-0.98
2e-05,0.14,0.2,1.02,-6.32,7.6,0.89
2.3333333333333336e-05,0.14,0.18,0.98,-8.61,8.75,0.53
2.666666666666667e-05,0.12,0.2,1.0,-10.99,9.25,-0.89
3.0000000000000004e-05,0.1,0.19,1.0,-12.24,8.08,-0.66
3.3333333333333335e-05,0.11,0.18,0.96,-12.24,10.29,-2.47
3.6666666666666666e-05,0.08,0.19,1.0,-14.55,8.09,-3.13
3.9999999999999996e-05,0.08,0.18,0.98,-12.73,-1.98,-1.36
4.333333333333333e-05,0.06,0.19,1.05,-17.05,-10.64,0.4
4.666666666666666e-05,0.11,0.18,1.02,-20.17,-9.44,-0.56
4.999999999999999e-05,0.09,0.21,1.01,-18.85,-12.05,-1.82
5.333333333333332e-05,0.18,0.14,0.93,-15.83,-6.63,0.49
5.666666666666665e-05,0.19,0.12,0.89,-8.26,0.14,1.57
5.999999999999998e-05,0.13,0.13,0.95,-4.78,-0.37,2.09
6.333333333333332e-05,0.11,0.15,1.02,-6.06,-1.8,2.37
6.666666666666666e-05,0.11,0.17,1.03,-7.59,-2.32,1.69
7e-05,0.11,0.17,1.06,-9.4,-2.63,1.01
7.333333333333333e-05,0.13,0.16,1.04,-10.93,-1.19,0.99
7.666666666666667e-05,0.16,0.14,1.01,-8.85,1.24,1.63
8e-05,0.12,0.14,1.01,-7.42,2.21,1.08
8.333333333333334e-05,0.14,0.13,1.01,-7.01,6.4,0.44
8.666666666666668e-05,0.1,0.21,1.06,-6.15,2.98,1.33
9.000000000000002e-05,0.1,0.15,1.02,-6.66,0.64,1.22
9.333333333333336e-05,0.08,0.16,1.07,-10.67,-3.62,0.46
9.66666666666667e-05,0.12,0.14,1.0,-10.78,-3.45,-0.02
0.00010000000000000003,0.18,0.13,0.98,-9.51,0.4,-1.01
0.00010333333333333337,0.16,0.1,0.95,-5.08,6.38,-0.09
0.00010666666666666671,0.12,0.13,1.01,-4.12,8.26,0.0
0.00011000000000000004,0.11,0.14,1.04,-6.31,12.21,-0.52
0.00011333333333333338,0.06,0.13,1.02,-6.17,1.5,0.76
0.00011666666666666672,0.1,0.12,1.01,-6.2,-0.29,1.19
0.00012000000000000006,0.12,0.13,1.02,-6.73,-0.64,2.0
0.0001233333333333334,0.09,0.12,1.0,-6.53,-2.24,1.44
0.00012666666666666672,0.1,0.13,1.02,-8.82,-2.2,-0.41
0.00013000000000000004,0.09,0.12,1.01,-7.82,-4.44,-0.32
0.00013333333333333337,0.12,0.11,0.97,-4.11,-3.37,-0.12
0.0001366666666666667,0.12,0.12,1.0,-5.6,-2.78,-0.87
0.00014000000000000001,0.12,0.11,0.99,-4.34,0.2,-1.53
0.00014333333333333334,0.13,0.1,0.96,-1.42,-0.03,-0.66
0.00014666666666666666,0.12,0.14,1.04,-4.23,-2.5,1.31
