time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00027999999999999965,0.05,-0.25,0.95,0.31,-1.63,-7.11
0.000283333333333333,0.04,-0.24,0.98,-0.56,-0.93,-3.45
0.0002866666666666663,0.03,-0.22,0.99,-6.2,-2.92,-4.84
0.0002899999999999996,0.04,-0.23,0.98,-10.24,-5.62,-6.05
0.00029333333333333295,0.01,-0.29,0.97,-14.43,-11.19,-3.19
0.00029666666666666627,0.14,-0.4,0.82,-16.52,-13.08,-1.88
0.0002999999999999996,0.11,-0.26,0.92,-14.27,-6.17,1.28
0.0003033333333333329,0.07,-0.23,0.95,-15.07,-3.79,2.17
0.00030666666666666624,0.02,-0.23,1.01,-18.27,0.87,-2.72
0.00030999999999999957,0.04,-0.24,0.95,-17.95,3.63,-5.94
0.0003133333333333329,0.07,-0.26,0.94,-13.5,8.05,-6.49
0.0003166666666666662,0.08,-0.27,0.93,-5.95,7.86,-4.11
0.00031999999999999954,0.1,-0.28,0.92,2.64,8.34,0.56
0.00032333333333333286,0.06,-0.27,0.98,4.98,5.13,2.58
0.0003266666666666662,0.02,-0.27,0.97,7.48,2.67,0.24
0.0003299999999999995,0.05,-0.28,0.98,7.42,7.24,-0.61
0.00033333333333333283,0.04,-0.28,1.0,7.36,8.93,0.05
0.00033666666666666616,0.05,-0.28,0.94,11.11,11.71,0.37
0.0003399999999999995,0.05,-0.29,0.95,16.35,10.98,2.52
0.0003433333333333328,0.04,-0.28,1.01,15.74,8.43,3.6
0.00034666666666666613,-0.01,-0.26,1.07,11.28,3.86,2.53
0.00034999999999999945,-0.0,-0.25,1.06,8.82,6.93,0.14
0.0003533333333333328,0.0,-0.26,1.03,8.64,6.08,-0.23
0.0003566666666666661,0.01,-0.27,1.03,7.82,4.52,0.03
0.0003599999999999994,-0.02,-0.25,1.07,5.25,1.24,-0.95
0.00036333333333333275,-0.0,-0.25,1.05,2.96,1.92,-1.51
0.0003666666666666661,0.02,-0.25,1.04,2.69,3.39,-1.94
0.0003699999999999994,-0.03,-0.25,1.04,2.55,-1.53,-2.23
0.0003733333333333327,-0.02,-0.25,1.0,3.33,-4.5,-2.72
0.00037666666666666605,0.04,-0.24,0.98,4.61,0.2,-1.57
0.00037999999999999937,0.02,-0.25,0.96,2.84,14.46,15.1
0.0003833333333333327,-0.0,-0.25,0.99,6.58,8.47,5.48
0.000386666666666666,0.02,-0.24,1.0,4.95,5.85,-2.06
0.00038999999999999934,-0.0,-0.26,0.97,5.54,2.2,-2.17
0.00039333333333333267,0.01,-0.25,0.93,6.5,-0.9,-1.5
0.000396666666666666,0.01,-0.24,0.98,2.69,1.42,22.5
0.0003999999999999993,0.02,-0.22,0.98,3.86,-3.01,-0.9
0.00040333333333333264,0.02,-0.24,0.93,7.04,0.79,-0.96
0.00040666666666666596,0.04,-0.24,0.9,10.76,4.87,-0.76
0.0004099999999999993,0.03,-0.23,0.91,14.32,6.24,-0.32
0.0004133333333333326,0.04,-0.25,0.89,16.46,7.85,3.69
0.00041666666666666593,-0.0,-0.2,0.96,16.76,-3.69,4.12
0.00041999999999999926,-0.01,-0.19,0.95,17.18,-3.51,1.33
0.0004233333333333326,0.02,-0.18,0.98,16.37,-1.16,-0.7
0.0004266666666666659,0.01,-0.18,1.01,14.6,-2.23,-1.73
0.00042999999999999923,0.04,-0.18,0.99,14.46,-3.21,-1.27
0.00043333333333333255,0.03,-0.17,0.98,15.37,-5.69,-0.5
0.0004366666666666659,0.01,-0.18,1.01,14.12,-6.58,15.39
0.0004399999999999992,0.03,-0.17,1.0,11.22,-6.5,-1.97
0.0004433333333333325,0.07,-0.13,0.91,12.27,-0.66,-0.63
0.00044666666666666585,0.05,-0.24,0.89,15.57,3.92,6.23
0.0004499999999999992,0.05,-0.19,0.94,17.82,-0.46,2.2
0.0004533333333333325,0.03,-0.21,0.97,15.73,-3.94,2.63
0.0004566666666666658,0.03,-0.18,0.98,12.53,-7.36,3.16
0.00045999999999999915,-0.02,-0.18,0.98,11.33,-8.81,1.63
0.00046333333333333247,0.04,-0.18,0.96,11.53,-2.03,2.32
0.0004666666666666658,0.07,-0.2,0.96,11.94,2.15,2.81
0.0004699999999999991,-0.02,-0.19,1.0,12.21,-4.23,1.89
0.00047333333333333244,0.01,-0.19,1.0,11.92,-5.42,1.98
0.00047666666666666577,0.01,-0.18,1.0,12.4,-5.62,0.73
0.0004799999999999991,0.0,-0.18,1.03,10.17,-8.05,0.06
0.0004833333333333324,0.02,-0.17,1.01,10.24,-3.6,-0.98
0.00048666666666666574,0.02,-0.16,1.04,8.46,-2.87,-1.39
0.0004899999999999991,0.01,-0.16,1.05,8.75,-6.02,-2.05
0.0004933333333333325,0.01,-0.15,1.04,9.77,-5.15,-2.23
0.0004966666666666659,0.05,-0.15,1.02,10.26,-0.69,-1.44
0.0004999999999999993,0.03,-0.15,1.02,9.48,-1.21,-1.28
0.0005033333333333326,0.03,-0.14,1.02,10.24,-3.37,-1.02
0.000506666666666666,0.04,-0.15,1.02,8.44,-0.32,-0.89
