time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,0.14,-0.16,0.93,-2.38,7.48,7.24
3.3333333333333333e-06,0.14,-0.16,0.94,0.67,12.09,8.46
6.666666666666667e-06,0.12,-0.16,0.94,6.11,13.77,8.6
9.999999999999999e-06,0.15,-0.16,0.98,4.4,19.54,13.6
1.3333333333333333e-05,0.08,-0.18,1.03,3.57,15.34,11.71
1.6666666666666667e-05,0.02,-0.2,1.01,4.31,8.69,5.63
2e-05,0.04,-0.18,1.02,3.73,6.64,3.16
2.3333333333333336e-05,0.04,-0.16,1.02,11.69,-0.41,-1.04
2.666666666666667e-05,0.03,-0.17,1.06,1.71,2.29,-1.37
3.0000000000000004e-05,0.05,-0.16,1.01,0.6,2.37,-3.47
3.3333333333333335e-05,0.07,-0.16,1.0,2.63,3.19,-4.23
3.6666666666666666e-05,0.09,-0.15,1.01,3.25,1.24,-3.69
3.9999999999999996e-05,0.09,-0.16,1.04,1.76,0.95,-1.98
4.333333333333333e-05,0.1,-0.15,1.07,-2.15,-2.66,-2.32
4.666666666666666e-05,0.13,-0.14,1.04,-3.3,-2.27,-1.16
4.999999999999999e-05,0.14,-0.13,1.05,-5.51,-1.86,1.77
5.333333333333332e-05,0.14,-0.13,1.03,-7.54,-4.08,2.63
5.666666666666665e-05,0.14,-0.13,1.0,-5.68,-0.73,3.53
5.999999999999998e-05,0.11,-0.15,1.0,-5.48,-5.44,1.63
6.333333333333332e-05,0.15,-0.14,1.01,-4.78,-7.83,3.98
6.666666666666666e-05,0.15,-0.16,1.03,-5.28,-7.25,6.26
7e-05,0.14,-0.15,1.05,-8.17,-2.24,5.91
7.333333333333333e-05,0.11,-0.16,1.06,-8.52,-12.93,6.76
7.666666666666667e-05,0.14,-0.17,1.0,-8.24,-5.02,8.17
8e-05,0.13,-0.16,0.99,-7.11,-3.8,8.35
8.333333333333334e-05,0.13,-0.17,0.96,-5.73,-0.82,9.69
8.666666666666668e-05,0.11,-0.18,0.99,-5.05,-4.06,9.56
9.000000000000002e-05,0.12,-0.18,1.0,-4.7,-7.76,9.94
9.333333333333336e-05,0.11,-0.18,0.99,-4.52,-8.63,9.54
9.66666666666667e-05,0.13,-0.18,1.0,-4.47,-5.94,9.5
0.00010000000000000003,0.15,-0.18,1.01,-5.31,-3.68,11.1
0.00010333333333333337,0.19,-0.17,0.97,-4.76,3.88,14.99
0.00010666666666666671,0.16,-0.2,0.96,-0.23,0.69,17.1
0.00011000000000000004,0.16,-0.19,1.0,-4.61,5.3,20.63
0.00011333333333333338,0.13,-0.17,1.0,-4.6,5.5,23.44
0.00011666666666666672,0.08,-0.17,0.99,-3.08,4.05,21.85
0.00012000000000000006,0.07,-0.17,1.01,-4.34,4.93,20.17
0.0001233333333333334,0.07,-0.18,1.04,-6.85,4.84,19.56
0.00012666666666666672,0.02,-0.18,1.02,-5.74,-0.84,16.23
0.00013000000000000004,0.02,-0.19,1.04,-5.42,-3.91,14.03
0.00013333333333333337,-0.0,-0.18,1.02,-6.43,-8.55,9.47
0.0001366666666666667,0.06,-0.18,1.0,-6.08,-7.4,7.82
0.00014000000000000001,0.05,-0.18,0.99,-6.6,-7.63,5.8
0.00014333333333333334,0.08,-0.18,1.0,-6.52,-6.26,5.02
0.00014666666666666666,0.08,-0.19,1.01,-5.13,-9.18,4.17
0.00015,0.09,-0.18,1.04,-6.17,-10.85,2.6
0.0001533333333333333,0.11,-0.17,1.04,-7.56,-9.66,3.01
0.00015666666666666663,0.13,-0.19,1.03,-9.48,-10.31,3.24
