time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,0.1,0.04,1.02,8.98,6.92,14.2
3.3333333333333333e-06,0.21,0.1,1.06,-10.82,-13.6,0.72
6.666666666666667e-06,0.18,0.07,1.07,-3.73,11.54,13.94
9.999999999999999e-06,0.19,0.04,1.03,-7.13,3.79,10.11
1.3333333333333333e-05,0.23,0.08,0.96,-7.63,-6.37,9.15
1.6666666666666667e-05,0.17,0.09,1.01,-3.56,5.62,15.77
2e-05,0.08,0.12,1.05,-3.19,-2.24,8.24
2.3333333333333336e-05,0.16,0.11,0.99,-1.86,-1.08,5.73
2.666666666666667e-05,0.15,0.12,0.98,1.04,2.56,4.43
3.0000000000000004e-05,0.16,0.12,1.01,1.85,1.91,3.22
3.3333333333333335e-05,0.15,0.14,1.01,2.63,2.09,3.21
3.6666666666666666e-05,0.16,0.14,1.02,4.05,-1.42,2.99
3.9999999999999996e-05,0.19,0.14,1.04,3.48,-3.37,4.41
4.333333333333333e-05,0.2,0.13,1.02,2.66,-3.69,7.1
4.666666666666666e-05,0.18,0.11,1.03,0.18,-8.05,6.72
4.999999999999999e-05,0.18,0.11,1.03,-1.88,-11.79,6.24
5.333333333333332e-05,0.18,0.1,1.0,-0.92,-10.89,7.4
5.666666666666665e-05,0.21,0.09,0.97,0.35,-4.85,11.34
5.999999999999998e-05,0.19,0.06,0.97,1.24,-7.86,13.77
6.333333333333332e-05,0.19,0.05,0.96,2.06,-11.54,16.14
6.666666666666666e-05,0.2,0.04,0.96,-0.49,-12.81,18.72
7e-05,0.17,0.04,0.96,-0.95,-14.24,18.46
7.333333333333333e-05,0.18,0.04,0.95,-2.08,-14.11,17.37
7.666666666666667e-05,0.2,0.03,0.93,-4.24,-12.24,14.17
8e-05,0.11,0.05,0.91,-2.89,-3.56,9.47
8.333333333333334e-05,0.14,0.07,0.95,-0.38,-6.5,2.72
8.666666666666668e-05,0.18,0.1,0.95,2.63,-0.56,1.66
