time,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.0,-0.03,-0.07,1.03,0.96,36.76,25.62
3.3333333333333333e-06,0.09,-0.08,0.99,4.93,35.56,23.16
6.666666666666667e-06,0.04,-0.1,1.03,1.8,36.69,21.65
9.999999999999999e-06,0.07,-0.05,1.02,8.84,31.42,16.9
1.3333333333333333e-05,0.09,-0.1,0.94,16.35,30.27,14.63
1.6666666666666667e-05,0.04,-0.11,1.04,6.49,12.05,11.95
2e-05,0.02,-0.06,1.06,1.6,6.84,11.77
2.3333333333333336e-05,0.04,-0.09,1.05,8.03,24.37,16.79
2.666666666666667e-05,0.0,-0.07,1.02,6.69,17.28,13.4
3.0000000000000004e-05,-0.05,-0.08,1.05,5.47,20.87,6.72
3.3333333333333335e-05,-0.06,-0.11,1.08,8.93,18.63,0.95
3.6666666666666666e-05,0.06,-0.12,0.93,2.17,21.21,0.14
3.9999999999999996e-05,0.05,-0.07,0.97,2.55,16.78,-0.12
4.333333333333333e-05,-0.06,-0.06,1.05,1.6,0.73,-2.82
4.666666666666666e-05,-0.07,-0.04,1.02,10.23,-9.08,-11.05
4.999999999999999e-05,-0.03,-0.07,1.08,11.31,-23.77,-16.44
5.333333333333332e-05,0.0,-0.04,1.05,3.48,-29.36,-19.66
5.666666666666665e-05,0.06,-0.04,1.05,-5.28,-15.74,-13.98
5.999999999999998e-05,0.05,-0.04,1.0,-9.69,-13.51,-8.4
6.333333333333332e-05,0.09,-0.16,0.88,-10.73,-7.37,-4.81
6.666666666666666e-05,0.04,-0.07,0.93,-7.33,-4.55,-5.57
7e-05,0.07,-0.07,0.97,-0.26,7.3,-2.32
7.333333333333333e-05,0.05,-0.07,0.99,6.2,4.92,-2.0
7.666666666666667e-05,0.06,-0.06,1.04,3.5,3.53,-1.39
8e-05,0.05,-0.05,1.05,1.42,9.86,-0.53
8.333333333333334e-05,-0.0,-0.07,1.07,-1.91,8.89,-1.88
8.666666666666668e-05,0.03,-0.07,1.03,-5.98,15.31,-3.63
9.000000000000002e-05,0.02,-0.08,1.03,-4.61,14.18,-4.05
9.333333333333336e-05,0.06,-0.07,0.95,-3.01,7.15,-6.11
9.66666666666667e-05,0.01,-0.08,0.98,2.5,0.0,-8.63
0.00010000000000000003,0.03,-0.07,0.97,7.63,-6.12,-8.69
0.00010333333333333337,0.04,-0.07,1.03,6.63,-3.94,-4.75
0.00010666666666666671,-0.0,-0.08,1.03,3.88,-7.77,-4.95
0.00011000000000000004,0.01,-0.07,1.05,1.69,-1.07,-3.57
0.00011333333333333338,0.03,-0.07,1.04,-0.14,-0.11,-4.11
0.00011666666666666672,0.05,-0.07,0.98,4.93,1.13,-3.05
0.00012000000000000006,0.03,-0.07,0.99,6.93,-1.83,-3.89
0.0001233333333333334,0.03,-0.07,0.95,14.84,-9.39,-3.59
